time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2060,1,1,0,3.8,96.6,0.6,2.3,111,50,0,0,0
2060,1,1,1,3.9,96.4,0.8,2.7,134,45,0,0,0
2060,1,1,2,3.9,96.1,0.8,3,146,41,0,0,0
2060,1,1,3,3.8,94.9,1,3.4,170,39,0,0,0
2060,1,1,4,3.8,93.5,1.2,3.6,198,38,0,0,0
2060,1,1,5,3.5,92.7,1.2,3.9,196,38,0,0,0
2060,1,1,6,3,92.5,1.1,3.5,195,38,0,0,0
2060,1,1,7,2.8,90.5,1.1,3.9,219,40,1,0,0
2060,1,1,8,2.6,90.7,0.8,3.3,263,42,14,14,0
2060,1,1,9,2.8,82.7,0.7,4.3,233,44,54,54,0
2060,1,1,10,6,66,1.2,4.4,202,46,301,148,496
2060,1,1,11,8,49.3,1.5,5.6,191,48,334,78,735
2060,1,1,12,9.4,43.4,3.3,7.2,221,50,283,131,446
2060,1,1,13,8.1,60.2,0.5,2.3,180,58,169,136,113
2060,1,1,14,9.4,46.5,2.3,9.3,214,67,98,86,56
2060,1,1,15,9.7,39.6,3.2,8.1,252,75,25,25,0
2060,1,1,16,10.3,48.6,4.7,13.1,237,83,0,0,0
2060,1,1,17,9.2,65.1,5,10.8,228,92,0,0,0
2060,1,1,18,10,69.3,5.4,12.2,215,100,0,0,0
2060,1,1,19,10.5,70.2,4.7,10.9,229,100,0,0,0
2060,1,1,20,10.4,77,4.8,11,220,100,0,0,0
2060,1,1,21,10.6,76.3,5.4,12.9,209,100,0,0,0
2060,1,1,22,11.3,67.3,6.1,15.5,205,100,0,0,0
2060,1,1,23,11.8,59.9,6.2,15.5,213,100,0,0,0
2060,1,2,0,11.7,55.8,5.6,13.4,218,100,0,0,0
2060,1,2,1,10.4,71.3,4.4,10.6,217,100,0,0,0
2060,1,2,2,10.4,76.8,5.2,11.5,207,100,0,0,0
2060,1,2,3,10.5,75.7,4,12.4,220,100,0,0,0
2060,1,2,4,10.7,75.7,5.2,9.5,237,100,0,0,0
2060,1,2,5,9.9,82.1,4.9,11.3,217,100,0,0,0
2060,1,2,6,9,85.8,4.7,11.9,212,100,0,0,0
2060,1,2,7,9.2,86.5,4.6,12,225,100,3,0,0
2060,1,2,8,9.3,89,4.4,8,232,100,11,11,0
2060,1,2,9,9.6,88.3,4.8,9.5,229,100,19,19,0
2060,1,2,10,9.8,86,4.8,9.6,238,100,36,36,0
2060,1,2,11,10.5,79.6,5.6,13,238,100,28,28,0
2060,1,2,12,10.9,76.1,6.2,13.3,239,100,48,48,0
2060,1,2,13,11.7,73.9,6.3,19.3,228,100,38,38,0
2060,1,2,14,12.7,65.9,8.6,27.2,207,100,31,31,0
2060,1,2,15,12.8,57.3,7,22,210,100,12,12,0
2060,1,2,16,11.9,56.7,8.4,24.2,205,100,2,0,0
2060,1,2,17,10.3,64.7,6.4,17.7,214,100,0,0,0
2060,1,2,18,10.4,55.2,5.9,20.8,217,100,0,0,0
2060,1,2,19,9.1,66.2,4.6,14.6,223,94,0,0,0
2060,1,2,20,8.8,61.5,3.9,17.7,211,88,0,0,0
2060,1,2,21,8.7,50.5,2.9,14.2,242,81,0,0,0
2060,1,2,22,8.4,53.4,3.3,14.8,224,75,0,0,0
2060,1,2,23,7.8,55.4,4,13,207,69,0,0,0
2060,1,3,0,7.2,56.2,3.2,10.8,217,62,0,0,0
2060,1,3,1,6.9,56.3,5,16.4,211,56,0,0,0
2060,1,3,2,6.8,52.8,4.9,11.9,217,50,0,0,0
2060,1,3,3,6.7,52.2,4.7,9.8,208,44,0,0,0
2060,1,3,4,6.5,53.4,4.7,11.7,209,38,0,0,0
2060,1,3,5,6.4,56,3.9,10.5,220,31,0,0,0
2060,1,3,6,6.1,55.1,4.7,11,218,25,0,0,0
2060,1,3,7,6,52.9,4.7,10.4,212,38,5,0,0
2060,1,3,8,6.2,50.6,3.9,9.2,224,50,39,39,0
2060,1,3,9,7.1,43.8,4.1,12.3,229,62,78,78,0
2060,1,3,10,8,41.5,5.1,10.4,237,75,112,112,1
2060,1,3,11,7.6,50,5.3,11.7,222,88,94,94,0
2060,1,3,12,5.9,67.2,4.6,10.9,235,100,61,61,0
2060,1,3,13,5.9,68,5.7,11.6,242,92,72,72,0
2060,1,3,14,7.4,56.9,5.5,10.5,248,83,83,81,10
2060,1,3,15,7,66,5.5,15.6,229,75,18,18,0
2060,1,3,16,7.2,64.2,5,12.9,214,67,0,0,0
2060,1,3,17,7.4,64.2,4.2,12.5,213,58,0,0,0
2060,1,3,18,7.2,69,5.8,16.1,213,50,0,0,0
2060,1,3,19,6.4,75.9,5.7,15.5,204,54,0,0,0
2060,1,3,20,5.9,80.3,4.4,12.6,210,58,0,0,0
2060,1,3,21,6,78.2,6.5,16.2,205,62,0,0,0
2060,1,3,22,5.5,83.7,6.1,15.2,210,67,0,0,0
2060,1,3,23,5.2,87,4.9,13,197,71,0,0,0
2060,1,4,0,5.6,81.3,4.9,10.4,211,75,0,0,0
2060,1,4,1,5.6,81.2,5.1,12.5,207,79,0,0,0
2060,1,4,2,5.3,84.2,4.7,9.8,219,83,0,0,0
2060,1,4,3,5.1,87.4,4.6,10.5,207,88,0,0,0
2060,1,4,4,5,88.7,3.3,8.9,219,92,0,0,0
2060,1,4,5,5.1,88.7,2.2,5.6,265,96,0,0,0
2060,1,4,6,4.7,91,2.3,6.2,247,100,0,0,0
2060,1,4,7,5.2,83.4,3.3,8.6,218,100,5,0,0
2060,1,4,8,5.2,82.9,3.6,7.5,214,100,27,27,0
2060,1,4,9,5.1,86.3,3.1,7.8,232,100,45,45,0
2060,1,4,10,5.3,86.5,3,6.4,224,100,51,51,0
2060,1,4,11,5.4,86.1,2.5,7.1,225,100,62,62,0
2060,1,4,12,5.3,87.3,2.8,5.9,234,100,57,57,0
2060,1,4,13,5.6,81.9,3.3,6.7,211,100,49,49,0
2060,1,4,14,4.9,89,2.4,5.3,230,100,26,26,0
2060,1,4,15,4.4,92.1,3,6,201,100,10,10,0
2060,1,4,16,4.3,88.8,2.9,8.5,234,100,2,0,0
2060,1,4,17,3.9,84.3,3.6,11.1,241,100,2,0,0
2060,1,4,18,1.9,90.1,4.8,10.7,190,100,0,0,0
2060,1,4,19,1.3,71.9,5.3,12.2,189,100,0,0,0
2060,1,4,20,0.5,56.9,6.9,15.2,191,100,0,0,0
2060,1,4,21,-0.6,52.4,6,15.1,201,100,0,0,0
2060,1,4,22,-1.1,50.7,5.1,10.8,213,100,0,0,0
2060,1,4,23,-0.7,46.5,5.7,14.7,215,100,0,0,0
2060,1,5,0,-1,58.8,4.9,12.8,213,100,0,0,0
2060,1,5,1,-2.4,82,3.7,9.4,72,100,0,0,0
2060,1,5,2,-3.9,91.8,3.9,7.2,46,100,0,0,0
2060,1,5,3,-4.8,90.7,2.2,5.8,54,100,0,0,0
2060,1,5,4,-5.4,92.5,3.1,6.4,48,100,0,0,0
2060,1,5,5,-5.8,88.2,2.5,5.5,48,100,0,0,0
2060,1,5,6,-5.9,84.6,1.9,4.2,58,100,0,0,0
2060,1,5,7,-6.3,83.6,1.7,3.9,62,100,4,0,0
2060,1,5,8,-6.3,89.8,1.5,4,65,100,26,26,0
2060,1,5,9,-6.1,87.1,1.9,4.2,65,100,101,101,0
2060,1,5,10,-6,83.8,1.8,3.8,69,100,137,132,15
2060,1,5,11,-5.7,84,1.8,4.3,66,100,175,148,75
2060,1,5,12,-5.5,84.9,2.4,4.9,62,100,171,149,62
2060,1,5,13,-5.9,81.4,1.6,4,79,98,151,129,70
2060,1,5,14,-5.8,79.7,1,2.1,139,96,197,112,390
2060,1,5,15,-6.5,70.8,0.6,1.9,180,94,42,42,0
