time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2060,1,1,0,1.6,91.4,1.4,3.7,162,71,0,0,0
2060,1,1,1,2.4,91.9,1.3,3.9,160,83,0,0,0
2060,1,1,2,3,92.4,1.2,3.9,151,90,0,0,0
2060,1,1,3,3.5,92.8,1.2,4.1,152,97,0,0,0
2060,1,1,4,3.7,93.2,1.1,4,143,100,0,0,0
2060,1,1,5,3.7,93.7,0.9,3.6,149,99,0,0,0
2060,1,1,6,3.6,94.4,0.9,3.7,161,99,0,0,0
2060,1,1,7,3.7,94.3,1.1,3.7,162,98,1,0,0
2060,1,1,8,3.7,94.7,1.1,3.8,146,96,26,26,0
2060,1,1,9,4.3,90.7,2,5.3,155,94,78,78,0
2060,1,1,10,4.9,83.4,3.2,8.9,306,92,82,82,0
2060,1,1,11,5.9,68.7,2.7,12.2,12,90,133,129,14
2060,1,1,12,4.4,75.7,6,13.3,355,88,57,57,0
2060,1,1,13,5.1,64.2,6,13.6,356,90,53,53,0
2060,1,1,14,3.5,77.6,6.8,13.8,351,92,22,22,0
2060,1,1,15,3.8,69.3,5.1,14.8,333,94,12,12,0
2060,1,1,16,3.2,76.8,4.7,10.6,322,96,0,0,0
2060,1,1,17,3.1,77.1,5.2,15.7,358,98,0,0,0
2060,1,1,18,3.2,68,8.3,16.5,8,100,0,0,0
2060,1,1,19,2.6,65.8,8.3,18.3,6,100,0,0,0
2060,1,1,20,2.4,63.3,7.5,15.5,351,100,0,0,0
2060,1,1,21,2.4,56.7,8,17.8,1,100,0,0,0
2060,1,1,22,2.3,53.8,6.1,14.3,359,100,0,0,0
2060,1,1,23,2.1,51.2,3.2,10,342,100,0,0,0
2060,1,2,0,1.5,57.7,1.7,5.6,275,100,0,0,0
2060,1,2,1,1.3,64.2,3.1,5.9,180,100,0,0,0
2060,1,2,2,1.1,64.8,2.9,6.2,148,100,0,0,0
2060,1,2,3,1,65.7,2.4,5.6,120,100,0,0,0
2060,1,2,4,1.1,63.9,1.8,4.1,135,100,0,0,0
2060,1,2,5,0.3,75.4,1.3,3,339,100,0,0,0
2060,1,2,6,0.6,75.7,1.2,4.2,135,100,0,0,0
2060,1,2,7,0.2,83.6,2.9,8.9,18,100,1,0,0
2060,1,2,8,-0.4,89.5,2,7.5,360,100,10,10,0
2060,1,2,9,-0.1,83.7,4.1,8.2,276,100,39,39,0
2060,1,2,10,-0.2,85,5.2,8.3,285,100,61,61,0
2060,1,2,11,-0.2,85.4,5.2,9,279,100,84,84,0
