time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2035,1,1,0,3.4,88.8,0.6,1.8,189,92,0,0,0
2035,1,1,1,2.8,87.1,0.6,1.6,167,94,0,0,0
2035,1,1,2,2.4,86,0.4,1.3,171,96,0,0,0
2035,1,1,3,2,85.1,0.3,1.1,166,98,0,0,0
2035,1,1,4,1.8,84.6,0.3,1.1,163,100,0,0,0
2035,1,1,5,1.8,85.1,0.4,1.1,188,99,0,0,0
2035,1,1,6,1.9,85.6,0.3,1.2,215,98,0,0,0
2035,1,1,7,2,85.2,0.4,1.3,212,95,3,0,0
2035,1,1,8,2.1,85.5,0.3,0.9,204,92,38,38,0
2035,1,1,9,2.5,82.6,0.7,2.4,58,88,115,89,115
2035,1,1,10,2.6,81.3,0.3,1.7,98,83,151,120,104
2035,1,1,11,4,76.2,0.3,1.8,215,79,306,145,478
2035,1,1,12,4.6,74.3,1,2.4,201,75,179,136,126
2035,1,1,13,4.2,77.7,1.1,2.7,86,77,132,114,64
2035,1,1,14,4.3,78.2,0.3,2,80,79,58,58,0
2035,1,1,15,4.1,82.3,0.6,2.3,246,81,23,23,0
2035,1,1,16,3.8,86.7,0.9,2,215,83,2,0,0
2035,1,1,17,3.4,89.2,0.5,2,242,85,0,0,0
2035,1,1,18,3.5,89.1,0.8,2,221,88,0,0,0
2035,1,1,19,3.7,88.8,0.5,1.8,260,89,0,0,0
2035,1,1,20,3.7,89.4,0.6,1.9,223,90,0,0,0
2035,1,1,21,3.7,89.7,0.5,1.5,125,91,0,0,0
2035,1,1,22,3.4,90.5,0.6,1.5,246,92,0,0,0
2035,1,1,23,3.3,90.5,0.9,2.1,230,93,0,0,0
2035,1,2,0,2.3,91.7,0.9,1.7,224,94,0,0,0
2035,1,2,1,1.6,91.4,0.7,1.7,221,95,0,0,0
2035,1,2,2,2.1,90.7,0.3,1.4,215,96,0,0,0
2035,1,2,3,2.6,91,0.1,0.6,260,97,0,0,0
2035,1,2,4,3,89.6,0.3,0.9,233,98,0,0,0
2035,1,2,5,3.4,91.6,0.3,1.5,53,99,0,0,0
2035,1,2,6,3.4,90.8,0.1,1.6,125,100,0,0,0
2035,1,2,7,3.6,90.4,0.3,1.7,215,90,4,0,0
2035,1,2,8,3.9,88.8,0.9,3.8,50,79,51,51,0
2035,1,2,9,4.1,84.1,1.5,4.6,76,69,185,82,460
2035,1,2,10,4.7,82,1.3,2.3,84,58,232,85,488
2035,1,2,11,5.6,81.2,1.6,3.5,45,48,285,83,592
