time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2060,1,1,0,1.2,87.7,0.9,2.4,207,92,0,0,0
2060,1,1,1,0,85.9,0.9,2.2,193,94,0,0,0
2060,1,1,2,-0.8,84.7,0.8,2.1,190,96,0,0,0
2060,1,1,3,-1.6,83.3,0.9,2.4,183,98,0,0,0
2060,1,1,4,-1.9,82.8,1,2.5,172,100,0,0,0
2060,1,1,5,-1.9,82.4,1.3,3,192,99,0,0,0
2060,1,1,6,-1.9,82.1,1.9,4.1,221,98,0,0,0
2060,1,1,7,-2,80.8,2.1,4.4,245,95,3,0,0
2060,1,1,8,-2.5,80.3,1.5,3,242,92,43,43,0
2060,1,1,9,-1.8,78.8,1.1,2.3,225,88,160,82,348
2060,1,1,10,-0.6,74.1,1.7,3.7,218,83,250,119,435
2060,1,1,11,-0.3,72.5,1.7,3.6,210,79,161,142,54
2060,1,1,12,0,71.9,1.7,3.3,221,75,88,88,0
2060,1,1,13,0.2,70.9,1.9,3.5,226,67,96,96,0
2060,1,1,14,0.4,69.5,1.7,3.3,243,58,54,54,0
2060,1,1,15,0.5,69.7,0.7,2.4,207,50,23,23,0
2060,1,1,16,-0.4,76.2,0.2,1.6,185,42,0,0,0
2060,1,1,17,-1.7,86.1,1.6,2.6,232,33,0,0,0
2060,1,1,18,-2.7,89.3,1.3,2.7,220,25,0,0,0
2060,1,1,19,-2.3,89.5,1.6,3,237,31,0,0,0
2060,1,1,20,-2.4,89.5,1.7,2.7,236,38,0,0,0
2060,1,1,21,-2.7,91,1.4,2.6,226,44,0,0,0
2060,1,1,22,-2.2,90.6,0.6,2.3,211,50,0,0,0
2060,1,1,23,-1.4,89.1,0.3,1.8,251,56,0,0,0
2060,1,2,0,-0.9,89.2,1,2.1,240,62,0,0,0
2060,1,2,1,-0.8,93.7,0.8,1.7,199,69,0,0,0
2060,1,2,2,-0.3,94.6,0.6,2.3,65,75,0,0,0
2060,1,2,3,0,93.8,0.9,2.9,42,81,0,0,0
2060,1,2,4,0.6,94.7,0.9,3.1,179,88,0,0,0
2060,1,2,5,1.6,95.9,1.2,3.1,247,94,0,0,0
2060,1,2,6,1.9,96.5,1,2.3,236,100,0,0,0
