time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2060,1,1,0,3,82.8,1.6,4.1,134,100,0,0,0
2060,1,1,1,2.7,82,1.6,4.1,102,100,0,0,0
2060,1,1,2,2.5,81.5,1.7,4.2,82,100,0,0,0
2060,1,1,3,2.3,80.8,1.6,4.1,64,100,0,0,0
2060,1,1,4,2.1,80.3,1.5,3.9,53,100,0,0,0
2060,1,1,5,1.9,80.4,1.4,3.8,60,100,0,0,0
2060,1,1,6,1.8,80.5,1.2,3.3,61,100,0,0,0
2060,1,1,7,1.7,80.7,1.1,3.1,65,100,4,0,0
2060,1,1,8,1.7,81.4,0.7,2.4,72,100,24,24,0
2060,1,1,9,1.8,81,1.2,3.1,55,100,42,42,0
2060,1,1,10,2,80.9,1.6,5,63,100,57,57,0
2060,1,1,11,2,80.6,0.9,2.9,54,100,52,52,0
2060,1,1,12,2.2,80.7,1,3.2,61,100,57,57,0
2060,1,1,13,2.2,80.8,0.5,1.5,40,100,33,33,0
2060,1,1,14,2.1,81.8,0.2,2.1,70,100,16,16,0
2060,1,1,15,2.1,81.6,0.4,1.8,65,100,4,4,0
2060,1,1,16,2,83,0.3,2,50,100,2,0,0
2060,1,1,17,1.9,85.9,0.2,1.4,40,100,1,0,0
2060,1,1,18,1.6,92.4,0.4,1.2,45,100,0,0,0
2060,1,1,19,1.4,94.3,0.2,1.9,40,100,0,0,0
2060,1,1,20,1.4,94.8,0.3,2,55,100,0,0,0
2060,1,1,21,1.5,94.8,0.6,1.8,60,100,0,0,0
2060,1,1,22,1.3,95.5,0.4,1.5,40,100,0,0,0
2060,1,1,23,1.3,95,0.5,2,70,100,0,0,0
2060,1,2,0,1.4,94.8,0.4,1.6,45,100,0,0,0
2060,1,2,1,1.3,95.1,0.5,1.5,35,100,0,0,0
2060,1,2,2,1.3,95.2,0.3,1.2,60,100,0,0,0
2060,1,2,3,1.3,95.6,0.4,1,55,100,0,0,0
2060,1,2,4,1.3,95.6,0.5,1.2,35,100,0,0,0
2060,1,2,5,1.4,94.7,0.3,1.5,40,100,0,0,0
2060,1,2,6,1.3,94.9,0.2,2,55,100,0,0,0
2060,1,2,7,1.5,93.6,0.3,1.8,60,100,1,0,0
2060,1,2,8,1.3,94.2,0.1,1.9,90,100,25,25,0
2060,1,2,9,1.5,92.4,0.6,2,79,100,62,62,0
2060,1,2,10,1.9,89.9,1.2,3.6,55,100,105,105,0
2060,1,2,11,2.2,88.4,1.7,4.2,52,100,111,111,0
2060,1,2,12,2,87,2.2,6.4,45,100,80,80,0
2060,1,2,13,1.7,85.1,2.3,6.5,45,100,77,77,0
2060,1,2,14,1.5,83.6,2.1,5.8,45,100,46,46,0
