time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2035,1,1,0,4.6,76.3,1.7,4.3,248,100,0,0,0
2035,1,1,1,4.6,82.2,1.9,4.5,239,100,0,0,0
2035,1,1,2,4.6,86.2,1.9,4.4,232,100,0,0,0
2035,1,1,3,4.5,90.6,2,4.4,224,100,0,0,0
2035,1,1,4,4.5,92.8,1.9,4.1,220,100,0,0,0
2035,1,1,5,4.5,92.5,1.9,4.2,220,99,0,0,0
2035,1,1,6,4.6,92.3,2.2,4.8,221,98,0,0,0
2035,1,1,7,4.6,91.2,2.3,5.3,220,95,3,0,0
2035,1,1,8,4.7,88.4,2.8,6.3,218,92,30,30,0
2035,1,1,9,4.8,86.9,2.4,6.4,204,88,101,87,67
2035,1,1,10,6,83.3,3.7,6.4,210,83,212,98,382
2035,1,1,11,7.3,79.2,3.6,6.5,204,79,274,92,539
2035,1,1,12,7.4,73,4.9,10.2,206,75,236,137,293
2035,1,1,13,7.9,66,4.9,10.1,212,79,222,94,442
2035,1,1,14,7.2,62.9,5.1,10.1,205,83,68,68,0
2035,1,1,15,7.3,61,4.1,9.6,213,88,19,19,0
2035,1,1,16,7.5,66.8,4.4,11.3,215,92,0,0,0
2035,1,1,17,7.3,82.9,4.7,10.3,222,96,0,0,0
2035,1,1,18,7.7,86.7,5.8,11.4,229,100,0,0,0
2035,1,1,19,8.4,89.6,4.4,11.1,217,100,0,0,0
2035,1,1,20,8.9,89,5.7,13.3,217,100,0,0,0
2035,1,1,21,9.4,86.2,6.9,13.7,220,100,0,0,0
2035,1,1,22,9.5,84.1,6.9,13.7,220,100,0,0,0
2035,1,1,23,9.6,83.2,6.2,11.9,219,100,0,0,0
2035,1,2,0,9.6,84.6,5.4,12.8,220,100,0,0,0
2035,1,2,1,9.6,88.1,6.8,15.5,229,100,0,0,0
2035,1,2,2,9.7,88.2,7.6,14.7,233,100,0,0,0
2035,1,2,3,9.6,91,5.6,13.3,231,100,0,0,0
2035,1,2,4,9.4,90.1,5.4,12.1,226,100,0,0,0
2035,1,2,5,9,89.8,4.8,11.5,226,100,0,0,0
2035,1,2,6,10,89.9,7.4,16.5,228,100,0,0,0
2035,1,2,7,10.3,89,8.4,19.2,228,100,2,0,0
2035,1,2,8,10.1,89.2,6.2,16.2,224,100,5,5,0
2035,1,2,9,10.2,86.3,5.6,11.1,210,100,41,41,0
2035,1,2,10,10.1,84.5,6.6,15,204,100,26,26,0
2035,1,2,11,10.6,83.5,7.4,14.9,206,100,24,24,0
2035,1,2,12,11.2,82.7,8.6,21.7,219,100,24,24,0
2035,1,2,13,9.7,89.9,9.1,21.7,231,100,18,18,0
2035,1,2,14,10.6,82.7,11.4,25.5,226,100,32,32,0
2035,1,2,15,10.8,76.8,12.6,28.6,228,100,21,21,0
2035,1,2,16,9.7,80.2,11.9,24.6,229,100,0,0,0
2035,1,2,17,9.2,74.6,12.9,25.6,229,100,0,0,0
2035,1,2,18,7.8,77.4,12.4,26.6,233,100,0,0,0
2035,1,2,19,6.7,83.8,9.2,21.9,233,100,0,0,0
2035,1,2,20,6.1,78.9,10,20.9,231,100,0,0,0
2035,1,2,21,5.5,84.2,7.8,16.6,229,100,0,0,0
2035,1,2,22,4.9,88.6,7.8,17.6,229,100,0,0,0
2035,1,2,23,4.8,87.1,7.5,16.1,230,100,0,0,0
2035,1,3,0,4.5,88.6,7.1,14.5,230,100,0,0,0
2035,1,3,1,4.6,87.9,7.1,14,233,100,0,0,0
2035,1,3,2,4.5,86.1,6.7,12.8,229,100,0,0,0
2035,1,3,3,4.5,84.9,6.9,12.4,230,100,0,0,0
2035,1,3,4,4.5,82.3,6.1,12.7,228,100,0,0,0
2035,1,3,5,4.5,83.5,5.3,10.3,227,100,0,0,0
2035,1,3,6,4.5,83.8,5,12.5,227,100,0,0,0
2035,1,3,7,4.4,83.9,3.9,8.3,223,96,3,0,0
2035,1,3,8,4.3,84.5,3.4,7.8,223,92,28,28,0
2035,1,3,9,4.9,77.2,3.8,9.4,219,88,75,75,0
2035,1,3,10,5.5,71.6,4.7,10,225,83,82,82,0
2035,1,3,11,5.9,67.9,5.2,11.2,224,79,115,115,0
2035,1,3,12,5.7,71.1,6,12.8,210,75,85,85,0
2035,1,3,13,6,69.8,4.6,9.4,204,79,71,71,0
2035,1,3,14,5.2,76.4,6.1,15,210,83,30,30,0
2035,1,3,15,4.8,86.6,4.8,10.7,221,88,20,20,0
2035,1,3,16,5.6,82.7,5.3,11.3,216,92,0,0,0
2035,1,3,17,5.8,83.9,5.7,13.2,222,96,0,0,0
2035,1,3,18,5.8,85.1,6.5,16.1,226,100,0,0,0
2035,1,3,19,5.7,86.3,5.5,14.2,223,100,0,0,0
2035,1,3,20,5.5,85.7,5.9,13.1,217,100,0,0,0
2035,1,3,21,4.7,89,5.7,12,222,100,0,0,0
2035,1,3,22,3.9,91,5.3,10.9,225,100,0,0,0
2035,1,3,23,4,90.2,4.5,9.1,219,100,0,0,0
2035,1,4,0,4.5,89.4,5.2,10.1,227,100,0,0,0
2035,1,4,1,3.4,90.2,5,9.3,228,100,0,0,0
2035,1,4,2,3,91.3,4.5,10.2,221,100,0,0,0
