time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2060,1,1,0,0.8,79.4,1.8,4,216,61,0,0,0
2060,1,1,1,2.7,83.4,1.4,3.3,217,76,0,0,0
2060,1,1,2,4,86,1.2,2.9,216,85,0,0,0
2060,1,1,3,5.2,88.7,1,2.6,215,95,0,0,0
2060,1,1,4,5.7,89.9,0.9,2.4,215,99,0,0,0
2060,1,1,5,5.6,89.6,1,2.7,209,97,0,0,0
2060,1,1,6,5.6,88.7,1.2,3,203,96,0,0,0
2060,1,1,7,5.4,88.1,1.4,3.4,199,91,4,4,0
2060,1,1,8,5.2,88.1,1.3,3.3,200,83,54,54,0
2060,1,1,9,5.6,84.9,1.9,4.4,199,75,69,69,0
2060,1,1,10,6.9,78.3,2.9,6.3,202,67,192,124,220
2060,1,1,11,8.4,65.9,3.8,7.5,195,58,319,94,659
2060,1,1,12,9.4,58.1,3.7,7.1,193,50,293,101,578
2060,1,1,13,9.5,56,3.7,7.6,183,52,190,114,271
2060,1,1,14,8.8,60.5,3.4,7.1,180,54,124,69,293
2060,1,1,15,7.9,62,3.7,7,182,56,29,29,0
2060,1,1,16,7.3,64,3.3,7.8,194,58,0,0,0
2060,1,1,17,7.5,60.8,3.8,9,204,60,0,0,0
2060,1,1,18,7.7,56.4,6.3,12.8,189,62,0,0,0
2060,1,1,19,7.5,57.1,5.2,11.4,203,66,0,0,0
2060,1,1,20,6.7,62.7,5.2,11.7,221,69,0,0,0
2060,1,1,21,6.6,61.9,5.6,12.6,205,72,0,0,0
2060,1,1,22,6.5,60.7,4,9.3,206,75,0,0,0
2060,1,1,23,7.1,57,5,11,200,78,0,0,0
2060,1,2,0,6.9,58.5,4.3,10,214,81,0,0,0
2060,1,2,1,6.1,63.4,3.1,7.2,218,84,0,0,0
2060,1,2,2,6.2,63.6,3.4,9.3,207,88,0,0,0
2060,1,2,3,7.2,58.3,5.1,11.6,192,91,0,0,0
2060,1,2,4,7.6,57.7,5.1,10.9,183,94,0,0,0
2060,1,2,5,7.5,62.7,4.9,8.8,184,97,0,0,0
2060,1,2,6,8,65.5,4.4,8.5,185,100,0,0,0
2060,1,2,7,8.1,65.8,3.5,7.5,192,100,1,0,0
2060,1,2,8,7.6,73.3,2.7,6.4,216,100,21,21,0
2060,1,2,9,7.9,72,1.8,5.5,208,100,52,52,0
2060,1,2,10,8.8,69.6,2.4,5.8,197,100,85,85,0
2060,1,2,11,10.3,62.4,3.5,8.3,210,100,109,109,0
2060,1,2,12,10.6,63.9,3.3,7.2,194,100,52,52,0
2060,1,2,13,11.4,63.4,3.8,9.4,194,100,99,99,0
2060,1,2,14,12.7,53.7,4.6,11.7,210,100,44,44,0
2060,1,2,15,12,59.4,4.4,10.8,207,100,10,10,0
2060,1,2,16,11.5,62.6,3.7,9.7,198,100,0,0,0
2060,1,2,17,11.2,65.2,4.4,9.5,188,100,0,0,0
2060,1,2,18,10.9,64.9,3.6,8.9,190,100,0,0,0
2060,1,2,19,9.9,70.9,3,7.2,208,97,0,0,0
2060,1,2,20,9.8,71.7,2.4,7.6,198,94,0,0,0
2060,1,2,21,9.4,74.1,1.2,5,198,91,0,0,0
2060,1,2,22,8.8,83.3,2.2,6.3,193,88,0,0,0
2060,1,2,23,8.3,85,0.9,3,233,84,0,0,0
2060,1,3,0,7.3,87.2,0.7,2.6,59,81,0,0,0
2060,1,3,1,6.7,87.6,0.6,2.9,180,78,0,0,0
2060,1,3,2,6.8,86.6,1.1,3.7,162,75,0,0,0
2060,1,3,3,6.6,87.8,0.5,2.9,270,72,0,0,0
2060,1,3,4,6.5,86.5,1,2.8,188,69,0,0,0
2060,1,3,5,6.2,85.7,1.1,3.2,174,66,0,0,0
2060,1,3,6,5.6,86.6,0.8,2.1,198,62,0,0,0
2060,1,3,7,5.1,85.8,0.9,3.1,173,60,6,0,0
2060,1,3,8,4.2,88.4,0.4,1.9,194,58,25,25,0
2060,1,3,9,5.2,81.9,1.4,3.4,197,56,55,55,0
2060,1,3,10,7,71.8,1.3,3.9,194,54,181,128,171
2060,1,3,11,8.4,63,1.2,2.8,207,52,311,101,609
2060,1,3,12,9.4,54.2,0.9,2.6,220,50,298,65,692
2060,1,3,13,10.3,50.3,0.8,3,207,56,234,94,494
2060,1,3,14,9,54.4,1.4,3.5,188,62,95,79,83
2060,1,3,15,8.2,55.6,1.2,2.6,232,69,26,26,0
2060,1,3,16,7.4,59,1.5,4.3,225,75,2,0,0
2060,1,3,17,7.7,58.5,1.9,4.8,216,81,0,0,0
2060,1,3,18,6.9,58.3,2.2,5.3,204,88,0,0,0
2060,1,3,19,6.4,58.9,2.7,6.2,211,89,0,0,0
2060,1,3,20,6.4,55.8,2.8,7.6,199,90,0,0,0
