time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2060,1,1,0,0.4,81.3,2.5,6.1,180,,0,0,0
2060,1,1,1,-0.3,86.8,1.9,4.7,184,,0,0,0
2060,1,1,2,-0.8,91.1,1.4,3.5,196,,0,0,0
2060,1,1,3,-1.3,95.8,0.8,2.3,217,,0,0,0
2060,1,1,4,-1.4,98.9,0.5,1.7,229,,0,0,0
2060,1,1,5,-1,99,0.5,1.8,242,,0,0,0
2060,1,1,6,-0.7,99.1,0.4,1.6,267,,0,0,0
2060,1,1,7,-0.1,98.4,0.6,2,256,,8,0,0
2060,1,1,8,0.6,97.8,0.7,2.3,219,,46,46,0
2060,1,1,9,1.5,95,1,3.7,243,,105,90,63
2060,1,1,10,2.7,90.1,2.9,4.6,35,,239,113,401
2060,1,1,11,3.6,83.8,2.8,4.7,46,,351,122,663
2060,1,1,12,3.7,79.3,2.5,4.2,40,,325,91,701
2060,1,1,13,3.2,77.4,2.6,5.1,39,,255,64,679
2060,1,1,14,2.1,73.6,2.7,4.3,32,,156,46,582
2060,1,1,15,0.3,72.1,1.8,4.1,137,,30,30,0
2060,1,1,16,-1.1,76.9,0.5,2.4,194,,2,0,0
2060,1,1,17,-1.9,82.5,0.3,1.8,207,,1,0,0
2060,1,1,18,-3.2,86,0.7,2.6,196,,0,0,0
2060,1,1,19,-3.5,87.7,1,3.1,221,,0,0,0
2060,1,1,20,-3.6,86.3,1.4,3.1,194,,0,0,0
2060,1,1,21,-4,91,0.9,2.4,180,,0,0,0
2060,1,1,22,-4.2,88.6,1.1,2.3,190,,0,0,0
2060,1,1,23,-3.7,86,0.6,2.1,191,,0,0,0
2060,1,2,0,-4.1,91.7,0.3,1.5,180,,0,0,0
2060,1,2,1,-3.3,88,0.6,1.9,207,,0,0,0
2060,1,2,2,-2.5,89,0.5,1.4,34,,0,0,0
2060,1,2,3,-2.1,90.6,0.2,0.9,45,,0,0,0
2060,1,2,4,-1.3,89,0.4,1.5,27,,0,0,0
2060,1,2,5,-0.7,90.7,0.4,2.2,207,,0,0,0
2060,1,2,6,-0.6,90.7,1.4,2.8,214,,0,0,0
2060,1,2,7,-0.4,93.4,0.4,2.3,45,,6,6,0
2060,1,2,8,0.5,93.2,1.6,4.9,45,,44,44,0
