time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2060,1,1,0,0.5,92.7,0.4,1.3,66,,0,0,0
2060,1,1,1,0.1,92.5,0.3,1.2,65,,0,0,0
2060,1,1,2,-0.1,92.5,0.3,1.2,64,,0,0,0
2060,1,1,3,-0.4,92.5,0.3,1.1,62,,0,0,0
2060,1,1,4,-0.4,92.4,0.3,1.2,69,,0,0,0
2060,1,1,5,-0.5,92.4,0.3,1.2,62,,0,0,0
2060,1,1,6,-0.6,92.5,0.3,1.3,54,,0,0,0
2060,1,1,7,-0.7,92.3,0.3,1.3,53,,4,0,0
2060,1,1,8,-0.9,92,0.2,1.2,27,,46,46,0
2060,1,1,9,-0.5,90.3,0.4,1.5,63,,78,78,0
2060,1,1,10,-0.8,90.1,0.6,2.3,68,,38,38,0
2060,1,1,11,0.3,87.9,0.7,2.3,79,,265,154,324
2060,1,1,12,1.9,82.6,0.9,2,69,,196,157,117
2060,1,1,13,2.7,80.8,1.3,7.2,217,,156,128,98
2060,1,1,14,2.1,88.3,0.8,5.5,153,,75,75,0
2060,1,1,15,2.1,88,0.5,2.6,56,,20,20,0
2060,1,1,16,2,89,1.3,3.9,60,,0,0,0
2060,1,1,17,1.5,92.1,1.1,4.2,117,,1,0,0
2060,1,1,18,1.6,90,0.7,2,51,,0,0,0
2060,1,1,19,1.7,91.1,0.7,2,67,,0,0,0
2060,1,1,20,1.9,93.9,1.2,2.8,66,,0,0,0
2060,1,1,21,1.6,95,0.4,1.4,76,,0,0,0
2060,1,1,22,1.6,92.9,0.6,1.7,68,,0,0,0
2060,1,1,23,1.2,93.9,0.6,1.8,68,,0,0,0
2060,1,2,0,1.3,92.5,0.7,1.8,45,,0,0,0
2060,1,2,1,1.4,93.5,0.6,1.7,79,,0,0,0
2060,1,2,2,1.7,93.7,0.4,1.6,56,,0,0,0
2060,1,2,3,1.7,94.2,0.2,0.9,63,,0,0,0
2060,1,2,4,2.1,92.2,0.6,1.2,68,,0,0,0
2060,1,2,5,0.7,91.6,0.2,0.9,0,,0,0,0
2060,1,2,6,-0.9,92.1,0.2,1,360,,0,0,0
2060,1,2,7,-0.9,89.8,1,2.9,68,,3,0,0
2060,1,2,8,-1.6,89.3,0.5,2.7,63,,19,19,0
2060,1,2,9,-2.2,86.9,0.5,2.4,63,,27,27,0
2060,1,2,10,-2.3,84.9,0.7,2.3,72,,37,37,0
2060,1,2,11,-0.5,74.7,1.1,3.2,73,,270,153,339
2060,1,2,12,0.6,70.8,1,2.8,73,,319,118,598
2060,1,2,13,0.4,72.7,0.8,2.1,82,,209,134,258
2060,1,2,14,-0.5,75,0.3,1.8,63,,33,33,0
2060,1,2,15,-1.5,80.2,0.9,2.6,69,,29,29,0
2060,1,2,16,-2.3,83.1,0.4,1.7,56,,0,0,0
2060,1,2,17,-2.7,87.1,0.8,3,60,,0,0,0
2060,1,2,18,-3,85.9,0.5,2.1,79,,0,0,0
2060,1,2,19,-3,86.5,0.9,3.1,76,,0,0,0
2060,1,2,20,-2.9,84.5,0.9,3.8,76,,0,0,0
2060,1,2,21,-3.3,85,0.3,1.4,72,,0,0,0
2060,1,2,22,-2.7,82.5,1.5,3.8,67,,0,0,0
2060,1,2,23,-2.5,79.5,0.8,3.7,68,,0,0,0
2060,1,3,0,-2.5,82.3,0.9,4,68,,0,0,0
2060,1,3,1,-2.9,84.1,0.9,3.2,63,,0,0,0
2060,1,3,2,-2.4,79.9,1,2.5,72,,0,0,0
2060,1,3,3,-2.1,79.3,0.5,1.8,0,,0,0,0
2060,1,3,4,-3.8,83.4,0.7,2.7,72,,0,0,0
2060,1,3,5,-2.7,78,0.9,3.6,77,,0,0,0
2060,1,3,6,-2.8,77.9,0.4,2.3,72,,0,0,0
2060,1,3,7,-2.5,74,0.6,2.4,68,,4,0,0
2060,1,3,8,-1.3,71.2,1.1,3.4,73,,19,19,0
2060,1,3,9,-1,72.7,0.4,1.8,270,,32,32,0
2060,1,3,10,-2.2,75.6,0.1,0.9,90,,40,40,0
2060,1,3,11,-1,78.2,0.6,2.1,72,,306,135,495
2060,1,3,12,1.8,67.8,1,2.6,79,,338,95,716
2060,1,3,13,1.8,69.4,0.6,1.6,72,,224,133,310
2060,1,3,14,0.6,72.8,0.6,2.1,72,,27,27,0
2060,1,3,15,-0.3,77.7,0.8,2.6,72,,16,16,0
2060,1,3,16,-0.7,80.9,0.7,2.8,59,,1,0,0
2060,1,3,17,-0.8,79.7,0.7,2.2,63,,0,0,0
2060,1,3,18,0.6,72.5,0.7,2.1,74,,0,0,0
2060,1,3,19,0.1,71.2,0.6,1.8,68,,0,0,0
2060,1,3,20,0.3,69,0.5,1.6,63,,0,0,0
2060,1,3,21,-0.5,72.8,0.5,2.1,53,,0,0,0
2060,1,3,22,0,68.2,0.7,2.2,74,,0,0,0
2060,1,3,23,0.7,63.4,0.9,2.5,69,,0,0,0
2060,1,4,0,0.4,65.5,0.3,1.9,63,,0,0,0
2060,1,4,1,-1.4,72.3,0.4,2.1,72,,0,0,0
2060,1,4,2,-2.3,76.4,0.6,2.3,56,,0,0,0
2060,1,4,3,-3.6,81.4,1,2.9,76,,0,0,0
2060,1,4,4,-2.6,76.2,1,2.5,68,,0,0,0
2060,1,4,5,-2.9,77.6,0.2,1.5,45,,0,0,0
2060,1,4,6,-3.4,76.1,0.6,2,72,,0,0,0
2060,1,4,7,-2.5,72.3,0.6,2,72,,4,0,0
2060,1,4,8,-2.5,67.8,0.7,2.2,74,,18,18,0
2060,1,4,9,-1.9,66.3,0.5,2,79,,29,29,0
2060,1,4,10,-1.3,63.3,0.8,3,83,,35,35,0
2060,1,4,11,1.2,56.5,0.9,2.9,77,,271,155,333
2060,1,4,12,2.7,56.6,0.9,2.6,76,,316,94,652
2060,1,4,13,3.1,56.7,0.7,2.1,82,,231,92,475
2060,1,4,14,1,63.5,0.5,1.6,56,,56,56,0
2060,1,4,15,0.3,67.5,0.8,2.3,74,,27,27,0
2060,1,4,16,-0.4,70,0.8,3.1,67,,1,0,0
2060,1,4,17,-0.1,68.8,0.8,2.4,76,,0,0,0
2060,1,4,18,0.1,64.9,0.6,2.8,68,,0,0,0
2060,1,4,19,-0.5,69,0.7,2.7,56,,0,0,0
2060,1,4,20,1.1,69.4,1.5,3.6,70,,0,0,0
2060,1,4,21,3,72.9,0.4,2.9,360,,0,0,0
2060,1,4,22,3.3,78.6,0.9,3.2,72,,0,0,0
2060,1,4,23,3.9,86.7,0.9,3.4,69,,0,0,0
2060,1,5,0,3.9,87.9,1.2,3.4,59,,0,0,0
2060,1,5,1,3.3,91.6,0.4,3.6,315,,0,0,0
2060,1,5,2,4.1,86.7,1.3,3.1,45,,0,0,0
2060,1,5,3,4.1,86.3,1.5,4,63,,0,0,0
2060,1,5,4,3.5,90.4,0.6,3.2,243,,0,0,0
2060,1,5,5,3.4,91,0.4,2.2,27,,0,0,0
2060,1,5,6,3.2,91.4,0.6,2.9,63,,0,0,0
2060,1,5,7,3.5,89.5,0.9,2.4,69,,4,0,0
2060,1,5,8,4.1,86.7,1.3,3.3,63,,49,49,0
2060,1,5,9,4.1,87.9,0.6,1.6,68,,91,91,0
2060,1,5,10,4.2,86.7,0.3,1.9,63,,100,100,0
2060,1,5,11,4.7,84.6,1.1,2.3,73,,264,143,346
