time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2060,1,1,0,6,90.3,1.9,5,192,,0,0,0
2060,1,1,1,6.2,91.3,1.2,3.3,182,,0,0,0
2060,1,1,2,6.3,91.5,0.6,2.4,186,,0,0,0
2060,1,1,3,6.4,91.4,0.4,1.8,186,,0,0,0
2060,1,1,4,6.4,91.2,0.3,1.6,188,,0,0,0
2060,1,1,5,6.2,91.1,0.4,1.9,196,,0,0,0
2060,1,1,6,6,90.7,0.5,2,203,,0,0,0
2060,1,1,7,5.8,90.1,0.7,2.6,192,,6,0,0
2060,1,1,8,5.4,90.7,0.9,2.8,207,,39,39,0
2060,1,1,9,7,85,1.2,5.7,135,,190,86,447
2060,1,1,10,7.9,81,0.8,2.6,278,,265,58,675
2060,1,1,11,8.6,75.9,1,2.4,256,,298,56,710
2060,1,1,12,8.6,75.5,0.7,2.1,262,,274,95,540
2060,1,1,13,7.8,75.6,1.5,3.5,290,,145,145,0
2060,1,1,14,8,73,1.1,3,280,,78,78,0
2060,1,1,15,7.5,75.4,0.9,2.6,162,,27,27,0
2060,1,1,16,7.2,73.9,0.4,2.7,270,,0,0,0
2060,1,1,17,7.1,74.7,0.8,3.5,248,,0,0,0
2060,1,1,18,6.9,79,1.7,4.1,191,,0,0,0
2060,1,1,19,7,77.4,2.5,7.5,137,,0,0,0
2060,1,1,20,6.7,77.4,1.7,5.8,281,,0,0,0
2060,1,1,21,6.5,79,0.5,3.4,207,,0,0,0
2060,1,1,22,6.6,79.6,1,3.9,146,,0,0,0
2060,1,1,23,6.3,81.1,1.2,3.3,225,,0,0,0
2060,1,2,0,6.4,80.7,0.3,2.5,207,,0,0,0
2060,1,2,1,6.4,80.5,0.8,3.6,146,,0,0,0
2060,1,2,2,6.7,79.5,1.1,6.1,135,,0,0,0
2060,1,2,3,7.6,81.9,2.5,6.9,130,,0,0,0
2060,1,2,4,8.3,83.6,2.4,9,167,,0,0,0
2060,1,2,5,9.3,81.4,1.2,7,219,,0,0,0
2060,1,2,6,8.5,84.2,0.9,3,315,,0,0,0
2060,1,2,7,8,91.2,1,4,243,,3,0,0
2060,1,2,8,10.2,85.5,4.5,11,164,,11,11,0
