time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2035,1,1,0,-5.2,72.2,3.4,7.4,151,42,0,0,0
2035,1,1,1,-5.5,65.8,2.5,5.5,123,26,0,0,0
2035,1,1,2,-5.7,61.7,1.9,4.7,126,16,0,0,0
2035,1,1,3,-5.9,57.7,1.3,3.7,124,6,0,0,0
2035,1,1,4,-5.8,56.2,0.7,2.9,134,1,0,0,0
2035,1,1,5,-5.8,55.9,0.8,3.6,198,4,0,0,0
2035,1,1,6,-5.7,56.4,0.8,4.3,270,6,0,0,0
2035,1,1,7,-5.5,54.3,1.5,5.4,297,16,7,0,0
2035,1,1,8,-5.5,51.5,1.4,7.1,291,29,57,57,0
2035,1,1,9,-4.7,52.1,4.8,7.5,276,44,99,99,0
2035,1,1,10,-4,50.1,4.8,7.6,277,58,179,179,0
2035,1,1,11,-3.4,49.8,4.8,8.1,317,73,196,196,0
2035,1,1,12,-3.4,49.9,3.8,7.8,315,88,234,234,0
2035,1,1,13,-3.2,44.1,2,8.2,297,90,211,122,290
2035,1,1,14,-3.7,45.4,3.3,8.1,301,92,113,113,0
2035,1,1,15,-4.1,50.3,4.1,8.2,304,94,38,38,0
2035,1,1,16,-4.6,52.6,3.1,8.7,312,96,7,0,0
2035,1,1,17,-5.7,73,4.6,9.1,293,98,2,0,0
2035,1,1,18,-6.8,91.2,5,7.3,286,100,0,0,0
2035,1,1,19,-6.9,88.9,3.8,5.7,260,100,0,0,0
2035,1,1,20,-6.9,92.5,4,5.7,264,100,0,0,0
2035,1,1,21,-7.8,86.6,0.7,4.8,198,100,0,0,0
2035,1,1,22,-7.9,84.4,0.2,3.6,135,100,0,0,0
2035,1,1,23,-8.7,76,4.5,6.6,93,100,0,0,0
2035,1,2,0,-9,75.5,6.7,9.2,97,100,0,0,0
2035,1,2,1,-9,88.3,7.5,10,101,100,0,0,0
2035,1,2,2,-9,86,7.3,10.1,88,100,0,0,0
2035,1,2,3,-9.4,71.6,6.5,8.7,94,100,0,0,0
2035,1,2,4,-9.7,69.9,7,9.7,98,100,0,0,0
2035,1,2,5,-9.8,73.1,7,9.2,96,100,0,0,0
2035,1,2,6,-9.8,71,7.2,10.1,94,100,0,0,0
2035,1,2,7,-9.7,76.9,7.6,11.2,98,100,7,0,0
