time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2060,1,1,0,2.1,89.7,1.9,3.4,223,,0,0,0
2060,1,1,1,1.6,90.3,2.1,3.9,227,,0,0,0
2060,1,1,2,1.2,90.7,2.3,4.1,232,,0,0,0
2060,1,1,3,0.8,90.8,2.4,4.2,234,,0,0,0
2060,1,1,4,0.4,90.9,2.5,4.5,234,,0,0,0
2060,1,1,5,0.2,90.8,2.3,4.3,230,,0,0,0
2060,1,1,6,0,90.5,1.8,3.8,231,,0,0,0
2060,1,1,7,0.1,89.8,1.6,3.6,225,,3,0,0
2060,1,1,8,0.4,88.4,1.5,3.3,231,,24,24,0
2060,1,1,9,0.9,87.6,1.4,4.1,265,,58,58,0
2060,1,1,10,1.3,85.9,2.1,4.5,285,,103,102,2
2060,1,1,11,1.8,84.4,1.2,3.5,243,,144,136,24
2060,1,1,12,2.4,82.6,0.7,2.3,202,,194,143,160
2060,1,1,13,3.2,79,0.5,1.9,162,,180,93,322
2060,1,1,14,3,83.3,0.9,2.6,27,,105,57,268
2060,1,1,15,2.2,87.5,0.5,1.5,72,,29,29,0
2060,1,1,16,1.1,89.9,1,2.6,202,,0,0,0
2060,1,1,17,0.8,90.3,2.1,3,208,,0,0,0
2060,1,1,18,0.2,91.3,1.3,2.2,241,,0,0,0
2060,1,1,19,0,91.8,1.2,1.9,225,,0,0,0
2060,1,1,20,0.3,89.9,1.8,3.1,237,,0,0,0
2060,1,1,21,0.8,87.7,2.1,3.5,267,,0,0,0
2060,1,1,22,0.1,89.8,1.8,2.6,264,,0,0,0
2060,1,1,23,-0.4,90.4,1.7,2.8,231,,0,0,0
2060,1,2,0,-0.7,90.2,1.3,2.9,247,,0,0,0
2060,1,2,1,-0.8,90.8,1.6,3.1,203,,0,0,0
2060,1,2,2,-1.1,91.1,1.6,2.6,233,,0,0,0
2060,1,2,3,-0.9,91,1.4,2.7,225,,0,0,0
2060,1,2,4,-0.7,90.6,1.6,3.3,220,,0,0,0
2060,1,2,5,-1.3,91.1,1.4,2.3,228,,0,0,0
2060,1,2,6,-1.8,88.3,1.3,2.4,212,,0,0,0
2060,1,2,7,-2.3,85.7,1.1,2.3,209,,7,0,0
2060,1,2,8,-1.2,89.5,1.2,2,218,,69,41,242
2060,1,2,9,0.4,87.5,0.3,1.1,225,,152,63,394
2060,1,2,10,1.9,84,0.8,2.4,27,,227,70,525
2060,1,2,11,2.5,85.3,0.7,2.4,53,,253,123,391
2060,1,2,12,3.2,82.3,1.1,2.6,90,,241,121,373
2060,1,2,13,3.4,82.6,1,2,107,,191,89,376
2060,1,2,14,3.1,87,1.2,2.1,110,,106,64,232
2060,1,2,15,2.3,90,0.5,1.3,135,,32,32,0
2060,1,2,16,0.7,92.2,0.7,2.1,198,,0,0,0
2060,1,2,17,-0.2,93.5,0.7,2.1,225,,0,0,0
2060,1,2,18,-1.1,93.8,0.2,1.1,333,,0,0,0
2060,1,2,19,-2,94.5,0.4,1.7,304,,0,0,0
2060,1,2,20,-1.4,95.4,0.9,2,284,,0,0,0
2060,1,2,21,-2.5,94.5,0.4,1.6,207,,0,0,0
2060,1,2,22,-3,93,0.4,0.9,153,,0,0,0
2060,1,2,23,-3.8,90.4,0.3,0.8,297,,0,0,0
2060,1,3,0,-3.7,93.3,0.5,1.3,315,,0,0,0
2060,1,3,1,-3.7,93.4,0.8,2,304,,0,0,0
2060,1,3,2,-3.1,93.9,0.7,1.5,286,,0,0,0
2060,1,3,3,-3.4,93.6,0.5,1.3,270,,0,0,0
2060,1,3,4,-3,93.7,0.5,1.1,180,,0,0,0
2060,1,3,5,-4.9,87.5,0.4,1.1,225,,0,0,0
2060,1,3,6,-5.6,86.6,0.2,1.2,207,,0,0,0
2060,1,3,7,-4.5,92.7,0.6,1.5,202,,10,0,0
2060,1,3,8,-3.6,92,0.2,1.1,297,,74,37,308
2060,1,3,9,-2.5,94.1,0.4,1.3,333,,128,82,203
2060,1,3,10,-1.7,95.2,0.2,0.9,315,,131,118,42
2060,1,3,11,-1,95.9,0.1,1.1,315,,125,125,4
2060,1,3,12,-0.4,96.5,0.4,1.6,104,,119,115,11
2060,1,3,13,0,96.9,0.3,1.2,135,,91,91,1
2060,1,3,14,0.2,97,0.7,2.1,117,,61,61,1
2060,1,3,15,-0.3,96.5,0.1,0.7,315,,17,17,0
2060,1,3,16,-0.8,95.6,0.5,1.2,166,,1,0,0
2060,1,3,17,-1.4,92.8,0.6,1.8,304,,0,0,0
2060,1,3,18,-1.6,95.3,0.6,1.5,270,,0,0,0
2060,1,3,19,-1.2,93.5,0.4,1.8,270,,0,0,0
2060,1,3,20,-1.6,94.1,0.6,1.4,270,,0,0,0
