time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2060,1,1,0,4.4,84.2,2,4.2,136,91,0,0,0
2060,1,1,1,4.1,80.8,2.2,4.5,113,95,0,0,0
2060,1,1,2,3.9,78.8,2.1,4.3,118,97,0,0,0
2060,1,1,3,3.6,76.8,2,4.2,123,99,0,0,0
2060,1,1,4,3.4,76,1.7,3.5,139,100,0,0,0
2060,1,1,5,3.3,76.6,1.2,2.6,183,100,0,0,0
2060,1,1,6,3.2,76.9,0.6,1.6,222,100,0,0,0
2060,1,1,7,3.2,77.3,0.3,1.2,240,100,2,0,0
2060,1,1,8,3.3,76.9,0,0.7,0,100,19,19,0
2060,1,1,9,3.7,76.5,0.1,1,360,100,49,49,0
2060,1,1,10,4.1,76.5,0.8,2.7,277,100,75,75,0
2060,1,1,11,4.4,74,1,2.4,243,100,101,101,0
2060,1,1,12,4.7,71.2,1.3,2.7,247,100,113,113,0
2060,1,1,13,4.8,70.4,2,3.6,252,100,72,72,0
2060,1,1,14,4.5,70.9,2,3.7,233,100,32,32,0
2060,1,1,15,3.9,75.2,1.3,3,265,100,14,14,0
2060,1,1,16,3.3,81.6,1.6,3.1,305,100,2,0,0
2060,1,1,17,2.7,92.2,1.4,2.8,291,100,1,0,0
2060,1,1,18,2.5,93.5,0.7,2.1,310,100,0,0,0
2060,1,1,19,2.6,93.8,0.1,1.3,270,100,0,0,0
2060,1,1,20,2.5,93.3,0.2,1.1,315,100,0,0,0
2060,1,1,21,2.6,92.3,0.7,2.6,248,100,0,0,0
2060,1,1,22,2.6,92.5,1.1,2.3,260,100,0,0,0
2060,1,1,23,2.3,94.3,0.7,1.5,278,100,0,0,0
2060,1,2,0,2.2,94,0,0.8,0,100,0,0,0
2060,1,2,1,2.2,93.3,0.4,1.2,304,100,0,0,0
2060,1,2,2,2.5,91.7,0.7,2,225,100,0,0,0
2060,1,2,3,2.3,92.9,0.8,2.2,277,100,0,0,0
2060,1,2,4,2.1,93.2,0.2,1.9,270,100,0,0,0
2060,1,2,5,2.2,92.6,1.1,2.2,287,100,0,0,0
2060,1,2,6,2.3,91.6,1.1,2.1,275,100,0,0,0
2060,1,2,7,2.4,91.1,0.2,1.6,270,100,1,0,0
2060,1,2,8,2.4,91.5,0.3,1.2,304,100,44,39,43
2060,1,2,9,2.6,90.8,0.8,3.1,320,100,59,59,0
2060,1,2,10,3.3,88.5,0.2,0.9,297,100,220,108,362
2060,1,2,11,4.1,83.7,0.9,2.5,63,100,178,145,92
2060,1,2,12,4.5,83.4,2.1,3.9,51,100,82,82,0
2060,1,2,13,4.6,81.1,2.3,6.2,67,98,34,34,0
2060,1,2,14,4.5,79.1,3.6,6.6,40,96,34,34,0
2060,1,2,15,4.1,77.3,3.9,6.6,41,94,20,20,0
2060,1,2,16,4.1,73.9,4.4,11,61,92,0,0,0
2060,1,2,17,3.6,73,7.1,11.9,58,90,0,0,0
2060,1,2,18,3.5,72.9,6.7,12.1,52,88,0,0,0
2060,1,2,19,3.4,71.5,6.8,12.2,47,89,0,0,0
2060,1,2,20,3.3,72.4,6.4,11.4,51,90,0,0,0
2060,1,2,21,3,73.6,6.1,12,55,91,0,0,0
2060,1,2,22,2.8,73,7.9,14.2,57,92,0,0,0
2060,1,2,23,2.3,74.8,7,13,56,93,0,0,0
2060,1,3,0,2,75.6,6.1,11.5,59,94,0,0,0
2060,1,3,1,1.9,75.7,4.6,8.2,46,95,0,0,0
2060,1,3,2,1.9,76.6,3.3,7.1,47,96,0,0,0
2060,1,3,3,1.9,77.5,4.9,7.9,62,97,0,0,0
2060,1,3,4,1.7,78.5,4.5,8.8,72,98,0,0,0
2060,1,3,5,1.7,77.6,5,8.8,64,99,0,0,0
2060,1,3,6,1.3,77.8,4,8.1,44,100,0,0,0
2060,1,3,7,1.2,77.9,2.7,6.2,34,100,1,0,0
2060,1,3,8,1.4,76.2,4.1,7.4,40,100,11,11,0
2060,1,3,9,1.6,75.3,3.8,7.1,38,100,33,33,0
2060,1,3,10,1.9,73.8,2.8,5.3,36,100,53,53,0
2060,1,3,11,1.9,72.7,3.5,6.4,71,100,56,56,0
2060,1,3,12,1.9,73.8,4,7.6,68,100,56,56,0
2060,1,3,13,2,70.8,4.5,8,67,100,67,67,0
2060,1,3,14,2,70.4,4.6,7.8,68,100,51,51,0
2060,1,3,15,2,72.1,3.9,8,67,100,23,23,0
2060,1,3,16,2,73.2,3.2,5.6,76,100,1,0,0
2060,1,3,17,1.9,72.2,3.6,7.1,76,100,1,0,0
2060,1,3,18,1.8,72.9,3.6,6.5,81,100,0,0,0
2060,1,3,19,1.7,69.2,3.6,7.2,79,100,0,0,0
2060,1,3,20,1.7,66.1,3.3,5.9,63,100,0,0,0
2060,1,3,21,1.6,67,2.7,5.2,66,100,0,0,0
2060,1,3,22,1.4,65.5,3.4,6.6,74,100,0,0,0
2060,1,3,23,1.2,65.3,3.8,6.5,73,100,0,0,0
2060,1,4,0,1.1,68,2.9,6.6,76,100,0,0,0
2060,1,4,1,0.9,70.9,2.9,5.5,78,100,0,0,0
2060,1,4,2,0.9,71.3,2.4,4.8,80,100,0,0,0
2060,1,4,3,0.9,71,2.3,4.7,77,100,0,0,0
2060,1,4,4,0.4,66.6,2.3,4.9,2,100,0,0,0
2060,1,4,5,0,62.5,0.8,3.3,353,100,0,0,0
2060,1,4,6,0.1,63.7,0.2,1.3,63,100,0,0,0
2060,1,4,7,0.3,67.3,1.1,2.9,41,94,0,0,0
2060,1,4,8,0.7,67.2,1.9,3.9,74,88,24,24,0
2060,1,4,9,0.9,67.8,2.1,4.1,87,81,48,48,0
2060,1,4,10,1,66.4,2.1,4.1,85,75,58,58,0
2060,1,4,11,1.2,63.4,2,4.2,84,69,103,103,0
2060,1,4,12,1.5,63.9,0.5,4.1,22,62,191,148,120
2060,1,4,13,2.3,59.1,0.9,3.7,98,67,256,98,506
2060,1,4,14,2.7,59,0.8,2.7,158,71,172,56,505
2060,1,4,15,2.4,59.9,0.6,1.8,90,75,78,47,283
2060,1,4,16,1.9,64.1,0.9,1.5,67,79,5,0,0
2060,1,4,17,1.8,67.4,0.9,1.6,13,83,0,0,0
2060,1,4,18,1.8,68.8,0.2,1.1,297,88,0,0,0
2060,1,4,19,1.9,67.3,0.2,1.4,333,86,0,0,0
2060,1,4,20,1.7,70,0.3,1.3,360,85,0,0,0
2060,1,4,21,1.7,72.4,0.6,2.1,153,84,0,0,0
2060,1,4,22,1.4,74.5,0.4,1.2,146,83,0,0,0
