time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2035,1,1,0,-0.2,82.7,0.9,2.2,219,,0,0,0
2035,1,1,1,-1.1,80.5,1.1,2.5,221,,0,0,0
2035,1,1,2,-1.8,79.6,1.2,2.9,217,,0,0,0
2035,1,1,3,-2.3,78.4,1.4,3.3,211,,0,0,0
2035,1,1,4,-2.6,78.7,1.5,3.7,206,,0,0,0
2035,1,1,5,-2.5,79.3,1.6,3.8,197,,0,0,0
2035,1,1,6,-2.2,79.5,1.5,4.1,176,,0,0,0
2035,1,1,7,-1.9,78.3,1.4,3.9,177,,1,0,0
2035,1,1,8,-1.9,76.3,2,3.9,198,,15,15,0
2035,1,1,9,-1.8,75.8,0.6,1.6,221,,80,80,0
2035,1,1,10,-1.4,71,0.2,1.2,124,,203,119,272
2035,1,1,11,-0.5,65.9,0.7,1.6,111,,274,126,427
2035,1,1,12,0,61.4,0.9,2.2,125,,275,86,556
2035,1,1,13,-0.2,65.4,2,3.1,185,,231,70,549
2035,1,1,14,-0.7,65.7,2.4,4.5,213,,143,58,415
2035,1,1,15,-1.7,70.3,2.9,4.9,203,,16,16,0
2035,1,1,16,-2.4,74.6,1.9,3.7,188,,0,0,0
2035,1,1,17,-3.4,76.9,2.7,5.2,203,,0,0,0
2035,1,1,18,-3.6,79.6,1.1,3.6,144,,0,0,0
2035,1,1,19,-2.5,73.7,2,4.2,195,,0,0,0
2035,1,1,20,-3,75.4,1.3,3.5,190,,0,0,0
2035,1,1,21,-2.7,76.5,1.5,4.3,185,,0,0,0
2035,1,1,22,-1.6,79,0.7,2.1,159,,0,0,0
2035,1,1,23,-1,73.5,1,2.9,180,,0,0,0
2035,1,2,0,-0.7,80.5,1.6,4.7,89,,0,0,0
2035,1,2,1,-0.5,81.7,1.5,5.8,26,,0,0,0
2035,1,2,2,-0.7,91.3,2.1,5,137,,0,0,0
2035,1,2,3,0,92.5,3.5,6.8,62,,0,0,0
2035,1,2,4,0,92.1,2.2,6.5,62,,0,0,0
2035,1,2,5,-0.1,92.3,1,2.3,90,,0,0,0
2035,1,2,6,0.2,92.3,0.4,2.7,99,,0,0,0
2035,1,2,7,0.7,92.1,1.2,5.4,15,,4,0,0
2035,1,2,8,1.5,92.3,2.1,6.3,53,,21,21,0
2035,1,2,9,2.4,91.5,2.1,6.1,30,,29,29,0
2035,1,2,10,2.5,90.5,0.8,2.8,34,,106,106,1
2035,1,2,11,2.6,89.8,1.8,4.7,68,,95,95,0
2035,1,2,12,3,85.3,0.7,2.7,163,,162,146,49
2035,1,2,13,3.4,82.8,0.9,2.4,73,,167,126,137
2035,1,2,14,3.1,86.8,1.1,2.3,185,,57,57,0
2035,1,2,15,2.6,88.8,0.8,1.9,121,,32,32,0
2035,1,2,16,2.1,91.8,1.2,3.4,197,,1,0,0
2035,1,2,17,2,91.8,0.8,2.3,217,,0,0,0
2035,1,2,18,2,92,0.5,2.2,210,,0,0,0
2035,1,2,19,2.1,92.7,1.1,3,198,,0,0,0
2035,1,2,20,1.7,93.8,0.8,2.9,241,,0,0,0
2035,1,2,21,0.5,93.5,0.6,2,186,,0,0,0
2035,1,2,22,1.3,93.5,1.7,3.1,203,,0,0,0
2035,1,2,23,0.5,92.7,0.4,2,215,,0,0,0
2035,1,3,0,0.9,93.6,1.1,2.6,209,,0,0,0
2035,1,3,1,1.5,93.8,1.6,3.6,195,,0,0,0
2035,1,3,2,1.6,93.9,0.5,3.4,169,,0,0,0
2035,1,3,3,1.5,94,1,2.3,202,,0,0,0
2035,1,3,4,1,94,0.8,2.4,205,,0,0,0
2035,1,3,5,1,93.4,1.4,3.5,186,,0,0,0
2035,1,3,6,0.6,93.1,2,3.7,188,,0,0,0
2035,1,3,7,-0.1,91.6,1.1,2.9,195,,4,0,0
2035,1,3,8,0,91.5,1,3.4,210,,27,27,0
2035,1,3,9,0.4,92.4,0.5,2.4,138,,49,49,0
2035,1,3,10,2.5,85.5,0.5,2.3,129,,263,119,468
2035,1,3,11,3.1,75.8,1,2.9,73,,315,95,636
2035,1,3,12,3.9,63.5,0.6,2.8,145,,251,137,333
2035,1,3,13,4,59.3,1.2,3.5,214,,253,110,483
2035,1,3,14,2.9,61.7,2.2,4.2,217,,121,78,203
2035,1,3,15,1.8,66.7,1.3,2.2,226,,22,22,0
2035,1,3,16,0.2,73.2,0.8,2.5,210,,1,0,0
2035,1,3,17,-0.1,77.6,0.8,2.5,210,,0,0,0
2035,1,3,18,-0.6,82.2,0.4,1.3,251,,0,0,0
2035,1,3,19,-0.3,78.9,0.5,1.9,240,,0,0,0
2035,1,3,20,-0.2,77.5,0.5,2.1,217,,0,0,0
2035,1,3,21,-0.9,78.7,0.6,1.7,225,,0,0,0
2035,1,3,22,-0.8,79.6,0.8,2.2,232,,0,0,0
2035,1,3,23,0.4,73.9,0.6,3.9,216,,0,0,0
2035,1,4,0,0.3,73.3,1,2.4,243,,0,0,0
2035,1,4,1,0.4,80.3,0.7,3,330,,0,0,0
2035,1,4,2,0.6,89.8,0.6,1.7,150,,0,0,0
2035,1,4,3,1.2,93.4,1.3,3.7,107,,0,0,0
2035,1,4,4,1.1,93.5,0.6,1.8,153,,0,0,0
2035,1,4,5,1,94.2,1.4,4,228,,0,0,0
2035,1,4,6,1.5,86.9,6.7,21.9,247,,0,0,0
2035,1,4,7,0.8,90.9,7.2,16.6,255,,1,0,0
2035,1,4,8,0.4,89.7,5.3,11.7,266,,11,11,0
2035,1,4,9,-0.3,89.2,3.7,7.9,16,,26,26,0
2035,1,4,10,-0.5,89.2,1.3,3,16,,88,88,0
2035,1,4,11,-0.2,84.9,1.1,2.3,61,,216,146,201
2035,1,4,12,-0.2,80.9,1.8,4.5,237,,324,88,685
2035,1,4,13,-1.1,83.3,1.4,6,213,,266,65,676
2035,1,4,14,-1.1,79.8,1.7,5,212,,160,74,407
2035,1,4,15,-2.6,76.5,3.2,4.1,217,,20,20,0
