time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2060,1,1,0,-0.5,82.6,0.9,2.2,219,,0,0,0
2060,1,1,1,-1.5,80.4,1.1,2.5,221,,0,0,0
2060,1,1,2,-2.1,79.4,1.2,2.9,217,,0,0,0
2060,1,1,3,-2.7,78.3,1.4,3.3,211,,0,0,0
2060,1,1,4,-3,78.5,1.5,3.7,206,,0,0,0
2060,1,1,5,-2.8,79.2,1.6,3.8,197,,0,0,0
2060,1,1,6,-2.5,79.4,1.5,4.1,176,,0,0,0
2060,1,1,7,-2.3,78.2,1.4,3.9,177,,1,0,0
2060,1,1,8,-2.2,76.2,2,3.9,198,,16,16,0
2060,1,1,9,-2.1,75.7,0.6,1.6,221,,82,82,0
2060,1,1,10,-1.7,70.9,0.2,1.2,124,,207,121,278
2060,1,1,11,-0.8,65.8,0.7,1.6,111,,280,129,436
2060,1,1,12,-0.3,61.3,0.9,2.2,125,,280,88,567
2060,1,1,13,-0.5,65.3,2,3.1,185,,235,72,560
2060,1,1,14,-1,65.6,2.4,4.5,213,,146,59,423
2060,1,1,15,-2,70.2,2.9,4.9,203,,17,17,0
2060,1,1,16,-2.7,74.5,1.9,3.7,188,,0,0,0
2060,1,1,17,-3.7,76.8,2.7,5.2,203,,0,0,0
2060,1,1,18,-3.9,79.5,1.1,3.6,144,,0,0,0
2060,1,1,19,-2.8,73.6,2,4.2,195,,0,0,0
2060,1,1,20,-3.3,75.3,1.3,3.5,190,,0,0,0
2060,1,1,21,-3,76.4,1.5,4.3,185,,0,0,0
2060,1,1,22,-1.9,78.9,0.7,2.1,159,,0,0,0
2060,1,1,23,-1.3,73.4,1,2.9,180,,0,0,0
2060,1,2,0,-1,80.4,1.6,4.7,89,,0,0,0
2060,1,2,1,-0.8,81.6,1.5,5.8,26,,0,0,0
2060,1,2,2,-1,91.1,2.1,5,137,,0,0,0
2060,1,2,3,-0.3,92.3,3.5,6.8,62,,0,0,0
2060,1,2,4,-0.3,91.9,2.2,6.5,62,,0,0,0
2060,1,2,5,-0.4,92.1,1,2.3,90,,0,0,0
2060,1,2,6,-0.1,92.1,0.4,2.7,99,,0,0,0
2060,1,2,7,0.4,91.9,1.2,5.4,15,,4,0,0
2060,1,2,8,1.2,92.1,2.1,6.3,53,,22,22,0
2060,1,2,9,2.1,91.3,2.1,6.1,30,,30,30,0
2060,1,2,10,2.2,90.3,0.8,2.8,34,,108,108,1
2060,1,2,11,2.3,89.6,1.8,4.7,68,,96,96,0
2060,1,2,12,2.7,85.1,0.7,2.7,163,,165,149,50
2060,1,2,13,3.1,82.7,0.9,2.4,73,,170,129,140
2060,1,2,14,2.8,86.6,1.1,2.3,185,,58,58,0
2060,1,2,15,2.3,88.6,0.8,1.9,121,,32,32,0
2060,1,2,16,1.8,91.6,1.2,3.4,197,,1,0,0
2060,1,2,17,1.7,91.6,0.8,2.3,217,,0,0,0
2060,1,2,18,1.7,91.8,0.5,2.2,210,,0,0,0
2060,1,2,19,1.8,92.5,1.1,3,198,,0,0,0
2060,1,2,20,1.4,93.6,0.8,2.9,241,,0,0,0
2060,1,2,21,0.2,93.3,0.6,2,186,,0,0,0
2060,1,2,22,1,93.3,1.7,3.1,203,,0,0,0
2060,1,2,23,0.2,92.5,0.4,2,215,,0,0,0
2060,1,3,0,0.6,93.4,1.1,2.6,209,,0,0,0
2060,1,3,1,1.2,93.6,1.6,3.6,195,,0,0,0
2060,1,3,2,1.3,93.7,0.5,3.4,169,,0,0,0
2060,1,3,3,1.2,93.8,1,2.3,202,,0,0,0
2060,1,3,4,0.7,93.8,0.8,2.4,205,,0,0,0
2060,1,3,5,0.7,93.2,1.4,3.5,186,,0,0,0
2060,1,3,6,0.3,92.9,2,3.7,188,,0,0,0
2060,1,3,7,-0.4,91.4,1.1,2.9,195,,4,0,0
2060,1,3,8,-0.3,91.3,1,3.4,210,,28,28,0
2060,1,3,9,0.1,92.2,0.5,2.4,138,,50,50,0
2060,1,3,10,2.2,85.3,0.5,2.3,129,,268,121,477
2060,1,3,11,2.8,75.7,1,2.9,73,,321,96,648
2060,1,3,12,3.6,63.4,0.6,2.8,145,,256,140,339
2060,1,3,13,3.7,59.2,1.2,3.5,214,,258,112,493
2060,1,3,14,2.6,61.6,2.2,4.2,217,,123,80,206
2060,1,3,15,1.5,66.6,1.3,2.2,226,,23,23,0
2060,1,3,16,-0.1,73.1,0.8,2.5,210,,1,0,0
2060,1,3,17,-0.4,77.5,0.8,2.5,210,,0,0,0
2060,1,3,18,-0.9,82.1,0.4,1.3,251,,0,0,0
2060,1,3,19,-0.6,78.8,0.5,1.9,240,,0,0,0
2060,1,3,20,-0.5,77.4,0.5,2.1,217,,0,0,0
2060,1,3,21,-1.2,78.6,0.6,1.7,225,,0,0,0
2060,1,3,22,-1.1,79.5,0.8,2.2,232,,0,0,0
2060,1,3,23,0.1,73.8,0.6,3.9,216,,0,0,0
2060,1,4,0,0,73.2,1,2.4,243,,0,0,0
2060,1,4,1,0.1,80.2,0.7,3,330,,0,0,0
2060,1,4,2,0.3,89.6,0.6,1.7,150,,0,0,0
2060,1,4,3,0.9,93.2,1.3,3.7,107,,0,0,0
2060,1,4,4,0.8,93.3,0.6,1.8,153,,0,0,0
2060,1,4,5,0.7,94,1.4,4,228,,0,0,0
2060,1,4,6,1.2,86.7,6.7,21.9,247,,0,0,0
2060,1,4,7,0.5,90.7,7.2,16.6,255,,1,0,0
2060,1,4,8,0.1,89.5,5.3,11.7,266,,11,11,0
2060,1,4,9,-0.6,89,3.7,7.9,16,,27,27,0
2060,1,4,10,-0.8,89,1.3,3,16,,89,89,0
