time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2060,1,1,0,6,85.2,2.7,5.2,203,93,0,0,0
2060,1,1,1,6.6,84.5,2.9,5.8,216,91,0,0,0
2060,1,1,2,6.9,83.5,3.2,6.4,223,89,0,0,0
2060,1,1,3,7.4,82.1,3.4,7,231,88,0,0,0
2060,1,1,4,7.6,80.7,3.6,7.4,233,87,0,0,0
2060,1,1,5,7.6,79.6,3.4,7.6,235,86,0,0,0
2060,1,1,6,7.6,78.4,3.5,7.9,236,86,0,0,0
2060,1,1,7,7.7,77.7,3.1,7.4,242,83,3,0,0
2060,1,1,8,7.6,77.4,1.2,5.5,256,79,60,40,174
2060,1,1,9,8.5,74.6,2.7,5.9,253,75,162,67,427
2060,1,1,10,9.2,71.9,3.4,7.6,253,71,268,110,531
2060,1,1,11,9.2,72.3,3,6.1,266,67,184,137,141
2060,1,1,12,9.7,70,3.7,7,256,62,254,129,387
2060,1,1,13,9.7,68.3,3.4,6.9,249,69,152,118,124
2060,1,1,14,9.8,67.5,2.7,4.9,220,75,77,71,31
2060,1,1,15,9.2,68.2,2,4.8,192,81,25,25,0
2060,1,1,16,8.9,70.9,2.3,5.8,211,88,0,0,0
2060,1,1,17,8.2,81.1,2.4,5.8,227,94,0,0,0
2060,1,1,18,7.8,85.6,3.2,7,193,100,0,0,0
2060,1,1,19,8.5,78,4.6,8.6,204,99,0,0,0
2060,1,1,20,9,73.5,4,10.6,225,98,0,0,0
2060,1,1,21,9.8,72.6,6.9,14.2,249,97,0,0,0
2060,1,1,22,9.9,74.1,8.4,15.1,250,96,0,0,0
2060,1,1,23,10.1,74.1,7.8,14.8,257,95,0,0,0
2060,1,2,0,10.6,73.6,7.7,16,254,94,0,0,0
2060,1,2,1,11,75.8,6.7,14.6,255,93,0,0,0
2060,1,2,2,11.3,76.6,7.9,16.3,252,92,0,0,0
2060,1,2,3,11.3,78.9,9.4,16.4,248,91,0,0,0
2060,1,2,4,11,80.4,8.6,16.4,243,90,0,0,0
2060,1,2,5,11,83.2,7.3,14.2,247,89,0,0,0
2060,1,2,6,11,85.8,6.2,14.3,240,88,0,0,0
2060,1,2,7,10.6,91.1,4.2,8.3,203,90,0,0,0
2060,1,2,8,10.8,88.6,4.3,8,211,92,10,10,0
2060,1,2,9,10.7,90.3,3.6,6.5,222,94,29,29,0
2060,1,2,10,11,90.7,3.9,8.1,217,96,45,45,0
2060,1,2,11,11.2,89.1,4,8.3,239,98,36,36,0
2060,1,2,12,11.5,88,3.6,7.9,225,100,56,56,0
2060,1,2,13,11.5,88.7,5.3,13.4,267,96,12,12,0
2060,1,2,14,11.4,86.8,7.4,19.7,260,92,4,4,0
2060,1,2,15,12.8,80.3,9.7,22.4,252,88,10,10,0
2060,1,2,16,13.5,72.5,8.8,23.2,252,83,0,0,0
2060,1,2,17,13.7,66.4,12.2,24.7,251,79,0,0,0
2060,1,2,18,13.8,58.8,11.6,26,253,75,0,0,0
2060,1,2,19,13.2,52.9,12.4,27.2,250,76,0,0,0
2060,1,2,20,11.9,58.4,10,20.7,250,77,0,0,0
2060,1,2,21,10.5,64.6,10.4,21,250,78,0,0,0
2060,1,2,22,10,62.1,9.2,16.9,250,79,0,0,0
2060,1,2,23,9.4,64.5,8.5,17.6,248,80,0,0,0
2060,1,3,0,9.2,66.7,7.5,16.3,251,81,0,0,0
2060,1,3,1,8.9,65.4,7.9,15.7,249,82,0,0,0
2060,1,3,2,9,63.6,8.7,16.8,249,83,0,0,0
2060,1,3,3,8.5,67.6,8.5,15.2,248,84,0,0,0
2060,1,3,4,8.2,68.5,7.7,16.5,253,85,0,0,0
2060,1,3,5,8,70.6,7.5,14.7,251,86,0,0,0
2060,1,3,6,8,71.1,7.2,14.5,249,88,0,0,0
2060,1,3,7,8.6,65.4,5.9,13,256,85,5,0,0
2060,1,3,8,8.9,62.3,5.1,11.1,259,83,27,27,0
2060,1,3,9,9.1,62.4,4.3,10,242,81,59,59,0
2060,1,3,10,10.7,54.4,5.4,11.1,235,79,252,134,391
2060,1,3,11,10.8,53.1,6.1,13.1,245,77,184,149,106
2060,1,3,12,11.5,50.5,5,12.2,256,75,268,134,407
2060,1,3,13,10.9,48.3,5.7,11.6,256,77,161,122,139
2060,1,3,14,10.4,52.7,6.1,15.3,251,79,71,70,5
2060,1,3,15,9.9,55.5,3.8,9.3,238,81,12,12,0
2060,1,3,16,8.8,65.2,4.9,11.8,244,83,0,0,0
2060,1,3,17,8.4,68.4,4.2,8.2,236,85,0,0,0
2060,1,3,18,8.3,73.1,4.6,10.5,251,88,0,0,0
2060,1,3,19,8.1,77.8,6.1,12,251,89,0,0,0
2060,1,3,20,8.3,78.6,7.4,13.6,248,90,0,0,0
2060,1,3,21,8.5,77.3,6.5,12.3,250,91,0,0,0
2060,1,3,22,8.6,76.6,7.2,15.2,247,92,0,0,0
2060,1,3,23,7.9,84,7,14.2,250,93,0,0,0
2060,1,4,0,7.9,84.7,7.1,17.1,252,94,0,0,0
2060,1,4,1,7.7,86.5,4.9,11.1,262,95,0,0,0
2060,1,4,2,7.4,88.6,4.2,10.5,263,96,0,0,0
2060,1,4,3,7,87.8,6,11.9,261,97,0,0,0
2060,1,4,4,6,89.7,3.3,7.1,297,98,0,0,0
2060,1,4,5,5.6,90.2,3.2,8.1,277,99,0,0,0
2060,1,4,6,5.3,88.8,2.8,5.5,260,100,0,0,0
2060,1,4,7,5,89.9,1.4,2.9,207,98,4,0,0
2060,1,4,8,5.5,91.8,1.3,2.4,175,96,19,19,0
2060,1,4,9,6.1,91.8,2.3,3.8,146,94,54,54,0
2060,1,4,10,6.4,93,2.8,4.7,156,92,55,55,0
2060,1,4,11,6.7,92.6,2.7,4.7,167,90,62,62,0
2060,1,4,12,7,91.9,2.4,4.8,182,88,47,47,0
2060,1,4,13,7.1,88.4,2.7,6,193,90,52,52,0
2060,1,4,14,7.1,88.5,2.1,6.4,211,92,23,23,0
2060,1,4,15,7.1,85.6,4.4,12.9,243,94,6,6,0
2060,1,4,16,6.5,87,5.5,12.4,251,96,0,0,0
2060,1,4,17,6.1,86.7,5.3,9.9,263,98,0,0,0
2060,1,4,18,4.7,81.1,6.4,17.4,289,100,0,0,0
2060,1,4,19,4,74.2,4.3,9.9,273,97,0,0,0
2060,1,4,20,3.6,74.5,3.6,9.3,277,94,0,0,0
2060,1,4,21,2.8,79.7,4.9,9.1,289,91,0,0,0
2060,1,4,22,1.9,80.2,4.7,9.3,298,88,0,0,0
2060,1,4,23,0.9,81.8,4,10.3,296,84,0,0,0
2060,1,5,0,0.5,79.2,4.2,9.1,297,81,0,0,0
