time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2060,1,1,0,5,94,0.7,2.1,158,,0,0,0
2060,1,1,1,5.9,95,0.6,2,173,,0,0,0
2060,1,1,2,6.5,95.6,0.7,2.1,193,,0,0,0
2060,1,1,3,7.1,96.1,0.7,2.3,196,,0,0,0
2060,1,1,4,7.4,96.5,0.7,2.4,195,,0,0,0
2060,1,1,5,7.2,96.4,0.7,2.6,186,,0,0,0
2060,1,1,6,6.9,96.2,0.8,3.1,176,,0,0,0
2060,1,1,7,7,94.3,0.8,3.3,164,,4,0,0
2060,1,1,8,6.6,94.7,0.8,3,225,,78,38,337
2060,1,1,9,8.7,84.9,0.6,1.9,191,,175,45,567
2060,1,1,10,10.1,75.6,0.7,2.9,121,,246,55,630
2060,1,1,11,10.7,73,1.1,3.2,167,,275,69,607
2060,1,1,12,11.2,70.9,1.2,3.8,171,,246,85,484
2060,1,1,13,11.5,69.9,1.5,4.8,172,,205,100,368
2060,1,1,14,10.8,71.3,0.9,1.9,174,,66,63,16
2060,1,1,15,10,74.6,1.1,1.9,180,,18,18,0
2060,1,1,16,9.4,79.3,0.5,1.5,207,,0,0,0
2060,1,1,17,9.5,80.2,1.1,4.5,153,,0,0,0
2060,1,1,18,9,85.4,0.9,2.5,113,,0,0,0
2060,1,1,19,8.5,90.6,0.8,2.6,225,,0,0,0
2060,1,1,20,8.1,93.3,1.2,2.8,191,,0,0,0
2060,1,1,21,7.9,95,0.7,2.5,326,,0,0,0
2060,1,1,22,7.7,95.4,0.9,4.6,166,,0,0,0
2060,1,1,23,7.6,94.6,0.4,3.1,225,,0,0,0
2060,1,2,0,8.1,92.1,0.6,4.6,117,,0,0,0
2060,1,2,1,9.9,81.8,1.4,7.6,34,,0,0,0
2060,1,2,2,11.2,81.8,1.7,10.1,11,,0,0,0
2060,1,2,3,10.2,91.9,1.4,5.1,9,,0,0,0
2060,1,2,4,10.3,91.4,1,5.5,90,,0,0,0
2060,1,2,5,10.1,96.2,0.8,3.3,225,,0,0,0
2060,1,2,6,10.2,98.7,0.9,3.9,127,,0,0,0
2060,1,2,7,11.7,87.6,4.2,10.1,168,,2,0,0
2060,1,2,8,12.9,78.7,3.6,13,172,,16,16,0
2060,1,2,9,13.2,77.4,3.1,9.4,145,,28,28,0
2060,1,2,10,12.8,82.5,5,13.4,170,,54,54,0
2060,1,2,11,14.6,70.6,6.9,15.7,170,,45,45,0
2060,1,2,12,14.8,71.8,4.3,13.2,167,,125,118,18
2060,1,2,13,15.8,64.4,1.1,9,171,,43,43,0
2060,1,2,14,13.3,86.4,3.6,13.5,308,,7,7,0
2060,1,2,15,12.5,93.6,1.5,9,256,,9,9,0
2060,1,2,16,17.4,49.9,7.4,20.2,247,,0,0,0
2060,1,2,17,17.8,39.5,8.7,26,243,,0,0,0
2060,1,2,18,17.2,38.5,11.4,25.4,253,,0,0,0
2060,1,2,19,14.9,53.6,9.7,22.3,255,,0,0,0
2060,1,2,20,14,52.3,8.9,20.3,262,,0,0,0
2060,1,2,21,13.1,46,10.2,22,259,,0,0,0
