time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2035,1,1,0,2.5,73.8,2.7,7.1,156,,0,0,0
2035,1,1,1,2.9,68.6,2.9,7.9,120,,0,0,0
2035,1,1,2,3.2,65.2,3.1,8.5,96,,0,0,0
2035,1,1,3,3.4,62.1,3.2,8.8,72,,0,0,0
2035,1,1,4,3.5,61.1,3.2,8.8,61,,2,0,0
2035,1,1,5,3.5,61.9,3.1,8.6,61,,0,0,0
2035,1,1,6,3.3,63.4,3,8.3,63,,0,0,0
2035,1,1,7,3.5,62.6,3.4,8.8,63,,6,0,0
2035,1,1,8,4.2,59,3.8,9.8,67,,97,57,338
2035,1,1,9,4.3,58.4,4.1,10.7,72,,164,77,369
2035,1,1,10,4.4,57.8,3.1,10.3,75,,176,136,129
2035,1,1,11,5.3,54.5,3.4,10.7,75,,300,132,478
2035,1,1,12,5.2,54.8,3.8,9.8,74,,228,141,253
2035,1,1,13,5.3,54.4,2.9,8,76,,243,118,417
2035,1,1,14,4.4,57.2,3.1,9.8,69,,92,82,45
2035,1,1,15,4.1,59,3.2,8.8,64,,54,38,178
2035,1,1,16,3.5,60.9,3.3,9.6,63,,1,0,0
2035,1,1,17,3.4,61,3.7,10.6,63,,2,0,0
2035,1,1,18,3.4,61.1,3.4,10.9,64,,0,0,0
2035,1,1,19,3.5,60.4,4.4,11.6,62,,1,0,0
2035,1,1,20,3.4,61.6,4.7,14.3,62,,1,0,0
2035,1,1,21,3.4,61.4,3.5,11.8,65,,1,0,0
2035,1,1,22,3.3,62.7,2.9,8.8,72,,2,0,0
2035,1,1,23,2.5,71.2,2.5,6.8,73,,3,0,0
2035,1,2,0,1.4,85.4,2.6,8,67,,1,0,0
2035,1,2,1,1.2,85.9,3.2,7.9,66,,1,0,0
2035,1,2,2,1,89.9,3.5,8.2,57,,1,0,0
2035,1,2,3,0.7,95,3.4,8.8,57,,1,0,0
2035,1,2,4,0.6,95.7,2.4,5.9,63,,0,0,0
2035,1,2,5,0.2,99.3,1.6,6,67,,2,0,0
2035,1,2,6,0.2,97.4,1.8,6.2,66,,1,0,0
2035,1,2,7,0.4,94.9,2.4,5.4,57,,5,0,0
2035,1,2,8,0.5,95.6,1.6,3.9,55,,18,18,0
2035,1,2,9,0.8,92.5,2.7,6,59,,23,23,0
2035,1,2,10,0.5,96.4,2.1,5.6,67,,34,34,0
2035,1,2,11,0.7,95.2,2.7,5.8,63,,99,99,0
2035,1,2,12,0.8,92.1,2.5,6.7,61,,58,58,0
2035,1,2,13,1.2,87.1,2,7.2,57,,55,55,0
2035,1,2,14,1.2,86.4,2.1,7,55,,37,37,0
