time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2060,1,1,0,4,62.6,3.2,8.2,163,,0,0,0
2060,1,1,1,4.3,61.4,3.3,8.6,124,,0,0,0
2060,1,1,2,4.5,60.6,3.4,9,97,,0,0,0
2060,1,1,3,4.6,60.6,3.3,8.9,72,,0,0,0
2060,1,1,4,4.7,61,3.2,8.8,61,,2,0,0
2060,1,1,5,4.6,61.8,3.1,8.6,61,,0,0,0
2060,1,1,6,4.4,63.4,3,8.3,63,,0,0,0
2060,1,1,7,4.6,62.5,3.4,8.8,63,,6,0,0
2060,1,1,8,5.4,58.9,3.8,9.8,67,,94,55,327
2060,1,1,9,5.5,58.3,4.1,10.7,72,,158,74,356
2060,1,1,10,5.6,57.8,3.1,10.3,75,,170,131,125
2060,1,1,11,6.5,54.4,3.4,10.7,75,,289,127,461
2060,1,1,12,6.4,54.8,3.8,9.8,74,,220,136,245
2060,1,1,13,6.5,54.3,2.9,8,76,,234,113,403
2060,1,1,14,5.6,57.2,3.1,9.8,69,,88,79,44
2060,1,1,15,5.3,58.9,3.2,8.8,64,,52,36,172
2060,1,1,16,4.7,60.9,3.3,9.6,63,,1,0,0
2060,1,1,17,4.6,61,3.7,10.6,63,,2,0,0
2060,1,1,18,4.6,61.1,3.4,10.9,64,,0,0,0
2060,1,1,19,4.7,60.3,4.4,11.6,62,,1,0,0
2060,1,1,20,4.6,61.6,4.7,14.3,62,,1,0,0
2060,1,1,21,4.6,61.4,3.5,11.8,65,,1,0,0
2060,1,1,22,4.5,62.7,2.9,8.8,72,,2,0,0
2060,1,1,23,3.7,71.1,2.5,6.8,73,,3,0,0
2060,1,2,0,2.6,85.3,2.6,8,67,,1,0,0
2060,1,2,1,2.4,85.9,3.2,7.9,66,,1,0,0
2060,1,2,2,2.2,89.8,3.5,8.2,57,,1,0,0
2060,1,2,3,1.9,94.9,3.4,8.8,57,,1,0,0
2060,1,2,4,1.8,95.6,2.4,5.9,63,,0,0,0
2060,1,2,5,1.4,99.3,1.6,6,67,,2,0,0
2060,1,2,6,1.4,97.3,1.8,6.2,66,,1,0,0
2060,1,2,7,1.6,94.8,2.4,5.4,57,,5,0,0
2060,1,2,8,1.7,95.5,1.6,3.9,55,,18,18,0
2060,1,2,9,2,92.5,2.7,6,59,,22,22,0
2060,1,2,10,1.7,96.3,2.1,5.6,67,,33,33,0
2060,1,2,11,1.9,95.1,2.7,5.8,63,,96,96,0
2060,1,2,12,2,92.1,2.5,6.7,61,,56,56,0
2060,1,2,13,2.4,87.1,2,7.2,57,,53,53,0
2060,1,2,14,2.4,86.4,2.1,7,55,,35,35,0
2060,1,2,15,2.5,82.8,3.3,8.5,52,,8,8,0
2060,1,2,16,2,89.3,3.8,7.7,58,,2,0,0
2060,1,2,17,1.5,94.8,4.1,8,58,,1,0,0
2060,1,2,18,1.3,98.1,1.5,5.1,78,,0,0,0
2060,1,2,19,1.2,94.2,1.5,3.6,50,,0,0,0
2060,1,2,20,1.1,85.9,2.8,6.8,352,,1,0,0
2060,1,2,21,1.3,81.9,2.7,5,352,,0,0,0
2060,1,2,22,0.9,84.2,3.5,6.2,348,,0,0,0
2060,1,2,23,0.7,85.5,3.7,7.6,317,,0,0,0
2060,1,3,0,0.8,82.6,3.8,6.7,295,,0,0,0
2060,1,3,1,0.4,86.8,3.4,7.1,294,,1,0,0
2060,1,3,2,0.5,85,2.9,7,293,,0,0,0
2060,1,3,3,0.3,84.7,1.8,4.7,286,,0,0,0
2060,1,3,4,0.4,82.6,3.1,6.7,284,,0,0,0
