time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2035,1,1,0,7.5,87.7,1.7,4,244,,0,0,0
2035,1,1,1,7.7,85.9,2.1,4.7,242,,0,0,0
2035,1,1,2,7.8,84.7,2.4,5.2,246,,0,0,0
2035,1,1,3,7.9,83.5,2.8,5.8,252,,0,0,0
2035,1,1,4,8,82.7,3.1,6.4,253,,0,0,0
2035,1,1,5,7.9,82.8,3.2,6.6,252,,0,0,0
2035,1,1,6,7.8,83.7,3.4,6.7,252,,0,0,0
2035,1,1,7,7.9,84.1,3.3,6.6,251,,3,0,0
2035,1,1,8,8,83.2,2.7,6.6,247,,38,35,24
2035,1,1,9,9,82.1,3.2,7.8,233,,231,139,416
2035,1,1,10,9.6,80,4.3,7.6,243,,295,123,575
2035,1,1,11,9.7,78.5,4.2,8.1,239,,274,92,536
2035,1,1,12,9.9,77.5,4.4,8.9,229,,240,117,368
2035,1,1,13,10.2,75.5,4.1,10,233,,175,113,216
2035,1,1,14,9.4,77.8,3.5,8.8,239,,54,54,0
2035,1,1,15,9.5,78,3.8,8.3,239,,16,16,0
2035,1,1,16,9.6,75.1,5,10.6,248,,0,0,0
2035,1,1,17,9.3,78.7,5.1,11.2,241,,0,0,0
2035,1,1,18,10,72.4,6.5,12.7,227,,0,0,0
2035,1,1,19,9.9,77.4,6.4,13.5,226,,0,0,0
2035,1,1,20,10,80.6,6.8,15.8,223,,0,0,0
2035,1,1,21,11.1,78.4,7.4,16.1,233,,0,0,0
2035,1,1,22,11.5,74.8,6.6,13.9,231,,0,0,0
2035,1,1,23,11.8,72.8,6.2,13.7,232,,0,0,0
2035,1,2,0,11.4,76.5,5.5,11.3,241,,0,0,0
2035,1,2,1,10.8,84.5,5.2,11.8,247,,0,0,0
2035,1,2,2,11.2,83.4,5.9,13.9,245,,0,0,0
2035,1,2,3,11.6,82.1,6.5,13.7,241,,0,0,0
2035,1,2,4,11.1,89.7,6.3,13.4,236,,0,0,0
2035,1,2,5,11.2,91.4,5.6,12.8,244,,0,0,0
2035,1,2,6,11.4,91.2,4.9,10.7,246,,0,0,0
2035,1,2,7,11.5,91.6,5.8,13.6,241,,1,0,0
2035,1,2,8,11.7,91.3,6.4,13.5,239,,4,4,0
2035,1,2,9,11.9,89.9,7.5,14.5,231,,21,21,0
2035,1,2,10,12.5,85.5,7.8,18.2,229,,31,31,0
2035,1,2,11,12.3,88.3,8.2,16.2,234,,22,22,0
2035,1,2,12,12.3,86.8,6.3,13,238,,20,20,0
2035,1,2,13,12.9,86.9,8.5,18.6,245,,9,9,0
2035,1,2,14,13,88.2,6.8,15,247,,27,27,0
2035,1,2,15,13.6,78.7,7.9,17.8,239,,23,23,0
2035,1,2,16,14.1,69.5,10.1,21.6,248,,0,0,0
2035,1,2,17,14.4,59.5,10.5,20.1,248,,0,0,0
2035,1,2,18,12.5,65.7,10.9,23.8,253,,0,0,0
2035,1,2,19,11.7,63.2,9.5,19.6,257,,0,0,0
2035,1,2,20,11.1,60.4,8.3,19.2,251,,0,0,0
2035,1,2,21,10.4,62.8,7.9,18.4,251,,0,0,0
2035,1,2,22,10.1,64.1,5.9,17.3,248,,0,0,0
2035,1,2,23,9.9,62.7,6.3,13,227,,0,0,0
2035,1,3,0,9.4,68.3,4.7,12.5,243,,0,0,0
2035,1,3,1,9.7,63.8,5.1,11.9,245,,0,0,0
2035,1,3,2,9.8,61.4,5.4,12.1,247,,0,0,0
2035,1,3,3,9.4,64.4,4.4,9.3,246,,0,0,0
2035,1,3,4,9.2,66.6,6,12.7,246,,0,0,0
2035,1,3,5,8.8,72.3,3.9,11.8,239,,0,0,0
2035,1,3,6,8.6,76.5,3.1,7.4,234,,0,0,0
2035,1,3,7,8.9,71.4,3.5,8.6,253,,2,0,0
2035,1,3,8,9.6,66.7,4.9,8.4,263,,87,57,272
2035,1,3,9,10.4,62.6,4.1,8.6,247,,135,93,187
2035,1,3,10,9.7,64.3,4.4,9.3,249,,99,99,0
2035,1,3,11,10.1,62.4,5.1,8.9,254,,120,119,2
2035,1,3,12,9.9,65.6,4.9,10.4,233,,67,67,0
2035,1,3,13,9.7,66.7,6,11,226,,49,49,0
2035,1,3,14,9.2,71.2,6.5,15.2,226,,19,19,0
2035,1,3,15,8.3,80.7,6.5,14,241,,7,7,0
2035,1,3,16,8.5,81.9,6.6,14.7,235,,0,0,0
2035,1,3,17,8.8,82.2,6.2,13.8,233,,0,0,0
2035,1,3,18,8.8,83.7,6.9,14,233,,0,0,0
2035,1,3,19,8.9,84.3,6.1,13.7,240,,0,0,0
2035,1,3,20,8.9,84,7.6,17.8,235,,0,0,0
2035,1,3,21,8.5,89.1,6.1,12.9,243,,0,0,0
2035,1,3,22,8.6,85.9,6.4,16.5,246,,0,0,0
2035,1,3,23,8.2,82.6,4.8,9.3,250,,0,0,0
2035,1,4,0,8.5,83.5,5.7,13.3,241,,0,0,0
2035,1,4,1,8.1,86.8,6.7,16.6,240,,0,0,0
2035,1,4,2,7.9,89,5.8,14.4,238,,0,0,0
2035,1,4,3,7.7,87.2,4,10,235,,0,0,0
2035,1,4,4,8,81.7,3.1,7.2,248,,0,0,0
2035,1,4,5,7.8,79.2,3.5,6,268,,0,0,0
2035,1,4,6,7.5,81.3,2.7,6,264,,0,0,0
2035,1,4,7,7.6,84.3,2.4,5.5,252,,4,0,0
2035,1,4,8,7.4,87.1,3,8.6,254,,8,8,0
2035,1,4,9,7.7,89.4,4.8,10,238,,13,13,0
2035,1,4,10,7.8,88.8,6.2,13.3,238,,31,31,0
2035,1,4,11,7.7,89.3,5.6,12.9,240,,32,32,0
2035,1,4,12,7.7,87.5,5.9,12.2,241,,25,25,0
2035,1,4,13,7.7,86.7,6.5,14.5,241,,26,26,0
2035,1,4,14,7.2,87.5,7.5,16.8,236,,21,21,0
2035,1,4,15,6.8,88,6,12.6,250,,17,17,0
2035,1,4,16,6.5,84.9,5.2,11.5,249,,0,0,0
2035,1,4,17,5.1,67.7,6.2,15,252,,0,0,0
2035,1,4,18,4.8,63.5,6.8,15.5,241,,0,0,0
2035,1,4,19,3.6,71.9,5.8,13.6,252,,0,0,0
2035,1,4,20,3.1,80.7,6.7,15.4,237,,0,0,0
2035,1,4,21,1.7,74.9,6.3,15.7,260,,0,0,0
2035,1,4,22,1.3,66.8,7.9,15.4,270,,0,0,0
2035,1,4,23,0.8,65,6.2,14,264,,0,0,0
2035,1,5,0,0,65.8,4.5,11.7,241,,0,0,0
2035,1,5,1,-0.4,65.1,4.4,11.9,247,,0,0,0
2035,1,5,2,-0.7,66.9,4.2,8.8,251,,0,0,0
