time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2035,1,1,0,3.7,91.8,0.8,2.5,189,90,0,0,0
2035,1,1,1,3.6,93.4,1,2.8,210,93,0,0,0
2035,1,1,2,3.5,94.3,1.2,3,220,95,0,0,0
2035,1,1,3,3.5,95.1,1.4,3.2,244,98,0,0,0
2035,1,1,4,3.4,95.3,1.6,3.5,263,100,0,0,0
2035,1,1,5,3.4,95,1.7,3.5,262,100,0,0,0
2035,1,1,6,3.5,94.8,1.8,3.7,262,100,0,0,0
2035,1,1,7,3.6,94.8,1.9,3.8,264,100,2,0,0
2035,1,1,8,3.6,95.6,1.9,3.9,266,100,7,7,0
2035,1,1,9,3.8,94.2,1.9,4.1,265,100,20,20,0
2035,1,1,10,3.9,93.1,2,4.3,264,100,19,19,0
2035,1,1,11,4.1,92.4,1.6,3.5,271,100,40,40,0
2035,1,1,12,4.3,92,1.2,3.1,255,100,40,40,0
2035,1,1,13,4.5,93.5,0.7,1.9,131,100,56,56,0
2035,1,1,14,4.4,94.8,0.3,1.9,125,100,35,35,0
2035,1,1,15,4.3,93.7,1,3.3,268,100,16,16,0
2035,1,1,16,4.1,91.7,1.5,3.6,274,100,6,0,0
2035,1,1,17,4.1,92.2,0.8,2.2,285,100,7,0,0
2035,1,1,18,4.1,92.5,0.8,3,276,100,0,0,0
2035,1,1,19,4.3,89.5,1.2,3.3,264,99,0,0,0
2035,1,1,20,4.4,89.6,0.5,2,259,98,0,0,0
2035,1,1,21,4.2,92.7,0.8,2.3,352,97,0,0,0
2035,1,1,22,4.3,89.2,0.7,3.4,260,96,0,0,0
2035,1,1,23,4.1,91.6,0.9,2.1,57,95,0,0,0
2035,1,2,0,4,83.1,1.4,4.2,53,94,0,0,0
2035,1,2,1,3.9,82,1.5,3,32,93,0,0,0
2035,1,2,2,3.8,80.8,0.7,2.3,343,92,0,0,0
2035,1,2,3,3.6,82.9,0.9,2.2,33,91,0,0,0
2035,1,2,4,3.3,80.2,2.2,4.2,39,90,0,0,0
2035,1,2,5,3.4,78.3,2,4.1,13,89,0,0,0
2035,1,2,6,3.6,75.5,1.5,4.8,18,88,0,0,0
2035,1,2,7,3.5,77.3,1.4,3.7,34,90,12,0,0
2035,1,2,8,3.8,76.2,0.7,2.1,358,92,21,21,0
2035,1,2,9,3.9,75.4,0.6,1.9,36,94,38,38,0
2035,1,2,10,4.1,74.5,1.4,4.3,87,96,108,108,1
2035,1,2,11,3.6,84,1.9,4.5,68,98,109,109,0
2035,1,2,12,4.2,78.2,1,2.7,73,100,96,96,0
2035,1,2,13,4.2,80.5,0.3,1.5,137,100,60,60,0
2035,1,2,14,4.2,80.2,0.5,1.6,242,100,29,29,0
2035,1,2,15,4.2,77.7,0.7,1.9,300,100,19,19,0
2035,1,2,16,4.2,77.3,0.3,1.4,326,100,6,0,0
2035,1,2,17,4.2,78.5,0.5,1.5,339,100,0,0,0
2035,1,2,18,4.1,82.7,0.7,1.9,34,100,0,0,0
2035,1,2,19,4.2,82.1,0.7,1.8,329,100,0,0,0
2035,1,2,20,4.3,83.4,0.5,2,315,100,0,0,0
2035,1,2,21,4.3,84.6,0.5,1.8,315,100,0,0,0
2035,1,2,22,4.1,87.5,0.4,1.3,72,100,0,0,0
2035,1,2,23,4.2,87.9,0.6,2.3,293,100,0,0,0
2035,1,3,0,4.2,88.1,0.5,1.5,288,100,0,0,0
2035,1,3,1,4,87.3,1,2.7,61,100,0,0,0
2035,1,3,2,3.9,86.8,0.6,1.8,44,100,0,0,0
2035,1,3,3,4,85.6,0.6,1.4,62,100,0,0,0
2035,1,3,4,4,85.8,0.7,2,294,100,0,0,0
2035,1,3,5,4,87,1.1,2.7,272,100,0,0,0
2035,1,3,6,4,87.3,1,2.7,48,100,0,0,0
2035,1,3,7,4,85.3,0.8,2.3,48,98,1,0,0
2035,1,3,8,4.2,86.4,0.4,2.2,90,96,42,42,0
2035,1,3,9,4.9,82.9,0.9,2.7,140,94,139,100,156
2035,1,3,10,6.2,74.6,2.1,4.4,118,92,274,90,573
2035,1,3,11,6.8,73.5,2.1,4.4,123,90,308,124,515
2035,1,3,12,6.4,70.6,1.2,3.9,197,88,153,144,24
2035,1,3,13,6.4,71.3,1,3,209,90,87,87,0
2035,1,3,14,6.5,71.4,1.5,3.4,239,92,89,79,46
2035,1,3,15,5.8,82.4,1.9,5.9,239,94,13,13,0
2035,1,3,16,5.3,85,1.5,6.7,268,96,1,0,0
2035,1,3,17,5.2,86.7,1.7,5.5,263,98,0,0,0
2035,1,3,18,4.9,90,1.5,4,263,100,0,0,0
2035,1,3,19,4.6,92.1,1.4,3.9,262,100,0,0,0
2035,1,3,20,4.6,91.6,1.6,4.5,260,100,0,0,0
2035,1,3,21,4.5,93.2,1.9,4.7,249,100,0,0,0
2035,1,3,22,4.4,93.4,1,2.6,261,100,0,0,0
2035,1,3,23,4.3,94.2,0.7,1.5,269,100,0,0,0
2035,1,4,0,4.4,93.9,0.8,3,263,100,0,0,0
2035,1,4,1,4.4,95.2,0.7,2.1,352,100,0,0,0
2035,1,4,2,4.3,97,0.8,1.8,84,100,0,0,0
2035,1,4,3,4.3,95.7,0.8,1.7,65,100,0,0,0
2035,1,4,4,4.3,96.3,0.4,1.6,171,100,0,0,0
2035,1,4,5,4.2,97.2,0.7,2.7,89,100,0,0,0
2035,1,4,6,4.2,96.7,0.6,1.8,67,100,0,0,0
2035,1,4,7,4,97.9,0.6,1.9,114,88,1,0,0
2035,1,4,8,4,96.3,0.8,2.4,86,75,49,49,0
2035,1,4,9,4.6,91.9,0.9,2.8,125,62,126,100,107
2035,1,4,10,6.2,74.4,1.5,4.7,149,50,263,102,500
2035,1,4,11,7.6,63,2.4,9.7,105,38,310,65,684
2035,1,4,12,10.6,26.7,1.9,11.5,214,25,314,63,716
2035,1,4,13,9.8,16.3,2.7,14.2,275,21,265,54,702
2035,1,4,14,9.1,14.5,2.9,10.7,143,17,169,61,506
2035,1,4,15,8,14.7,2.5,10.6,131,12,41,41,0
