time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2060,1,1,0,4.2,93.4,1.4,3.1,118,100,0,0,0
2060,1,1,1,3.4,92.1,1.5,3.5,92,100,0,0,0
2060,1,1,2,2.8,91.3,1.4,3.4,72,100,0,0,0
2060,1,1,3,2.3,90.5,1.4,3.3,51,100,0,0,0
2060,1,1,4,1.9,90.4,1.2,2.9,40,100,0,0,0
2060,1,1,5,1.9,90.7,0.9,2.3,40,100,0,0,0
2060,1,1,6,1.8,91.1,0.7,1.8,37,100,0,0,0
2060,1,1,7,1.7,91.2,0.4,1.3,36,100,4,0,0
2060,1,1,8,1.7,91.9,0.1,1,90,100,24,24,0
2060,1,1,9,1.8,90.8,0,0.6,0,100,54,54,0
2060,1,1,10,2,89.3,0.4,2.1,284,100,78,78,0
2060,1,1,11,2.1,89,0.5,2.3,27,100,79,79,0
2060,1,1,12,2.4,86.4,0.5,1.8,90,100,87,87,0
2060,1,1,13,2.6,86.1,0.8,2.1,8,100,64,64,0
2060,1,1,14,2.7,84.5,1.1,2.2,108,100,35,35,0
2060,1,1,15,2.5,87.5,1,1.9,353,100,9,9,0
2060,1,1,16,2,91.7,1,2,90,100,1,0,0
2060,1,1,17,2,94.1,0.4,1.4,342,100,0,0,0
2060,1,1,18,1.6,99.3,0.1,0.7,360,100,0,0,0
2060,1,1,19,1.5,100,0,0,0,100,0,0,0
2060,1,1,20,1.3,100,0,0,0,100,0,0,0
2060,1,1,21,1.4,99.5,0,0,0,100,0,0,0
2060,1,1,22,1.4,99.5,0,0,0,100,0,0,0
2060,1,1,23,1.4,98.2,0.2,1,207,100,0,0,0
2060,1,2,0,1.4,98.8,0.1,0.8,0,100,0,0,0
2060,1,2,1,1.5,99.1,0,0.5,0,100,0,0,0
2060,1,2,2,1.4,99.3,0.1,0.6,90,100,0,0,0
2060,1,2,3,1.3,100,0,0.3,0,100,0,0,0
2060,1,2,4,1.1,99.5,0.4,1.3,104,100,0,0,0
2060,1,2,5,0.6,99.9,0.1,1.1,315,100,0,0,0
