time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2035,1,1,0,0.3,92,0.4,1.5,160,100,0,0,0
2035,1,1,1,0.4,92.3,0.3,1.4,171,100,0,0,0
2035,1,1,2,0.4,92.7,0.3,1.3,184,100,0,0,0
2035,1,1,3,0.4,93.1,0.3,1.3,205,100,0,0,0
2035,1,1,4,0.4,93.4,0.3,1.2,221,100,0,0,0
2035,1,1,5,0.4,93.7,0.4,1.3,237,100,0,0,0
2035,1,1,6,0.3,94,0.5,1.7,263,100,0,0,0
2035,1,1,7,0.3,94.3,0.6,1.9,266,100,6,0,0
2035,1,1,8,0.6,95.3,0.8,2.9,285,100,44,44,0
2035,1,1,9,-0.2,94.8,0.7,2.3,281,100,45,45,0
2035,1,1,10,0,86.7,1.2,4.5,295,100,108,108,0
2035,1,1,11,-0.3,89,0.7,2.6,146,100,113,113,0
2035,1,1,12,-0.1,93.6,0.5,1.8,261,100,50,50,0
2035,1,1,13,0.2,93.2,0.5,1.7,250,100,31,31,0
2035,1,1,14,-0.2,93.1,0.5,1.8,146,100,22,22,0
2035,1,1,15,-0.6,92.3,0.5,2.3,149,100,9,9,0
2035,1,1,16,-0.6,91.4,0.7,2.6,152,100,3,0,0
2035,1,1,17,-0.5,88.5,0.7,2.4,229,100,0,0,0
2035,1,1,18,-1.2,85.9,2.4,5.3,284,100,0,0,0
2035,1,1,19,-2.9,85,2.5,5.2,275,100,0,0,0
2035,1,1,20,-3.7,86.1,3.7,6.2,281,100,0,0,0
2035,1,1,21,-3.7,83.4,4.1,6.7,277,100,0,0,0
2035,1,1,22,-4.4,81.7,2.5,5.3,283,100,0,0,0
2035,1,1,23,-4.8,83.4,2,5.4,285,100,0,0,0
2035,1,2,0,-4.4,85.4,2.9,6.3,275,100,0,0,0
2035,1,2,1,-3.7,83.6,1.2,4.5,281,100,0,0,0
2035,1,2,2,-3.4,83.2,0.5,2.4,252,100,0,0,0
2035,1,2,3,-3,83.8,0.6,2.8,302,100,0,0,0
2035,1,2,4,-3.2,85.7,1.7,4.2,280,100,0,0,0
2035,1,2,5,-1.9,77.5,3.1,6.3,281,100,0,0,0
2035,1,2,6,-1.9,75.5,2.8,6.6,278,100,0,0,0
2035,1,2,7,-2.8,84,1.3,3.9,275,98,7,0,0
2035,1,2,8,-2.3,86.1,0.5,1.9,286,96,35,35,0
2035,1,2,9,-1.5,80.1,0.4,1.9,122,94,61,61,0
2035,1,2,10,-0.6,73.7,0.8,3.3,141,92,119,119,0
2035,1,2,11,-0.1,69.3,0.5,1.6,131,90,103,103,0
2035,1,2,12,0.3,66.7,0.4,2,292,88,129,129,0
2035,1,2,13,1.1,62.2,0.6,1.9,102,90,117,117,0
2035,1,2,14,1.3,62.8,0.5,1.5,233,92,52,52,0
2035,1,2,15,1,68.8,0.7,2.4,118,94,10,10,0
2035,1,2,16,0.9,72.9,0.6,1.4,277,96,1,0,0
2035,1,2,17,0.7,78.9,0.6,1.9,134,98,0,0,0
2035,1,2,18,0.7,80.7,0.8,1.9,267,100,0,0,0
2035,1,2,19,0.6,82.8,0.5,1.9,106,100,0,0,0
2035,1,2,20,0.5,85.3,0.5,1.6,111,100,0,0,0
2035,1,2,21,0.3,87.2,0.5,1.9,108,100,0,0,0
2035,1,2,22,0.3,87.9,0.7,2.3,294,100,0,0,0
2035,1,2,23,0.1,88.3,0.7,2.8,133,100,0,0,0
2035,1,3,0,0.1,88.8,0.5,1.5,118,100,0,0,0
2035,1,3,1,0.1,89,0.6,2,119,100,0,0,0
