time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2060,1,1,0,-0.8,91.5,0.7,2.2,210,86,0,0,0
2060,1,1,1,0,92.4,0.5,1.8,202,91,0,0,0
2060,1,1,2,0.5,93.1,0.5,1.6,196,95,0,0,0
2060,1,1,3,1,93.5,0.4,1.4,206,98,0,0,0
2060,1,1,4,1.3,93.8,0.3,1.2,221,100,0,0,0
2060,1,1,5,1.2,94.1,0.4,1.3,237,100,0,0,0
2060,1,1,6,1.2,94.3,0.5,1.7,263,100,0,0,0
2060,1,1,7,1.1,94.7,0.6,1.9,266,100,6,0,0
2060,1,1,8,1.5,95.7,0.8,2.9,285,100,45,45,0
2060,1,1,9,0.7,95.2,0.7,2.3,281,100,46,46,0
2060,1,1,10,0.9,87,1.2,4.5,295,100,111,111,0
2060,1,1,11,0.6,89.3,0.7,2.6,146,100,117,117,0
2060,1,1,12,0.8,93.9,0.5,1.8,261,100,51,51,0
2060,1,1,13,1.1,93.5,0.5,1.7,250,100,32,32,0
2060,1,1,14,0.7,93.4,0.5,1.8,146,100,23,23,0
2060,1,1,15,0.3,92.7,0.5,2.3,149,100,9,9,0
2060,1,1,16,0.3,91.8,0.7,2.6,152,100,3,0,0
2060,1,1,17,0.4,88.8,0.7,2.4,229,100,0,0,0
2060,1,1,18,-0.3,86.2,2.4,5.3,284,100,0,0,0
2060,1,1,19,-2,85.3,2.5,5.2,275,100,0,0,0
2060,1,1,20,-2.8,86.4,3.7,6.2,281,100,0,0,0
2060,1,1,21,-2.8,83.7,4.1,6.7,277,100,0,0,0
2060,1,1,22,-3.5,82.1,2.5,5.3,283,100,0,0,0
2060,1,1,23,-3.9,83.7,2,5.4,285,100,0,0,0
2060,1,2,0,-3.5,85.7,2.9,6.3,275,100,0,0,0
2060,1,2,1,-2.8,84,1.2,4.5,281,100,0,0,0
2060,1,2,2,-2.5,83.5,0.5,2.4,252,100,0,0,0
2060,1,2,3,-2.1,84.2,0.6,2.8,302,100,0,0,0
2060,1,2,4,-2.3,86,1.7,4.2,280,100,0,0,0
2060,1,2,5,-1,77.8,3.1,6.3,281,100,0,0,0
2060,1,2,6,-1,75.8,2.8,6.6,278,100,0,0,0
2060,1,2,7,-1.9,84.4,1.3,3.9,275,98,7,0,0
2060,1,2,8,-1.4,86.5,0.5,1.9,286,96,36,36,0
2060,1,2,9,-0.6,80.4,0.4,1.9,122,94,63,63,0
2060,1,2,10,0.3,74.1,0.8,3.3,141,92,123,123,0
2060,1,2,11,0.8,69.6,0.5,1.6,131,90,106,106,0
2060,1,2,12,1.2,67,0.4,2,292,88,132,132,0
2060,1,2,13,2,62.5,0.6,1.9,102,90,121,121,0
2060,1,2,14,2.2,63.1,0.5,1.5,233,92,54,54,0
2060,1,2,15,1.9,69,0.7,2.4,118,94,11,11,0
2060,1,2,16,1.8,73.2,0.6,1.4,277,96,1,0,0
2060,1,2,17,1.6,79.2,0.6,1.9,134,98,0,0,0
2060,1,2,18,1.6,81.1,0.8,1.9,267,100,0,0,0
2060,1,2,19,1.5,83.2,0.5,1.9,106,100,0,0,0
2060,1,2,20,1.4,85.7,0.5,1.6,111,100,0,0,0
2060,1,2,21,1.2,87.6,0.5,1.9,108,100,0,0,0
2060,1,2,22,1.2,88.3,0.7,2.3,294,100,0,0,0
2060,1,2,23,1,88.7,0.7,2.8,133,100,0,0,0
2060,1,3,0,1,89.1,0.5,1.5,118,100,0,0,0
2060,1,3,1,1,89.3,0.6,2,119,100,0,0,0
2060,1,3,2,1,89.4,0.5,1.8,297,100,0,0,0
2060,1,3,3,0.8,90.3,0.4,1.5,278,100,0,0,0
2060,1,3,4,0.4,88.8,1.3,4.2,281,100,0,0,0
2060,1,3,5,0.3,78.8,0.9,2.9,268,100,0,0,0
2060,1,3,6,0.4,78.4,1.4,4.2,285,100,0,0,0
2060,1,3,7,0.5,78.3,1.3,3.4,269,92,3,0,0
2060,1,3,8,0.9,77.7,1.5,4,275,83,41,41,0
2060,1,3,9,2.1,66.1,1.4,4.5,295,75,116,116,0
2060,1,3,10,3.2,57,1.1,3.2,294,67,186,186,0
2060,1,3,11,2.3,60.6,1.1,2.6,135,58,147,147,0
2060,1,3,12,2.6,64,1.1,5.8,119,50,110,110,0
2060,1,3,13,2.8,67.7,3,7,122,58,80,80,0
2060,1,3,14,2.9,68.7,1.4,4.3,127,67,85,85,0
2060,1,3,15,2.4,73.8,1.2,2.5,138,75,29,29,0
2060,1,3,16,2.3,77.6,0.1,0.8,27,83,0,0,0
2060,1,3,17,2.1,82,0.6,1.4,133,92,0,0,0
2060,1,3,18,1.9,85.9,0.6,1.9,45,100,0,0,0
2060,1,3,19,1.7,88.5,0.6,1.4,125,96,0,0,0
2060,1,3,20,1.6,91,0.2,1.2,186,92,0,0,0
2060,1,3,21,1.6,92.4,0,0.7,180,88,0,0,0
2060,1,3,22,1.4,93.3,0.2,0.9,135,83,0,0,0
2060,1,3,23,1.3,94.2,0.4,1.4,169,79,0,0,0
2060,1,4,0,1.2,94.4,0.7,2.2,269,75,0,0,0
2060,1,4,1,1.1,93.5,1.3,2.9,274,71,0,0,0
2060,1,4,2,0.7,91.1,1.3,3.4,287,67,0,0,0
2060,1,4,3,0,90.7,1,3.6,279,62,0,0,0
2060,1,4,4,-0.5,91,2.3,5.2,277,58,0,0,0
2060,1,4,5,-1,89.4,0.6,2.4,290,54,0,0,0
2060,1,4,6,-0.7,90.7,1.9,5.3,284,50,0,0,0
2060,1,4,7,1.5,79.7,3.5,9.8,298,52,6,0,0
2060,1,4,8,2.4,57.1,5.6,9.5,294,54,33,33,0
2060,1,4,9,1.9,48.1,5.6,9.7,283,56,39,39,0
2060,1,4,10,2.3,41.2,5.8,12.4,269,58,142,142,0
2060,1,4,11,2.5,38.4,2,8,297,60,151,151,0
2060,1,4,12,1.6,33.4,2.5,9,301,62,52,52,0
2060,1,4,13,0.7,32.5,1.6,6.9,292,52,36,36,0
2060,1,4,14,0.1,37,1.2,8.3,98,42,32,32,0
2060,1,4,15,-0.6,43.6,0.7,2.7,266,31,19,19,0
2060,1,4,16,-1.8,51.4,1.4,4,282,21,0,0,0
2060,1,4,17,-2.1,51.3,2.7,4.8,292,10,0,0,0
2060,1,4,18,-2.4,51.8,3.7,7.1,286,0,0,0,0
2060,1,4,19,-2,49.9,4.5,6.8,291,3,0,0,0
2060,1,4,20,-2.4,48.7,4.3,6.6,293,6,0,0,0
2060,1,4,21,-3.2,48.4,3.8,6.7,282,9,0,0,0
2060,1,4,22,-5.4,57.7,1.3,5,256,12,0,0,0
2060,1,4,23,-6,64.3,1.5,4.2,292,16,0,0,0
2060,1,5,0,-5.6,66.2,2.5,6,289,19,0,0,0
2060,1,5,1,-6.6,71.9,2.2,6.1,280,22,0,0,0
2060,1,5,2,-6.9,72.4,2.1,5.3,281,25,0,0,0
2060,1,5,3,-6.6,74.7,2.6,6.7,278,28,0,0,0
2060,1,5,4,-6.2,72.3,1.4,6,278,31,0,0,0
2060,1,5,5,-5,67.6,0.8,2.3,297,34,0,0,0
2060,1,5,6,-5,70.1,0.6,2.1,268,38,0,0,0
2060,1,5,7,-5.1,73.7,0.9,3,284,42,11,0,0
2060,1,5,8,-4.4,74.4,0.5,1.7,276,46,42,42,0
2060,1,5,9,-4.2,73.9,0.9,3,283,50,32,32,0
2060,1,5,10,-3.9,72.2,1,2.3,288,54,124,124,0
2060,1,5,11,-3.3,68.3,0.7,2.4,271,58,164,164,0
2060,1,5,12,-3,65.7,0.7,2.5,285,62,66,66,0
2060,1,5,13,-2.5,63.8,1.5,3.4,283,69,69,69,0
2060,1,5,14,-3,65.3,1,3.6,280,75,49,49,0
2060,1,5,15,-2.8,67.2,1.4,3.3,285,81,35,35,0
2060,1,5,16,-2.9,69.2,1.3,4.1,285,88,3,0,0
2060,1,5,17,-2.7,69.4,1,3.3,286,94,3,0,0
2060,1,5,18,-1.8,64.8,2.6,4.6,283,100,0,0,0
2060,1,5,19,-1.5,64.9,1.7,3.7,287,100,0,0,0
2060,1,5,20,-1.9,79.7,2.3,4.2,280,100,0,0,0
2060,1,5,21,-2.1,88.2,1.5,4.7,255,100,0,0,0
2060,1,5,22,-2.3,90.5,0.4,2.9,11,100,0,0,0
2060,1,5,23,-2.1,91.1,0.6,2.3,127,100,0,0,0
2060,1,6,0,-2,91.3,1,1.9,130,100,0,0,0
2060,1,6,1,-2,91.4,0.6,1.8,124,100,0,0,0
2060,1,6,2,-1.9,92.1,0.1,1,129,100,0,0,0
2060,1,6,3,-1.9,92.8,0.2,1.5,119,100,0,0,0
2060,1,6,4,-1.6,92.2,0.4,0.9,135,100,0,0,0
2060,1,6,5,-1.8,92.7,0.3,1.1,297,100,0,0,0
2060,1,6,6,-1.8,92.2,0.4,1.5,114,100,0,0,0
2060,1,6,7,-1.7,92.8,0.4,1.8,129,100,3,0,0
2060,1,6,8,-1.3,93.5,0.3,1.6,301,100,39,39,0
2060,1,6,9,0.2,84.9,2.5,8.3,293,100,104,104,0
2060,1,6,10,2.4,67.3,4.5,7.4,290,100,151,151,0
2060,1,6,11,3.6,60.4,3.3,6,293,100,150,150,0
2060,1,6,12,4.3,53.7,3.4,8.9,283,100,131,131,0
2060,1,6,13,4.4,47.3,2.4,7.4,305,100,96,96,0
2060,1,6,14,4.4,44,2.8,9,285,100,79,79,0
2060,1,6,15,3.9,43.6,3.2,11.6,289,100,30,30,0
2060,1,6,16,3.3,42.4,3.6,10.6,278,100,3,0,0
2060,1,6,17,2.8,43.9,3.5,8.4,282,100,0,0,0
2060,1,6,18,2.9,44.1,2.4,7,306,100,0,0,0
2060,1,6,19,2.5,47.7,4,7.7,290,92,0,0,0
2060,1,6,20,2.3,49.2,4.1,8.8,279,83,0,0,0
2060,1,6,21,2.1,47.1,3.3,8.4,294,75,0,0,0
2060,1,6,22,1.9,45.1,3.5,7,301,67,0,0,0
2060,1,6,23,1.7,46.3,3.6,8.4,282,58,0,0,0
2060,1,7,0,1.1,47.2,2.8,6.9,296,50,0,0,0
2060,1,7,1,1.3,44.2,4.3,10.5,274,42,0,0,0
2060,1,7,2,1.3,45.6,3.3,8.3,280,33,0,0,0
2060,1,7,3,1.2,43.4,2.6,5.7,287,25,0,0,0
2060,1,7,4,0.5,44.9,3,5.9,298,17,0,0,0
2060,1,7,5,-0.1,46.3,4.2,8,282,8,0,0,0
2060,1,7,6,-0.6,46.4,6,9.2,295,0,0,0,0
2060,1,7,7,-1.2,46.9,5.6,8.7,293,0,4,0,0
2060,1,7,8,-1.3,46.1,5.7,8.4,292,0,22,22,0
2060,1,7,9,-1.6,44.9,5.5,9.3,295,0,31,31,0
2060,1,7,10,-1,43.3,5.6,9.9,280,0,129,129,0
2060,1,7,11,-1.7,46.1,3.9,6.5,276,0,183,183,0
2060,1,7,12,-2.5,50.1,2.4,5,275,0,43,43,0
2060,1,7,13,-3.1,53.3,3.4,6.3,278,0,44,44,0
2060,1,7,14,-2.9,55.3,2.6,5.6,275,0,39,39,0
2060,1,7,15,-3.1,56.4,1.8,5.7,284,0,26,26,0
2060,1,7,16,-3.8,61.8,1.3,4.1,286,0,3,0,0
2060,1,7,17,-3.8,64.1,2.2,4.8,280,0,0,0,0
2060,1,7,18,-4.1,66.5,2.2,7.1,268,0,0,0,0
2060,1,7,19,-4.5,66.5,2.4,5.4,278,3,0,0,0
2060,1,7,20,-4.2,67.7,2,4.9,287,6,0,0,0
2060,1,7,21,-4.1,68.1,1.3,5.2,284,9,0,0,0
2060,1,7,22,-3.6,68.8,1.1,5.3,290,12,0,0,0
2060,1,7,23,-2.9,69.4,1.7,5.3,282,16,0,0,0
2060,1,8,0,-2.8,69.7,0.6,2.1,267,19,0,0,0
2060,1,8,1,-2.1,70,0.7,2.6,302,22,0,0,0
2060,1,8,2,-1.8,69.7,1.1,4.2,283,25,0,0,0
2060,1,8,3,-1.8,72.3,0.5,1.6,291,28,0,0,0
2060,1,8,4,-1.7,72.4,0.6,2.5,290,31,0,0,0
2060,1,8,5,-2.4,73.6,1.4,4.2,285,34,0,0,0
2060,1,8,6,-3.1,73.9,1,3.6,290,38,0,0,0
2060,1,8,7,-3,73.6,1.6,4.7,282,42,6,0,0
2060,1,8,8,-2.5,70,0.6,2.2,285,46,33,33,0
2060,1,8,9,-0.9,64.7,2.9,6.5,281,50,91,91,0
2060,1,8,10,0.5,56.3,1.2,4.2,287,54,198,198,0
2060,1,8,11,1.3,51.3,0.8,3,137,58,187,187,0
