time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2035,1,1,0,8.3,79.8,1.7,3.9,309,,0,0,0
2035,1,1,1,8.2,83.1,1.4,3.3,306,,0,0,0
2035,1,1,2,8.1,85.3,1.1,2.9,303,,0,0,0
2035,1,1,3,8,87.7,0.9,2.5,299,,0,0,0
2035,1,1,4,8,88.9,0.8,2.4,292,,0,0,0
2035,1,1,5,8,89.4,0.7,2.3,278,,0,0,0
2035,1,1,6,7.9,90.1,0.6,2.4,273,,0,0,0
2035,1,1,7,8,90.1,0.6,2,240,,3,0,0
2035,1,1,8,8.1,90.7,0.4,1.6,153,,84,45,350
2035,1,1,9,8.6,86.2,1.3,3.3,156,,216,99,519
2035,1,1,10,8.8,82.6,1.1,2.6,158,,267,81,609
2035,1,1,11,8.7,79.7,1.3,3.3,160,,279,77,581
2035,1,1,12,8.9,78.7,1,3.6,196,,268,131,400
2035,1,1,13,8.5,83.2,1.2,3.7,253,,92,92,0
2035,1,1,14,8.6,84.2,0.4,2,225,,63,63,0
2035,1,1,15,8.9,81.8,0.2,4.6,243,,27,27,0
2035,1,1,16,8.9,82.6,0.2,1.5,243,,0,0,0
2035,1,1,17,8.9,85.4,0.7,3.3,279,,0,0,0
2035,1,1,18,8.9,86.1,1,4.8,286,,0,0,0
2035,1,1,19,9.1,84.6,1.5,5.6,312,,0,0,0
2035,1,1,20,9.2,86.4,1.5,4.2,304,,0,0,0
2035,1,1,21,9.4,87.4,0.8,2.4,321,,0,0,0
2035,1,1,22,9.7,85.1,1,4.6,319,,0,0,0
2035,1,1,23,9.6,85.1,1.1,2.7,6,,0,0,0
2035,1,2,0,9.7,87.6,0.9,2.6,8,,0,0,0
2035,1,2,1,9.9,88.3,1,4.2,315,,0,0,0
2035,1,2,2,9.7,92.1,0.6,1.8,76,,0,0,0
2035,1,2,3,10,90,0.6,2,360,,0,0,0
2035,1,2,4,10.3,89.4,1.2,4.6,308,,0,0,0
2035,1,2,5,10.6,94.3,1.6,5.6,309,,0,0,0
2035,1,2,6,10.6,92.6,0.6,2.5,22,,0,0,0
2035,1,2,7,10.8,91.8,0.7,2.6,315,,0,0,0
2035,1,2,8,11.1,93,0.5,2,342,,7,7,0
2035,1,2,9,11.6,92.6,0.8,2.6,45,,34,34,0
2035,1,2,10,11.9,86.8,0.9,4.5,284,,25,25,0
2035,1,2,11,11.6,90.2,0.6,3.9,256,,16,16,0
2035,1,2,12,12.2,84.3,2.2,9.7,262,,15,15,0
2035,1,2,13,13.3,77.6,4.9,12.2,284,,16,16,0
2035,1,2,14,15.8,62,5.8,14.4,255,,49,49,0
2035,1,2,15,15.3,63.5,5.7,15.6,248,,24,24,0
2035,1,2,16,15.5,57.8,5.9,15.8,244,,1,0,0
2035,1,2,17,14.8,57.6,5.8,16,258,,0,0,0
2035,1,2,18,13.9,57,7.1,16.1,266,,0,0,0
2035,1,2,19,12.9,62.1,5.1,14.5,271,,0,0,0
2035,1,2,20,12.3,59.2,4.5,12,280,,0,0,0
2035,1,2,21,11.8,56.8,3.6,9.8,268,,0,0,0
2035,1,2,22,11.7,55.8,3.2,11.2,255,,0,0,0
2035,1,2,23,11.5,56.5,2.6,9.7,244,,0,0,0
2035,1,3,0,11.3,58.7,3.2,9.2,261,,0,0,0
2035,1,3,1,11.2,52.2,3.6,9.6,270,,0,0,0
2035,1,3,2,10.9,56.8,2.4,8.8,265,,0,0,0
2035,1,3,3,9.4,70.8,3.2,8.9,276,,0,0,0
2035,1,3,4,9.4,70.5,1,3.7,284,,0,0,0
2035,1,3,5,9.3,68.6,0.8,2.3,326,,0,0,0
2035,1,3,6,9.4,66.4,0.4,1.8,326,,0,0,0
2035,1,3,7,9.4,68.4,1.7,4.3,298,,3,0,0
2035,1,3,8,9.9,60.2,2.3,5,304,,42,40,29
2035,1,3,9,9.9,59.8,1.5,5,281,,72,72,0
2035,1,3,10,9.6,67.1,0.7,3.7,233,,71,71,0
2035,1,3,11,9.4,68.4,0.4,2.3,252,,49,49,0
2035,1,3,12,9.3,69.6,1,3.7,288,,47,47,0
2035,1,3,13,9.8,68.1,0.6,2.2,360,,70,70,0
2035,1,3,14,9.3,75.5,2.1,8.9,261,,14,14,0
2035,1,3,15,9,79.5,1.5,6.1,270,,9,9,0
2035,1,3,16,8.6,85.1,2.3,6.7,297,,0,0,0
2035,1,3,17,9,81.8,3,8.1,291,,0,0,0
2035,1,3,18,9.1,82.5,2.2,7.2,283,,0,0,0
2035,1,3,19,9.9,75.6,2.6,12,248,,0,0,0
2035,1,3,20,10.2,72.2,3.3,12.5,232,,0,0,0
2035,1,3,21,10.9,65.3,3.8,13.2,225,,0,0,0
2035,1,3,22,10.6,66.3,3.8,12.9,246,,0,0,0
2035,1,3,23,9.8,73.1,3.6,11.3,248,,0,0,0
2035,1,4,0,9.1,80.8,3.4,9.2,265,,0,0,0
2035,1,4,1,9.1,78,3.1,8.9,252,,0,0,0
2035,1,4,2,8.9,80,3,8,258,,0,0,0
2035,1,4,3,9,80.6,3.3,8.6,253,,0,0,0
2035,1,4,4,8.9,82.6,2.8,7.5,268,,0,0,0
2035,1,4,5,8.9,80.2,2.8,7.9,264,,0,0,0
2035,1,4,6,8.5,83.9,2.3,5.7,290,,0,0,0
2035,1,4,7,8.4,84,2.2,5.1,288,,1,0,0
2035,1,4,8,8.4,82.3,2.8,8.4,266,,6,6,0
