time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2035,1,1,0,1.3,86.7,1.4,3.5,242,,0,0,0
2035,1,1,1,-0.1,83.9,1.5,3.5,256,,0,0,0
2035,1,1,2,-1.2,82.2,1.7,3.5,266,,0,0,0
2035,1,1,3,-2.2,80.7,1.9,3.7,272,,0,0,0
2035,1,1,4,-2.7,80,2.1,4,271,,0,0,0
2035,1,1,5,-2.9,81.3,2.5,4.7,274,,0,0,0
2035,1,1,6,-3.3,82.7,2.9,5.5,282,,0,0,0
2035,1,1,7,-3.5,84.9,3.1,5.8,284,,0,0,0
2035,1,1,8,-3.6,88.5,3.2,6.4,283,,10,10,0
2035,1,1,9,-3.5,86.6,2.5,4.4,285,,28,28,0
2035,1,1,10,-3.1,78.9,1.7,3.5,303,,140,123,60
2035,1,1,11,-2.3,71.8,1.4,3.5,308,,258,110,444
2035,1,1,12,-1.5,66.5,0.6,2,338,,268,74,596
2035,1,1,13,-0.7,62.8,0.6,1.7,309,,223,61,588
2035,1,1,14,0,60.2,0.4,1.7,317,,133,50,435
2035,1,1,15,-0.1,65.2,0.9,2.1,291,,20,20,0
2035,1,1,16,0.1,72.7,1.9,4.9,158,,0,0,0
2035,1,1,17,0.2,74.2,1.5,3.6,164,,0,0,0
2035,1,1,18,-0.3,76.9,1.6,3.8,155,,0,0,0
2035,1,1,19,-1.4,83.2,0.8,2.3,143,,0,0,0
2035,1,1,20,-2.3,85.5,0.5,2.1,101,,0,0,0
2035,1,1,21,-3.5,90.6,0.1,1.3,11,,0,0,0
2035,1,1,22,-3.4,94,0,0,0,,0,0,0
2035,1,1,23,-3,94.7,0.2,1.6,292,,0,0,0
2035,1,2,0,-2.4,94.5,0.3,1.9,90,,0,0,0
2035,1,2,1,-2.2,96.2,1,3.3,134,,0,0,0
2035,1,2,2,0.1,93.8,4.1,10.1,183,,0,0,0
2035,1,2,3,0.3,95.6,4.3,8,195,,0,0,0
2035,1,2,4,0.4,92.2,3.1,6.2,173,,0,0,0
2035,1,2,5,0.7,94.3,2.2,4,157,,0,0,0
2035,1,2,6,1.4,95.4,2,4.3,170,,0,0,0
2035,1,2,7,2.7,93.9,2.7,5.4,212,,1,0,0
2035,1,2,8,3,94.4,2.4,6.2,182,,16,16,0
2035,1,2,9,3.4,95.5,1.1,4.3,156,,21,21,0
2035,1,2,10,3.8,93,1.9,4.7,171,,112,111,7
2035,1,2,11,4.3,86.3,1.5,3.9,133,,191,147,131
2035,1,2,12,5.7,77.9,2.6,5.8,150,,262,112,459
