time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2035,1,1,0,1.3,75,2,5.6,122,0,0,0,0
2035,1,1,1,-0.7,80.7,1.5,4.5,92,0,0,0,0
2035,1,1,2,-2.2,85.2,1.4,3.7,79,0,0,0,0
2035,1,1,3,-3.4,88.4,1.3,3.5,64,0,0,0,0
2035,1,1,4,-4.3,90,1.3,3.2,48,0,0,0,0
2035,1,1,5,-4.7,91.3,1,2.7,48,1,0,0,0
2035,1,1,6,-5.2,92.3,0.7,2.3,48,2,0,0,0
2035,1,1,7,-5.3,92.7,0.6,2.2,50,5,8,8,0
2035,1,1,8,-5.4,93,0.7,2.2,51,8,23,23,0
2035,1,1,9,-4.2,89.9,0.8,2.2,50,12,106,106,0
2035,1,1,10,-1.5,80.9,0.9,2.7,54,17,319,123,610
2035,1,1,11,1.2,73.8,0.2,1.5,180,21,340,85,725
2035,1,1,12,2.5,66.9,0.1,1.2,180,25,362,123,706
2035,1,1,13,2.9,64.8,0.5,2.3,90,38,241,107,469
2035,1,1,14,2.6,67.9,0.8,2.3,45,50,105,105,0
2035,1,1,15,0.8,80.6,1,2.6,49,62,27,27,0
2035,1,1,16,0.1,88.3,0.6,2.2,45,75,3,0,0
2035,1,1,17,0.3,89.2,0.6,2.3,37,88,1,0,0
2035,1,1,18,0.5,88.8,0.5,1.9,53,100,0,0,0
2035,1,1,19,0.7,88,0.3,1.8,108,100,0,0,0
2035,1,1,20,1,85.9,0.4,2.1,236,100,0,0,0
2035,1,1,21,0.7,90.1,0.4,2.4,207,100,0,0,0
2035,1,1,22,0.2,97.9,0.1,0.7,135,100,0,0,0
2035,1,1,23,0,99.4,0.2,1.1,117,100,0,0,0
2035,1,2,0,0,99.6,0,0.6,0,100,0,0,0
2035,1,2,1,0,100,0.1,1.3,45,100,0,0,0
2035,1,2,2,-0.2,100,0,0.5,0,100,0,0,0
2035,1,2,3,-0.4,98.9,0.2,1.2,45,100,0,0,0
2035,1,2,4,-0.8,99,0.1,1.4,45,100,0,0,0
2035,1,2,5,-1.2,98.5,0.2,1.3,45,100,0,0,0
2035,1,2,6,-1.7,98.5,0.1,0.8,45,100,0,0,0
2035,1,2,7,-1,96.8,0.3,1.6,72,100,7,7,0
2035,1,2,8,-0.6,96.3,0.1,1.1,90,100,45,45,0
2035,1,2,9,0.1,93.6,0.3,1.6,90,100,106,106,0
2035,1,2,10,0.5,94.8,0.5,1.4,180,100,155,139,50
2035,1,2,11,0.9,96.3,0.2,1.8,180,100,175,159,47
2035,1,2,12,1.3,93.8,0.7,2.1,207,100,212,159,157
2035,1,2,13,0.9,97.3,2.3,4.5,214,100,199,111,307
2035,1,2,14,0.6,99.6,2,4.1,221,100,84,84,0
2035,1,2,15,0.1,99.9,1.1,2.7,207,100,23,23,0
2035,1,2,16,-0.7,100,0.5,1.7,194,100,1,0,0
2035,1,2,17,-1.4,99.5,0.3,1.6,180,100,2,0,0
2035,1,2,18,-1.8,99.1,0.6,1.9,225,100,0,0,0
2035,1,2,19,-3,95,0.9,3.6,72,92,0,0,0
2035,1,2,20,-4.3,92.2,0.8,3.1,40,83,0,0,0
2035,1,2,21,-5.2,92.8,0.9,2.6,54,75,0,0,0
2035,1,2,22,-5.9,92.1,0.5,2,53,67,0,0,0
2035,1,2,23,-7.1,93.9,0.4,1.8,45,58,0,0,0
2035,1,3,0,-7.7,92.5,0.6,2.4,45,50,0,0,0
2035,1,3,1,-7.3,88.9,0.9,2.3,49,42,0,0,0
2035,1,3,2,-7.5,87.2,0.5,2.2,37,33,0,0,0
2035,1,3,3,-7.7,87,0.4,1.9,34,25,0,0,0
2035,1,3,4,-8.3,83.1,0.8,2,40,17,0,0,0
2035,1,3,5,-8.5,85.5,0.6,2.2,39,8,0,0,0
2035,1,3,6,-8.7,82.9,0.8,2.2,50,0,0,0,0
2035,1,3,7,-8.9,82.2,0.5,2.1,53,2,9,9,0
2035,1,3,8,-8.7,85.4,0.6,1.8,45,4,27,27,0
2035,1,3,9,-7.4,82.4,0.7,2.3,51,6,108,108,0
2035,1,3,10,-4.8,81.9,0.3,1.6,45,8,313,117,607
2035,1,3,11,-2.3,74.2,0.1,1.1,90,10,345,77,759
2035,1,3,12,-0.3,65.7,0.2,1.3,90,12,346,87,757
2035,1,3,13,0.6,59.9,0.5,1.9,191,10,291,121,590
2035,1,3,14,-1.3,69.1,0.4,2.2,207,8,93,93,0
