time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2060,1,1,0,2.6,72.4,0.8,4.6,122,10,0,0,0
2060,1,1,1,3.7,69.5,0.8,4.8,122,7,0,0,0
2060,1,1,2,4,69.2,0.7,4.4,114,5,0,0,0
2060,1,1,3,4.4,68.5,0.7,4.4,104,2,0,0,0
2060,1,1,4,3.9,70.9,0.5,3.2,70,1,0,0,0
2060,1,1,5,3.5,73.1,0.5,3,58,4,0,0,0
2060,1,1,6,3.3,74.3,0.5,3,37,6,0,0,0
2060,1,1,7,3.7,74.3,0.6,2.9,41,14,6,6,0
2060,1,1,8,4.8,72.8,0.6,2.4,16,25,52,52,0
2060,1,1,9,7.1,67.9,0.5,3.1,57,38,75,75,0
2060,1,1,10,9.3,60.2,1.5,3.5,44,50,136,129,21
2060,1,1,11,10.2,55.1,1,3.5,45,62,107,107,0
2060,1,1,12,11.1,50.5,0.9,2.8,19,75,105,105,0
2060,1,1,13,10.3,51.2,0.9,3.9,201,75,83,83,0
2060,1,1,14,9.3,54,0.3,2.4,251,75,50,50,0
2060,1,1,15,8.5,58.5,0.4,1.8,227,75,13,13,0
2060,1,1,16,7.4,63.7,0.3,1.8,31,75,3,0,0
2060,1,1,17,7.8,63.2,1,3.3,26,75,1,0,0
2060,1,1,18,7.6,62.5,1,4.4,229,75,0,0,0
2060,1,1,19,7,63.5,1.5,4.6,14,74,0,0,0
2060,1,1,20,6.3,69.7,1.2,3.8,23,73,0,0,0
2060,1,1,21,5.9,75,1.2,4.2,18,72,0,0,0
2060,1,1,22,4.5,85,0.6,2.4,52,71,0,0,0
2060,1,1,23,5,87.3,0.8,4.3,172,70,0,0,0
2060,1,2,0,4.4,90.2,0.7,2.4,31,69,0,0,0
2060,1,2,1,4.6,90.3,0.3,3.6,340,68,0,0,0
2060,1,2,2,5,87.9,0.9,5.2,349,67,0,0,0
2060,1,2,3,2.7,94,0.3,2.6,77,66,0,0,0
2060,1,2,4,2.4,85.9,0.7,3.3,13,65,0,0,0
2060,1,2,5,1.5,98.2,0.5,3.5,49,64,0,0,0
2060,1,2,6,2.8,95.7,0.7,4.9,199,62,0,0,0
2060,1,2,7,3,94.1,0.6,2.9,30,60,7,7,0
2060,1,2,8,3.1,98.9,1,3.8,100,58,39,39,0
2060,1,2,9,6.8,58.7,9.6,25.1,39,56,160,160,0
2060,1,2,10,8.6,41.7,7.9,17.2,56,54,315,126,589
2060,1,2,11,8.6,35.8,9,18.5,56,52,277,120,445
2060,1,2,12,8.5,35.8,8.8,21.1,55,50,252,124,378
2060,1,2,13,7.8,38.3,9.6,16.9,46,54,150,122,96
2060,1,2,14,7.6,39.7,4.6,12.7,20,58,102,102,0
2060,1,2,15,6.9,43.9,5.5,14.1,32,62,17,17,0
2060,1,2,16,6.7,42,5.2,11.3,28,67,0,0,0
2060,1,2,17,6.2,42,4.3,11.8,34,71,0,0,0
2060,1,2,18,6.1,42.9,4.6,9.4,43,75,0,0,0
2060,1,2,19,6.1,43.3,5.8,13.7,44,76,0,0,0
2060,1,2,20,5.8,46.3,3.6,9.8,26,77,0,0,0
2060,1,2,21,5.4,47.8,3.8,10.2,28,78,0,0,0
2060,1,2,22,5.8,45.7,7,14.7,53,79,0,0,0
2060,1,2,23,5.7,43.7,6.7,12.7,55,80,0,0,0
2060,1,3,0,5.7,41.9,3.7,11.2,43,81,0,0,0
2060,1,3,1,3.8,46.9,1.1,4.9,274,82,0,0,0
2060,1,3,2,1.6,58.7,1.1,3,39,83,0,0,0
2060,1,3,3,1.2,68.1,0.3,3,10,84,0,0,0
2060,1,3,4,1.8,67.2,0.4,4,190,85,0,0,0
2060,1,3,5,2.4,65.4,0.4,6,190,86,0,0,0
2060,1,3,6,6.3,48.6,7.5,14.1,51,88,0,0,0
2060,1,3,7,6.5,43.7,8.1,16.4,48,85,4,4,0
2060,1,3,8,6.1,43.7,8.3,16.8,51,83,18,18,0
2060,1,3,9,6.1,42.5,7.3,12.3,51,81,45,45,0
2060,1,3,10,7,39.9,7.8,13.5,51,79,178,111,210
2060,1,3,11,6.5,40.3,6.8,12.7,54,77,59,59,0
2060,1,3,12,7.4,38.8,8.2,16.9,57,75,196,110,249
2060,1,3,13,8.1,37.5,10.5,19.1,53,67,258,130,440
2060,1,3,14,7.3,38.9,10.9,18.2,52,58,91,91,0
2060,1,3,15,6.6,40.4,10.9,18,56,50,20,20,0
2060,1,3,16,6.3,41.2,11.1,18.5,56,42,0,0,0
2060,1,3,17,6.3,41,12.3,19.8,54,33,0,0,0
2060,1,3,18,5.7,40.7,11.7,18.7,54,25,0,0,0
2060,1,3,19,4.8,39.9,10.8,18.3,53,23,0,0,0
2060,1,3,20,4.4,39.9,11.5,18.9,52,21,0,0,0
2060,1,3,21,4.2,36.5,11.1,20.4,58,19,0,0,0
2060,1,3,22,3.6,32.3,10.8,21.3,53,17,0,0,0
2060,1,3,23,3.3,27.9,14,21.8,54,15,0,0,0
2060,1,4,0,2.7,27.3,14.3,22.4,53,12,0,0,0
2060,1,4,1,1.9,28.7,15.7,26.1,52,10,0,0,0
2060,1,4,2,1.1,33.1,15.7,27.8,55,8,0,0,0
2060,1,4,3,0.8,37,14.3,26.6,58,6,0,0,0
2060,1,4,4,1,38.7,11.5,23.1,55,4,0,0,0
2060,1,4,5,1.2,38.4,10.3,19.6,51,2,0,0,0
2060,1,4,6,1.4,38.2,10.9,24.8,53,0,0,0,0
2060,1,4,7,1.4,38.3,11.3,20.3,53,0,10,10,0
2060,1,4,8,1.6,37.7,10.4,17.1,48,0,36,36,0
2060,1,4,9,2.2,36.9,9.5,17.2,55,0,111,111,0
2060,1,4,10,3.3,35.1,8.9,15.5,46,0,288,107,559
2060,1,4,11,3.9,34,9.9,16.9,46,0,324,57,749
2060,1,4,12,4.4,33,9.4,14.8,36,0,316,58,746
2060,1,4,13,4.4,31.8,6.3,14,23,0,255,96,545
2060,1,4,14,3.9,31.4,4.2,11.8,312,0,87,87,0
2060,1,4,15,3,33.1,4.8,10.9,282,0,15,15,0
2060,1,4,16,1.6,35.9,3.1,9.3,275,0,1,0,0
2060,1,4,17,-1.2,43.8,1,4.9,42,0,1,0,0
2060,1,4,18,-1.7,48.8,0.3,2.2,58,0,0,0,0
2060,1,4,19,-3.3,56.8,0.5,1.5,61,0,0,0,0
2060,1,4,20,-2.4,61.1,0.2,1.1,85,0,0,0,0
2060,1,4,21,-0.6,57.1,0.2,1.8,32,0,0,0,0
2060,1,4,22,-0.3,54.8,0.6,2.3,64,0,0,0,0
2060,1,4,23,-0.9,56.9,0.3,1.8,349,0,0,0,0
2060,1,5,0,-2.2,63.1,0.5,1.9,50,0,0,0,0
2060,1,5,1,-1.4,61.1,0.5,2.4,343,0,0,0,0
2060,1,5,2,-1.4,61.3,0.5,1.8,91,0,0,0,0
2060,1,5,3,-2,64.2,0.7,1.8,52,0,0,0,0
2060,1,5,4,-1.7,65,0.5,1.9,51,0,0,0,0
2060,1,5,5,-1.8,66.1,0.5,1.7,39,0,0,0,0
2060,1,5,6,-1.4,63.2,0.7,2.7,38,0,0,0,0
2060,1,5,7,-1.6,63.9,0.4,2.1,307,6,8,8,0
2060,1,5,8,-1.7,65.6,0.5,2.7,44,12,31,31,0
2060,1,5,9,0.7,58,1.1,2.5,49,19,122,122,0
2060,1,5,10,2.5,46.4,1.2,2.6,49,25,210,120,279
2060,1,5,11,4.1,37.7,1.1,3.5,161,31,313,94,612
2060,1,5,12,4.8,36.8,1.8,5,198,38,310,61,717
2060,1,5,13,4.3,36.9,2.5,5.4,208,38,257,75,618
2060,1,5,14,2.9,39.7,1.2,3.3,192,38,113,113,0
2060,1,5,15,1.5,45.6,0.3,3.1,28,38,18,18,0
2060,1,5,16,-0.3,53.5,0.3,3,10,38,1,0,0
2060,1,5,17,-1.6,61.3,0.4,2.4,47,38,0,0,0
2060,1,5,18,-0.8,61.1,0.4,3.3,18,38,0,0,0
2060,1,5,19,-0.4,62.5,0.4,2,51,34,0,0,0
2060,1,5,20,0,62.3,0.2,2.6,111,31,0,0,0
2060,1,5,21,0,62.3,0.6,3.1,190,28,0,0,0
2060,1,5,22,-0.3,62.9,0.4,4.2,17,25,0,0,0
2060,1,5,23,-0.9,64.2,0.5,3.3,51,22,0,0,0
2060,1,6,0,-1.7,68.5,0.7,3.9,315,19,0,0,0
2060,1,6,1,-1.7,70.4,0.3,3.3,25,16,0,0,0
2060,1,6,2,-1.4,74.6,0.3,3.7,6,12,0,0,0
2060,1,6,3,-1.3,77.5,0.4,3.9,55,9,0,0,0
2060,1,6,4,-1.1,78.6,0.7,3.8,17,6,0,0,0
2060,1,6,5,-0.4,77.9,0.5,5.1,220,3,0,0,0
2060,1,6,6,2.7,76.8,3.3,14.7,45,0,0,0,0
2060,1,6,7,5.1,72,3,10.7,21,12,6,6,0
2060,1,6,8,6.4,57,3.5,11.8,8,25,37,37,0
2060,1,6,9,6.8,53.1,3.8,15.3,31,38,97,97,0
2060,1,6,10,4.3,75.5,5.5,15.2,37,50,54,54,0
2060,1,6,11,5.8,49.5,7,15.1,34,62,126,125,5
2060,1,6,12,6.6,42.9,7.8,12.9,34,75,283,127,447
2060,1,6,13,6.6,38.2,7.5,12.2,30,77,237,110,430
2060,1,6,14,5.8,40.5,7.7,13.1,34,79,73,73,0
2060,1,6,15,5.2,41.8,6.2,14.4,25,81,25,25,0
2060,1,6,16,5.1,36.2,6.4,12.2,48,83,0,0,0
2060,1,6,17,4.8,38.1,6.8,14.4,53,85,0,0,0
2060,1,6,18,4.2,43.7,4.3,12.1,28,88,0,0,0
2060,1,6,19,3.1,58,4.2,10.3,26,86,0,0,0
2060,1,6,20,1.2,79.2,1.2,3.7,75,85,0,0,0
2060,1,6,21,-0.1,78.5,0.5,3.1,89,84,0,0,0
2060,1,6,22,0,76.5,1.1,5.7,36,83,0,0,0
2060,1,6,23,2,68.1,7.4,22.2,42,82,0,0,0
2060,1,7,0,2,46.8,10,21.8,49,81,0,0,0
2060,1,7,1,1.3,49,6.2,15.2,51,80,0,0,0
2060,1,7,2,1.5,45.4,7.2,13.5,45,79,0,0,0
2060,1,7,3,1.4,46.6,6.4,13.5,51,78,0,0,0
2060,1,7,4,1.3,45.8,6.1,9.7,52,77,0,0,0
2060,1,7,5,1.4,44.7,7.3,12.6,50,76,0,0,0
2060,1,7,6,1.4,44.7,8.2,14.8,54,75,0,0,0
2060,1,7,7,1.7,43.6,10.1,16.3,54,75,6,6,0
2060,1,7,8,2,42.3,10.2,16.2,56,75,25,25,0
2060,1,7,9,2.5,40.3,10.2,16.4,57,75,109,109,0
2060,1,7,10,3.5,40.1,10.1,17.1,52,75,311,117,590
2060,1,7,11,4.2,40,9.7,18.7,52,75,380,160,611
2060,1,7,12,3.7,41,9.5,14.8,52,75,257,149,310
2060,1,7,13,2.7,43.4,8.1,15,55,77,75,75,0
2060,1,7,14,2.5,43.6,6.4,12.8,46,79,43,43,0
2060,1,7,15,1.8,40.1,8.4,14.3,42,81,12,12,0
2060,1,7,16,0.7,40.5,7.1,12.8,50,83,1,0,0
