time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2060,1,1,0,1.7,85.2,3.2,7.1,165,,0,0,0
2060,1,1,1,3,82.8,3.7,8.1,193,,0,0,0
2060,1,1,2,3.9,80.7,4,8.9,211,,0,0,0
2060,1,1,3,4.8,79.3,4.4,9.7,231,,0,0,0
2060,1,1,4,5.2,77.6,4.7,10.3,240,,0,0,0
2060,1,1,5,5.1,78.6,4.7,10.4,240,,0,0,0
2060,1,1,6,4.9,81.5,4.6,10.3,242,,0,0,0
2060,1,1,7,4.6,84.7,4.4,10,246,,1,0,0
2060,1,1,8,4.4,85.2,4.1,9,249,,7,7,0
2060,1,1,9,3.7,90.3,4.3,9.2,251,,16,16,0
2060,1,1,10,3.1,95.2,3.2,8.2,275,,24,24,0
2060,1,1,11,2.5,96.5,2.9,6.5,274,,30,30,0
2060,1,1,12,2.3,96,2.5,5,243,,51,51,0
2060,1,1,13,2.2,95.8,2.1,4.2,225,,40,40,0
2060,1,1,14,2.7,92.4,2.5,6.8,249,,72,70,11
2060,1,1,15,2.3,88.1,3.5,10.1,258,,24,24,0
2060,1,1,16,1.7,81.7,4.4,9.9,270,,2,0,0
2060,1,1,17,1.3,75.2,3.8,10.1,262,,0,0,0
2060,1,1,18,0.9,73.4,3.9,10.7,264,,0,0,0
2060,1,1,19,0.7,73.3,4.8,14.5,259,,0,0,0
2060,1,1,20,0.3,72.6,4.4,11,262,,0,0,0
2060,1,1,21,0.1,72.3,3.7,9.7,256,,0,0,0
2060,1,1,22,0.2,69.5,3.6,7.8,224,,0,0,0
2060,1,1,23,0.3,65.7,4.9,9.9,221,,0,0,0
2060,1,2,0,0.5,62.2,7,12.7,217,,0,0,0
2060,1,2,1,0.4,65.4,8.4,14.6,205,,0,0,0
2060,1,2,2,-0.2,76,7.8,15.4,208,,0,0,0
2060,1,2,3,-0.1,88.8,5.7,11.9,225,,0,0,0
2060,1,2,4,0.7,80.7,5.6,10.8,251,,0,0,0
2060,1,2,5,0.3,86.4,4.9,10.2,266,,0,0,0
2060,1,2,6,-0.7,94.9,4.7,10.6,274,,0,0,0
2060,1,2,7,-0.9,93.4,3.2,5.8,253,,1,0,0
2060,1,2,8,-0.9,92.9,2.9,5,231,,21,21,0
