time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2060,1,1,0,-2.8,87.2,4.3,8.1,156,71,0,0,0
2060,1,1,1,-2.3,91,2.6,5.3,123,83,0,0,0
2060,1,1,2,-1.9,93.7,1.6,3.6,98,90,0,0,0
2060,1,1,3,-1.6,96.3,0.7,2.2,88,97,0,0,0
2060,1,1,4,-1.4,97.6,0.3,1.5,85,100,0,0,0
2060,1,1,5,-1.3,97.4,0.4,1.9,107,100,0,0,0
2060,1,1,6,-1.3,97.4,0.6,2.1,139,100,0,0,0
2060,1,1,7,-1.1,97,0.7,2.4,139,100,3,3,0
2060,1,1,8,-1,96.6,0.8,2.3,135,100,11,11,0
2060,1,1,9,-0.8,96.2,1.4,3.5,132,100,36,36,0
2060,1,1,10,-0.4,95.6,1.3,3,122,100,47,47,0
2060,1,1,11,-0.1,96.6,1.2,2.9,121,100,41,41,0
2060,1,1,12,0.2,95.2,0.7,2.6,129,100,40,40,0
2060,1,1,13,0.3,95.5,0.3,1.2,135,100,28,28,0
2060,1,1,14,0.5,94.6,0,0.6,0,100,19,19,0
2060,1,1,15,0.5,94.1,0.5,2.3,143,100,8,8,0
2060,1,1,16,0.1,97,0.4,2.6,124,100,0,0,0
2060,1,1,17,0.1,95.4,0.2,1.8,117,100,0,0,0
2060,1,1,18,0,96,0.4,1.4,124,100,0,0,0
2060,1,1,19,0.1,96.1,0.6,1.9,149,100,0,0,0
2060,1,1,20,0.1,96.3,0.3,1.6,135,100,0,0,0
2060,1,1,21,0.1,96.7,0.5,2,135,100,0,0,0
2060,1,1,22,0.1,97,0.2,1.3,135,100,0,0,0
2060,1,1,23,0,97.4,0,0.6,0,100,0,0,0
2060,1,2,0,0,95.1,0,0.6,0,100,0,0,0
2060,1,2,1,-0.1,97,0,0.9,0,100,0,0,0
2060,1,2,2,-0.1,97.6,0.1,0.9,360,100,0,0,0
2060,1,2,3,-0.1,95.9,0.2,1.2,135,100,0,0,0
2060,1,2,4,-0.1,95.1,0.4,1.7,146,100,0,0,0
2060,1,2,5,0.1,94.1,1,2.5,131,100,0,0,0
2060,1,2,6,-0.1,94.9,1,2.2,135,100,0,0,0
2060,1,2,7,-0.2,94.2,1.1,2.8,151,100,8,0,0
2060,1,2,8,0.1,93.3,0.8,2.5,144,100,53,49,28
2060,1,2,9,0.4,92.2,1.2,3,135,100,112,94,72
2060,1,2,10,1.1,87.9,1.1,2.7,142,100,154,137,56
2060,1,2,11,1.2,89.6,1.8,4,131,100,187,164,68
2060,1,2,12,1.1,91.1,1.8,3.8,128,100,147,140,20
2060,1,2,13,1.1,89.4,2.1,3.7,125,100,90,90,0
2060,1,2,14,1,89.5,1.5,3.6,152,100,43,43,0
2060,1,2,15,0.5,91,0.9,2.7,139,100,13,13,0
2060,1,2,16,0.3,92.5,0.4,1.7,146,100,0,0,0
2060,1,2,17,0,95.6,0.1,1,270,100,0,0,0
2060,1,2,18,0,95.5,0,0.8,0,100,0,0,0
2060,1,2,19,0,94.7,0.4,1.8,225,98,0,0,0
2060,1,2,20,-0.1,95.9,0.2,1.1,225,96,0,0,0
2060,1,2,21,-0.2,96.3,0,0.3,0,94,0,0,0
2060,1,2,22,-0.2,96.9,0.1,0.6,270,92,0,0,0
2060,1,2,23,-0.2,96,0,0.4,0,90,0,0,0
2060,1,3,0,-0.2,96.5,0,0.8,0,88,0,0,0
2060,1,3,1,-0.3,97.5,0,0.1,0,85,0,0,0
2060,1,3,2,-0.3,94.6,0,0.1,0,83,0,0,0
2060,1,3,3,-0.5,96.8,0.1,1.1,270,81,0,0,0
2060,1,3,4,-1.3,95.7,0.3,2.8,297,79,0,0,0
2060,1,3,5,-0.5,92,0.7,4.3,292,77,0,0,0
2060,1,3,6,0,84.8,4.3,10,306,75,0,0,0
2060,1,3,7,-0.7,83.4,4.9,9.9,305,69,0,0,0
2060,1,3,8,-0.3,81.1,5.8,10.3,310,62,94,38,419
2060,1,3,9,0.5,77.6,6.9,11,310,56,219,66,629
2060,1,3,10,1.7,69.6,5.6,10.9,311,50,293,72,697
2060,1,3,11,2.3,67.8,5.4,11.1,305,44,306,101,582
2060,1,3,12,3,62.7,3.6,9.7,284,38,352,142,613
2060,1,3,13,2,71.9,1.4,6.5,302,35,233,112,412
2060,1,3,14,-0.1,76.8,1,2.5,287,33,64,64,0
2060,1,3,15,-0.9,85.3,1.1,2.7,287,31,20,20,0
2060,1,3,16,-1.2,89.6,0.5,2.2,284,29,0,0,0
2060,1,3,17,-2,95.7,0.4,1.8,284,27,0,0,0
2060,1,3,18,-2.5,94.3,0.6,2,297,25,0,0,0
2060,1,3,19,-2.3,95.2,0.3,1.6,304,31,0,0,0
2060,1,3,20,-2.1,95.2,0.8,3,293,38,0,0,0
2060,1,3,21,-2.4,93.4,0.3,3,270,44,0,0,0
2060,1,3,22,-0.6,86.4,0.5,2.9,304,50,0,0,0
2060,1,3,23,1,78.2,3.3,9.6,310,56,0,0,0
2060,1,4,0,1.4,73.5,6,10.9,310,62,0,0,0
2060,1,4,1,1.1,72.5,5.4,10.3,311,69,0,0,0
2060,1,4,2,1.9,72,6,11.1,307,75,0,0,0
2060,1,4,3,1.9,73.2,7.4,14.9,307,81,0,0,0
2060,1,4,4,2,75.2,9,15.2,306,88,0,0,0
2060,1,4,5,2.2,77,10.3,16.8,307,94,0,0,0
2060,1,4,6,2.4,77.8,11.5,19.1,306,100,0,0,0
2060,1,4,7,3.4,78.3,10.3,17.1,308,92,9,0,0
2060,1,4,8,3.9,76.5,10.4,17.9,308,83,82,46,270
2060,1,4,9,4,77.4,12.1,18.7,304,75,198,49,608
2060,1,4,10,6.2,70.5,8.9,16.8,303,67,280,54,709
2060,1,4,11,7.3,68.6,8.4,14.9,307,58,331,65,754
2060,1,4,12,8.4,63.8,7.5,14.7,309,50,323,64,750
2060,1,4,13,8.6,63.5,5.9,11.9,299,46,246,120,428
2060,1,4,14,8.2,59.4,6.3,12.4,297,42,26,26,0
2060,1,4,15,7.8,61.6,5.4,11.3,300,38,12,12,0
2060,1,4,16,6.5,65.4,5.8,10.8,314,33,0,0,0
2060,1,4,17,7.4,62.8,6.3,11.6,299,29,0,0,0
2060,1,4,18,6.9,63.8,4.1,9.7,300,25,0,0,0
2060,1,4,19,5.5,68.6,2,9.9,331,23,0,0,0
2060,1,4,20,6.8,61.9,6.3,13.2,316,21,0,0,0
2060,1,4,21,6.9,60.5,7.7,13.4,313,19,0,0,0
2060,1,4,22,6.7,59.7,7.4,13,318,17,0,0,0
2060,1,4,23,7,57.1,7,14.6,305,15,0,0,0
2060,1,5,0,7,55.2,5.3,11.6,308,12,0,0,0
2060,1,5,1,6.8,54.9,2.6,9.7,339,10,0,0,0
2060,1,5,2,6.1,57.2,2.3,9,333,8,0,0,0
2060,1,5,3,6,56.4,1.5,6.7,330,6,0,0,0
2060,1,5,4,6.4,51.9,2.6,7.9,334,4,0,0,0
2060,1,5,5,6.4,49.2,4.5,9.6,325,2,0,0,0
2060,1,5,6,2.9,52.8,0.7,3.8,297,0,0,0,0
2060,1,5,7,3.2,48.2,0.5,5.6,292,10,5,5,0
2060,1,5,8,2.3,55.7,0.2,0.9,315,21,75,53,170
2060,1,5,9,4.7,55.9,0.1,0.7,0,31,201,69,539
2060,1,5,10,7.8,43.5,0.7,4.2,117,42,296,64,724
2060,1,5,11,9.8,37.2,0.7,2.2,135,52,326,93,654
2060,1,5,12,10.2,36.2,0.6,2.4,127,62,207,142,188
2060,1,5,13,8.4,41.2,0.3,2,135,54,187,111,256
2060,1,5,14,5.4,47.7,1.1,2.5,287,46,33,33,0
2060,1,5,15,4.3,49,0.6,1.6,301,38,24,24,0
2060,1,5,16,2.2,50.9,0.6,1.6,309,29,3,0,0
2060,1,5,17,1.1,51.8,0.6,1.1,301,21,0,0,0
2060,1,5,18,1.2,50.6,0.6,1.2,301,12,0,0,0
2060,1,5,19,0.7,61.8,0.4,1.7,304,11,0,0,0
2060,1,5,20,1.4,56.2,0.6,1.9,301,10,0,0,0
2060,1,5,21,0.6,55.2,0.5,1.3,307,9,0,0,0
2060,1,5,22,0.9,53.9,0.5,1.5,297,8,0,0,0
2060,1,5,23,0.6,58.7,0.4,1.5,297,7,0,0,0
2060,1,6,0,0.9,52.7,0.6,1.2,301,6,0,0,0
2060,1,6,1,0.6,56.2,0.6,1.4,297,5,0,0,0
2060,1,6,2,0.7,56.7,0.5,1.7,307,4,0,0,0
2060,1,6,3,1.3,52.8,0.6,1.5,301,3,0,0,0
2060,1,6,4,1.5,53.2,0.6,1.4,315,2,0,0,0
2060,1,6,5,1.1,54.4,0.7,1.4,309,1,0,0,0
2060,1,6,6,1.2,53.7,0.5,1.4,323,0,0,0,0
2060,1,6,7,1,52.1,0.7,1.5,304,0,6,6,0
2060,1,6,8,1.9,61,0.3,1.3,304,0,98,43,405
2060,1,6,9,5.4,52.1,0,0.8,0,0,246,97,602
2060,1,6,10,8.9,38.5,0.1,1.3,135,0,314,88,705
2060,1,6,11,11.6,31.4,0.6,1.8,121,0,382,122,726
2060,1,6,12,12,30.7,0.9,2.7,144,0,358,106,721
2060,1,6,13,9.2,37.9,0.1,1.5,360,6,271,131,469
2060,1,6,14,6.3,42.1,1.1,2.3,290,12,29,29,0
2060,1,6,15,4.6,48.5,0.7,1.7,297,19,17,17,0
2060,1,6,16,3,54,0.7,1.4,304,25,3,0,0
2060,1,6,17,2.5,52.3,0.8,1.6,310,31,0,0,0
2060,1,6,18,1.7,60.1,0.4,1.5,297,38,0,0,0
2060,1,6,19,1.6,52.8,0.5,1.3,297,34,0,0,0
2060,1,6,20,1.3,52.8,0.6,1.5,301,31,0,0,0
2060,1,6,21,1,55.8,0.5,1.5,307,28,0,0,0
2060,1,6,22,0.8,55.6,0.7,1.4,309,25,0,0,0
2060,1,6,23,0.9,57.3,0.5,1.6,301,22,0,0,0
2060,1,7,0,0.9,58.8,0.6,2.1,297,19,0,0,0
2060,1,7,1,0.4,58,0.4,2,297,16,0,0,0
2060,1,7,2,0.1,58.8,0.5,2.5,307,12,0,0,0
2060,1,7,3,0.1,56.5,0.6,2,301,9,0,0,0
2060,1,7,4,0,55.5,0.6,2.4,301,6,0,0,0
2060,1,7,5,0.6,55.8,0.5,4.3,292,3,0,0,0
2060,1,7,6,0.2,54.9,0.5,3.5,297,0,0,0,0
2060,1,7,7,-1,56.8,0.4,3.2,315,12,3,3,0
2060,1,7,8,-0.1,57.1,0.3,2.5,315,25,91,40,373
