time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2060,1,1,0,4,75,5.5,10.6,130,,0,0,0
2060,1,1,1,2.5,77.7,4.7,9.1,96,,0,0,0
2060,1,1,2,1.5,79.3,4.1,7.9,75,,0,0,0
2060,1,1,3,0.4,81.4,3.4,6.7,52,,0,0,0
2060,1,1,4,-0.2,82.5,2.8,5.6,40,,0,0,0
2060,1,1,5,-0.2,82.5,2.7,5.4,42,,0,0,0
2060,1,1,6,-0.2,82.6,2.6,5.1,42,,0,0,0
2060,1,1,7,-0.1,82.2,2.7,5.3,44,,4,0,0
2060,1,1,8,0.1,81.6,2.8,5.9,51,,46,42,36
2060,1,1,9,0.3,80.6,2.2,5,60,,66,66,0
2060,1,1,10,0.5,80.9,3.2,5.7,56,,86,86,0
2060,1,1,11,0.4,81.7,2,3.9,47,,62,62,0
2060,1,1,12,0.7,82.4,2,3.7,53,,64,64,0
2060,1,1,13,0.5,83.5,1,3.3,53,,40,40,0
2060,1,1,14,0.5,83.6,0.9,2,45,,15,15,0
2060,1,1,15,0.5,84.6,1,3,66,,5,5,0
2060,1,1,16,0.4,84,0.7,1.4,27,,0,0,0
2060,1,1,17,0.4,83.9,0.7,1.8,68,,1,0,0
2060,1,1,18,0.3,85.7,1.5,2.4,94,,0,0,0
2060,1,1,19,0.1,90.5,0.9,2.1,90,,0,0,0
2060,1,1,20,-0.2,97.1,0.2,0.8,45,,0,0,0
2060,1,1,21,-0.2,97.7,0.6,1.1,45,,0,0,0
2060,1,1,22,-0.1,97.7,0.8,1.5,36,,0,0,0
2060,1,1,23,-0.3,98.2,0.7,1.4,63,,0,0,0
2060,1,2,0,-0.3,97.8,0.5,1.1,63,,0,0,0
2060,1,2,1,-0.3,98.2,0.4,0.9,56,,0,0,0
2060,1,2,2,-0.2,97.3,0.6,1.1,45,,0,0,0
2060,1,2,3,-0.3,98.3,0.7,1.1,45,,0,0,0
2060,1,2,4,-0.4,98.4,0.8,1.4,50,,0,0,0
2060,1,2,5,-0.5,97.8,1.2,2.3,51,,0,0,0
2060,1,2,6,-0.5,96.6,1.8,2.6,45,,0,0,0
2060,1,2,7,-0.6,97.1,1.9,2.8,35,,5,0,0
2060,1,2,8,-0.5,92.6,2.2,3.7,41,,28,28,0
2060,1,2,9,-0.6,89.2,2.6,5.4,54,,36,36,0
2060,1,2,10,-0.8,86.1,2.4,5.1,54,,76,76,0
2060,1,2,11,-0.9,84.7,2.6,6,40,,58,58,0
2060,1,2,12,-0.8,82.7,2.8,5.7,38,,86,86,0
2060,1,2,13,-0.7,83.3,3.3,6.1,43,,59,59,0
2060,1,2,14,-0.9,83.4,2.5,5.5,52,,38,38,0
2060,1,2,15,-1.5,82.3,3.2,7.7,57,,11,11,0
2060,1,2,16,-1.8,80.7,3.6,8,39,,2,0,0
2060,1,2,17,-1.7,82.9,3.4,6.9,40,,1,0,0
2060,1,2,18,-1.7,82.3,3.7,8,49,,0,0,0
2060,1,2,19,-1.8,81.6,4.5,8.2,46,,0,0,0
2060,1,2,20,-2,81,4.8,10,46,,0,0,0
2060,1,2,21,-2.3,79.3,4,8.6,45,,0,0,0
2060,1,2,22,-2.6,79,3.8,8.3,40,,0,0,0
2060,1,2,23,-2.8,78.9,3.3,8,39,,0,0,0
2060,1,3,0,-3,79.9,5.3,10,40,,0,0,0
2060,1,3,1,-3.1,79.6,4.4,8.8,36,,0,0,0
2060,1,3,2,-3.3,79.2,3.6,7.7,37,,0,0,0
2060,1,3,3,-3.4,79.1,4.2,7.9,37,,0,0,0
2060,1,3,4,-3.4,79.7,4,8.7,39,,0,0,0
2060,1,3,5,-3.5,78.7,3.1,7.2,46,,0,0,0
2060,1,3,6,-3.5,79.5,3.4,7.3,53,,0,0,0
2060,1,3,7,-3.7,79.4,4.4,7.8,45,,9,0,0
2060,1,3,8,-3.7,78.4,3.1,6.6,49,,24,24,0
2060,1,3,9,-4,78.7,3.3,7.1,59,,48,48,0
2060,1,3,10,-4.3,78.2,3.9,8.2,48,,90,90,0
2060,1,3,11,-4.2,74.9,4.2,9.6,40,,134,133,4
2060,1,3,12,-4.1,72.1,4.3,8.1,38,,144,138,19
2060,1,3,13,-4.2,71.9,4.2,9,65,,172,122,181
2060,1,3,14,-4.6,73.6,3.6,8.2,69,,145,65,422
2060,1,3,15,-4.8,74.9,3.7,7.3,48,,27,27,0
2060,1,3,16,-5.5,78.4,3.3,6.3,47,,6,0,0
2060,1,3,17,-6.1,76.3,2.6,4.8,53,,0,0,0
2060,1,3,18,-6.3,77,3.3,5.2,34,,0,0,0
2060,1,3,19,-6,77.9,3.1,5.2,35,,0,0,0
2060,1,3,20,-5.6,77.3,2.4,5,25,,0,0,0
2060,1,3,21,-5.6,77.9,1.6,3.4,11,,0,0,0
2060,1,3,22,-5.5,80.6,1.5,2.9,16,,0,0,0
2060,1,3,23,-5.4,81,1,2.3,22,,0,0,0
2060,1,4,0,-5.7,82,1.4,2.9,299,,0,0,0
2060,1,4,1,-5.9,83.5,2.2,3.4,275,,0,0,0
2060,1,4,2,-5.8,86.4,1.9,3.1,273,,0,0,0
2060,1,4,3,-6,88.3,1.7,3.4,277,,0,0,0
2060,1,4,4,-6.3,89.1,2,3.4,267,,0,0,0
2060,1,4,5,-6.5,89.9,2,4.8,279,,0,0,0
2060,1,4,6,-7.6,89.2,3.6,5.6,268,,0,0,0
2060,1,4,7,-7.6,87.5,3.6,5.2,260,,4,0,0
2060,1,4,8,-7.5,82.2,4.3,5.9,262,,40,40,1
2060,1,4,9,-6.3,81.4,4.9,6.3,258,,106,93,56
2060,1,4,10,-5.9,82.8,4.1,6,259,,167,137,102
2060,1,4,11,-4.9,80.5,5.3,6.8,256,,159,142,51
2060,1,4,12,-4.4,80.2,5,6.8,258,,66,66,0
2060,1,4,13,-3.7,79.6,4.2,5.7,257,,45,45,0
2060,1,4,14,-2.8,76.9,3.7,6.7,241,,36,36,0
2060,1,4,15,-2.4,74.8,3.7,7.9,249,,12,12,0
2060,1,4,16,-2.3,78.6,3.9,6.3,225,,0,0,0
2060,1,4,17,-2.2,78.4,3.9,7.2,226,,0,0,0
2060,1,4,18,-2,77.3,5,8,238,,0,0,0
2060,1,4,19,-2.2,77.4,5.4,9.6,240,,0,0,0
2060,1,4,20,-2.8,76.9,4.8,7.1,235,,0,0,0
2060,1,4,21,-2.6,75.3,5.1,7.5,250,,0,0,0
2060,1,4,22,-2.8,77.4,5.4,7,250,,0,0,0
2060,1,4,23,-3.2,79.9,4.4,6.1,244,,0,0,0
2060,1,5,0,-2.9,79.3,4.9,6.6,246,,0,0,0
2060,1,5,1,-3,80.2,4.4,5.8,246,,0,0,0
