time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2060,1,1,0,8.6,71.5,5.2,11.1,237,86,0,0,0
2060,1,1,1,8.4,73.8,4.6,10,236,87,0,0,0
2060,1,1,2,8.3,75,4.2,9,237,87,0,0,0
2060,1,1,3,8.3,75.8,3.9,8.6,239,87,0,0,0
2060,1,1,4,8.3,75.8,3.8,8.7,241,87,0,0,0
2060,1,1,5,8.3,74.5,3.9,8.9,244,87,0,0,0
2060,1,1,6,8.4,73.4,3.8,9.4,253,87,0,0,0
2060,1,1,7,8.5,72.1,3.9,9.4,249,85,3,0,0
2060,1,1,8,8.4,71.4,3.6,9.1,246,83,59,44,130
2060,1,1,9,9.2,69.5,3,7.4,228,81,207,93,504
2060,1,1,10,9.7,68.1,3.9,8.3,220,79,306,105,673
2060,1,1,11,10.3,65.4,3.6,7.5,220,77,293,98,581
2060,1,1,12,10.7,63.8,4.3,9,216,75,265,90,536
2060,1,1,13,10.3,64.5,4,7.7,219,79,154,119,128
2060,1,1,14,10.2,65.4,3.2,7.6,219,83,90,72,98
2060,1,1,15,9.5,68.8,3.1,6.6,216,88,25,25,0
2060,1,1,16,9.3,71.9,2.6,5.4,217,92,0,0,0
2060,1,1,17,8.6,83.4,1.9,4.1,212,96,0,0,0
2060,1,1,18,8.4,87.9,1.7,4.9,219,100,0,0,0
2060,1,1,19,8.5,82.2,3.9,9.6,218,100,0,0,0
2060,1,1,20,9.2,73.5,4.9,10.3,233,100,0,0,0
2060,1,1,21,9.8,72.5,6.6,13.9,254,100,0,0,0
2060,1,1,22,10.3,73,5.9,15.4,250,100,0,0,0
2060,1,1,23,12.1,67.5,10.3,25,240,100,0,0,0
2060,1,2,0,12.5,66.5,9.3,21.3,242,100,0,0,0
2060,1,2,1,10.6,78,7.2,17,267,100,0,0,0
2060,1,2,2,11.4,77.2,9.5,21.8,252,100,0,0,0
2060,1,2,3,12.1,76.9,9.6,24.3,249,100,0,0,0
2060,1,2,4,12.4,74.5,8.5,22.3,239,100,0,0,0
2060,1,2,5,11.9,77.6,7,14.4,247,100,0,0,0
2060,1,2,6,11.4,83.3,7.5,17.2,226,100,0,0,0
2060,1,2,7,11.1,87,6.3,12.3,214,100,1,0,0
2060,1,2,8,10.9,82.5,6.4,13.3,209,100,10,10,0
