time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2060,1,1,0,-3.2,85.7,1.2,2.7,86,,0,0,0
2060,1,1,1,-3.4,84.5,1.2,2.8,80,,0,0,0
2060,1,1,2,-3.6,83.1,1.3,2.9,74,,0,0,0
2060,1,1,3,-4,82.5,1.3,3,66,,0,0,0
2060,1,1,4,-4.4,81.5,1.4,3.3,58,,0,0,0
2060,1,1,5,-5,81.7,1.4,3.1,52,,0,0,0
2060,1,1,6,-5.4,82.2,1.4,3.1,47,,0,0,0
2060,1,1,7,-6.5,83.5,1.2,2.5,45,,7,0,0
2060,1,1,8,-8.5,87.6,0.4,1.7,34,,35,35,0
2060,1,1,9,-10.1,87.5,0.3,1.3,72,,90,90,0
2060,1,1,10,-9.2,84.7,0.2,2,45,,154,154,0
2060,1,1,11,-7.8,81.3,0.2,1.2,90,,242,154,252
2060,1,1,12,-6.7,81,0.1,0.8,270,,275,125,439
2060,1,1,13,-4.7,78.4,0.6,2.4,68,,227,105,420
2060,1,1,14,-4.8,79.2,0.5,1.8,243,,118,91,135
2060,1,1,15,-4.9,82.1,1,3,270,,35,32,33
2060,1,1,16,-5,84.7,0.9,3.5,58,,1,0,0
2060,1,1,17,-5.4,88.5,0.8,2.7,219,,1,0,0
2060,1,1,18,-4.4,88.2,0.9,2.9,236,,0,0,0
2060,1,1,19,-3.4,91.5,1.7,3.8,68,,0,0,0
2060,1,1,20,-3.4,93.1,0.7,2.4,37,,0,0,0
2060,1,1,21,-3.6,94.7,0,0.6,0,,0,0,0
2060,1,1,22,-3.6,95.2,0,0.4,0,,0,0,0
2060,1,1,23,-3.6,94,0.7,1.8,231,,0,0,0
2060,1,2,0,-3.4,94.3,0.6,1.8,233,,0,0,0
2060,1,2,1,-3.6,94.3,0.7,2.1,63,,0,0,0
2060,1,2,2,-3.8,94.8,0,0.5,0,,0,0,0
2060,1,2,3,-4.1,94.6,0.2,1.5,0,,0,0,0
2060,1,2,4,-4.2,94.2,0.1,1.4,0,,0,0,0
2060,1,2,5,-4.2,94.5,0.2,1.1,270,,0,0,0
2060,1,2,6,-3.9,93.7,0.3,1.7,90,,0,0,0
2060,1,2,7,-4,93.1,0.4,1.5,252,,5,0,0
2060,1,2,8,-3.8,93.7,0.3,1,90,,46,46,0
2060,1,2,9,-3.5,92.3,0.1,1.5,90,,94,94,0
2060,1,2,10,-2.8,89.9,0.1,0.9,45,,174,174,0
2060,1,2,11,-2.9,88.5,0,0.5,0,,210,179,90
2060,1,2,12,-2.9,85.9,0.4,1.7,243,,228,162,194
2060,1,2,13,-2.8,83.2,1.6,2.4,245,,220,118,349
2060,1,2,14,-2.9,84.7,1.6,2.7,243,,113,91,109
2060,1,2,15,-3.9,90.7,0.6,1.9,284,,34,32,23
2060,1,2,16,-6.8,92.7,0.4,1.5,34,,0,0,0
2060,1,2,17,-9.2,83.7,0.5,1.3,162,,0,0,0
2060,1,2,18,-10.6,80.1,0.2,1.2,90,,0,0,0
2060,1,2,19,-11.3,78.5,0.4,1.5,76,,0,0,0
2060,1,2,20,-11,82.2,0.8,2.7,67,,0,0,0
2060,1,2,21,-12.4,73.5,0.5,2.2,68,,0,0,0
2060,1,2,22,-13.5,73.7,0.3,1.2,72,,0,0,0
2060,1,2,23,-15,84.1,0.1,0.8,90,,0,0,0
2060,1,3,0,-15.6,85.4,0.4,1.4,76,,0,0,0
2060,1,3,1,-16.7,84.5,0.4,1.6,90,,0,0,0
2060,1,3,2,-16.8,84.4,0.2,1,90,,0,0,0
2060,1,3,3,-16.9,84.3,0.4,1.4,63,,0,0,0
2060,1,3,4,-16.9,84.3,0.3,1.3,90,,0,0,0
2060,1,3,5,-17.6,83.7,0.1,0.8,90,,0,0,0
2060,1,3,6,-17.6,83.7,0.1,0.8,90,,0,0,0
2060,1,3,7,-18.5,83,0.2,1,90,,4,0,0
2060,1,3,8,-17.7,83.7,0.2,1.1,90,,23,23,0
2060,1,3,9,-18,83.4,0,0.7,0,,43,43,0
2060,1,3,10,-17.4,83.9,0,0.6,0,,54,54,0
2060,1,3,11,-14.5,79.3,0.1,1.4,90,,254,168,246
2060,1,3,12,-10.5,77.9,0.1,1.2,45,,372,115,746
2060,1,3,13,-8.2,79,0.5,2.6,76,,312,81,783
2060,1,3,14,-7.6,83,0.3,1.2,0,,205,88,564
2060,1,3,15,-9.6,78.4,0.4,1.3,117,,55,31,268
2060,1,3,16,-11.3,74.6,0.6,2.5,27,,4,0,0
2060,1,3,17,-11,67.6,0.4,1.5,76,,0,0,0
2060,1,3,18,-12.5,75.7,0.6,1.9,79,,0,0,0
2060,1,3,19,-14.7,73.5,0.5,1.7,90,,0,0,0
2060,1,3,20,-15.7,76.2,0.4,1.8,76,,0,0,0
2060,1,3,21,-16.2,73.4,0.3,1.7,72,,0,0,0
2060,1,3,22,-16.9,84.4,0.4,1.6,45,,0,0,0
2060,1,3,23,-16.8,84.5,0.3,1.5,45,,0,0,0
2060,1,4,0,-17.7,83.8,0.3,2.2,90,,0,0,0
2060,1,4,1,-18.4,83.2,0.5,2.1,63,,0,0,0
2060,1,4,2,-18.9,82.8,0.3,1.1,63,,0,0,0
2060,1,4,3,-19.5,82.3,0.1,1.3,135,,0,0,0
2060,1,4,4,-19.6,82.2,0.3,1.6,63,,0,0,0
2060,1,4,5,-20.2,81.8,0.5,2.6,90,,0,0,0
2060,1,4,6,-20,81.9,0.3,2.2,90,,0,0,0
2060,1,4,7,-19.6,82.3,0.4,1.8,45,,5,0,0
2060,1,4,8,-18.9,82.8,0.4,1.7,90,,31,31,0
