time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2035,1,1,0,6.8,96.7,0.9,2.4,193,100,0,0,0
2035,1,1,1,6.8,96.3,0.8,2.2,203,100,0,0,0
2035,1,1,2,6.8,95.6,0.7,2.1,203,100,0,0,0
2035,1,1,3,6.9,94.5,0.8,2.3,198,99,0,0,0
2035,1,1,4,7,93.4,0.9,2.5,194,99,0,0,0
2035,1,1,5,7.2,91.1,1.1,3.1,170,96,0,0,0
2035,1,1,6,7.5,88,1.4,3.8,153,94,0,0,0
2035,1,1,7,7.7,85.3,1.6,4.4,150,84,5,0,0
2035,1,1,8,7.9,83.4,1.6,4.3,148,71,38,38,0
2035,1,1,9,8.3,80,2.5,4.7,151,56,125,86,164
2035,1,1,10,9.9,70.6,3.5,7.6,128,42,265,82,599
2035,1,1,11,10.8,65.8,2.8,9.4,150,27,307,60,728
2035,1,1,12,11.8,58.7,3,8.6,162,12,293,85,631
2035,1,1,13,11.9,53.6,3,7.7,180,27,182,91,328
2035,1,1,14,11.7,53.6,3.1,8.5,180,42,110,71,204
2035,1,1,15,10.8,56.4,3.6,8.7,170,56,23,23,0
2035,1,1,16,10.5,56.7,3.1,10.6,148,71,0,0,0
2035,1,1,17,10.3,55.6,3.7,9,156,85,0,0,0
2035,1,1,18,10.4,52.9,4.3,10.1,124,100,0,0,0
2035,1,1,19,10.2,52.6,4.6,9.3,142,99,0,0,0
2035,1,1,20,10.6,49.1,5.7,11.8,122,98,0,0,0
2035,1,1,21,11,46.6,5.6,12.2,123,97,0,0,0
2035,1,1,22,11,46.3,5,10.2,135,96,0,0,0
2035,1,1,23,10.7,47.5,5.2,11.3,135,95,0,0,0
2035,1,2,0,10.7,48.2,5.4,10.9,137,94,0,0,0
2035,1,2,1,10.8,48.1,5.4,11.2,142,93,0,0,0
2035,1,2,2,10.6,49.5,4.8,8.4,150,92,0,0,0
2035,1,2,3,10.8,49.9,5.3,9.9,140,91,0,0,0
