time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2060,1,1,0,6.2,95.9,0.9,2.4,193,100,0,0,0
2060,1,1,1,6.1,95.3,0.8,2.2,203,100,0,0,0
2060,1,1,2,6,94.4,0.7,2.1,203,100,0,0,0
2060,1,1,3,6,93.1,0.8,2.3,198,99,0,0,0
2060,1,1,4,6.1,91.9,0.9,2.5,194,99,0,0,0
2060,1,1,5,6.3,89.6,1.1,3.1,170,96,0,0,0
2060,1,1,6,6.5,86.6,1.4,3.8,153,94,0,0,0
2060,1,1,7,6.7,84,1.6,4.4,150,84,5,0,0
2060,1,1,8,6.9,82.1,1.6,4.3,148,71,40,40,0
2060,1,1,9,7.3,78.7,2.5,4.7,151,56,130,90,171
2060,1,1,10,8.9,69.5,3.5,7.6,128,42,277,85,625
2060,1,1,11,9.8,64.7,2.8,9.4,150,27,320,63,759
2060,1,1,12,10.8,57.8,3,8.6,162,12,305,89,659
2060,1,1,13,10.9,52.8,3,7.7,180,27,190,95,343
2060,1,1,14,10.7,52.8,3.1,8.5,180,42,114,74,213
2060,1,1,15,9.8,55.5,3.6,8.7,170,56,24,24,0
2060,1,1,16,9.5,55.8,3.1,10.6,148,71,0,0,0
2060,1,1,17,9.3,54.7,3.7,9,156,85,0,0,0
2060,1,1,18,9.4,52.1,4.3,10.1,124,100,0,0,0
2060,1,1,19,9.2,51.8,4.6,9.3,142,99,0,0,0
2060,1,1,20,9.6,48.4,5.7,11.8,122,98,0,0,0
2060,1,1,21,10,45.8,5.6,12.2,123,97,0,0,0
2060,1,1,22,10,45.5,5,10.2,135,96,0,0,0
2060,1,1,23,9.7,46.8,5.2,11.3,135,95,0,0,0
2060,1,2,0,9.7,47.5,5.4,10.9,137,94,0,0,0
2060,1,2,1,9.8,47.4,5.4,11.2,142,93,0,0,0
2060,1,2,2,9.6,48.8,4.8,8.4,150,92,0,0,0
2060,1,2,3,9.8,49.2,5.3,9.9,140,91,0,0,0
2060,1,2,4,10,49.5,5.3,9.9,155,90,0,0,0
2060,1,2,5,10.1,51.8,4.6,9,148,89,0,0,0
2060,1,2,6,11,55.4,2.3,6.3,131,88,0,0,0
2060,1,2,7,9.7,73.2,2.9,7.7,124,90,0,0,0
2060,1,2,8,9,80.3,3.8,8.8,135,92,17,17,0
2060,1,2,9,10.1,77,3.1,6.9,132,94,31,31,0
