time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2060,1,1,0,4.1,79.3,2.7,5.5,236,,0,0,0
2060,1,1,1,3,81.6,2.6,4.9,230,,0,0,0
2060,1,1,2,2.3,83.2,2.7,4.8,227,,0,0,0
2060,1,1,3,1.5,84.8,2.9,5,226,,0,0,0
2060,1,1,4,1.2,85.8,3.2,5.7,226,,0,0,0
2060,1,1,5,1.2,86.1,3.4,6.4,231,,0,0,0
2060,1,1,6,1.2,86.6,3.7,7.4,238,,0,0,0
2060,1,1,7,1.4,86.2,3.6,7.4,242,,2,0,0
2060,1,1,8,1.5,86.1,3.3,7.1,244,,37,37,0
2060,1,1,9,2.1,83.4,2.9,6.5,245,,103,91,54
2060,1,1,10,2.6,81.3,2.6,5.8,248,,157,133,83
2060,1,1,11,2.9,80.3,2.5,5.4,252,,145,144,7
2060,1,1,12,3.2,79.2,2.9,5.4,257,,145,136,29
2060,1,1,13,3.3,80.8,3.1,5.7,243,,119,117,7
2060,1,1,14,3.1,84.8,3.1,5.7,235,,49,49,0
2060,1,1,15,2.6,89.9,3.1,5.6,233,,15,15,0
2060,1,1,16,2.4,91,3,5.4,234,,2,0,0
2060,1,1,17,2.1,94.5,2.9,5.1,236,,0,0,0
2060,1,1,18,2.2,93.6,2.8,4.8,242,,0,0,0
2060,1,1,19,2.3,92.9,2.7,4.6,248,,0,0,0
2060,1,1,20,2.1,94.9,2.6,4.3,270,,0,0,0
2060,1,1,21,2,95.9,2.5,3.9,297,,0,0,0
2060,1,1,22,2,96.5,2.4,3.6,342,,0,0,0
2060,1,1,23,1.7,98.3,2.3,3.4,360,,0,0,0
2060,1,2,0,1.7,97.7,2.2,3.1,9,,0,0,0
2060,1,2,1,1.7,97.8,2.1,2.8,18,,0,0,0
2060,1,2,2,1.7,98.5,2,2.7,22,,0,0,0
2060,1,2,3,1.7,98.3,1.9,2.6,28,,0,0,0
2060,1,2,4,1.8,97.5,1.8,2.6,30,,0,0,0
2060,1,2,5,1.9,97.7,1.7,2.6,37,,0,0,0
2060,1,2,6,1.9,98.2,1.7,2.7,45,,0,0,0
2060,1,2,7,1.8,98.6,1.7,2.8,53,,4,0,0
2060,1,2,8,2.1,96.9,2.1,3.2,54,,31,31,0
2060,1,2,9,2.3,96.1,3,4.1,51,,96,88,35
2060,1,2,10,3,94.1,3.5,4.7,62,,103,103,0
2060,1,2,11,3.1,95,3.6,4.8,64,,87,87,0
2060,1,2,12,3.2,95.2,3.4,4.8,61,,70,70,0
2060,1,2,13,3.4,93.3,3.3,4.6,55,,61,61,0
2060,1,2,14,3,94.2,3.1,4.5,49,,39,39,0
2060,1,2,15,3.1,94.4,2.9,4.3,42,,12,12,0
2060,1,2,16,2.9,94.2,2.7,4.2,34,,1,0,0
2060,1,2,17,2.7,94.3,2.6,4.1,28,,0,0,0
2060,1,2,18,2.7,94.1,2.5,4,21,,0,0,0
2060,1,2,19,2.5,95.1,2.5,3.9,360,,0,0,0
2060,1,2,20,2.3,95.9,2.4,3.9,315,,0,0,0
2060,1,2,21,2.2,96.1,2.4,3.9,264,,0,0,0
2060,1,2,22,2.4,93.5,2.5,4.1,248,,0,0,0
2060,1,2,23,2.7,90.2,2.8,4.9,241,,0,0,0
2060,1,3,0,2.8,87.7,3.6,7,243,,0,0,0
2060,1,3,1,2.7,86.1,4.4,9.3,243,,0,0,0
2060,1,3,2,2.6,86.5,5.1,11.1,245,,0,0,0
2060,1,3,3,2.8,85.6,4.5,9.5,247,,0,0,0
2060,1,3,4,2.9,83.9,3.7,7.3,247,,0,0,0
2060,1,3,5,3,84,3.1,5.6,249,,0,0,0
2060,1,3,6,2.8,85.9,3.2,6,245,,0,0,0
2060,1,3,7,2.9,83.9,3.4,6.8,242,,2,0,0
2060,1,3,8,3,82,3.7,7.5,238,,21,21,0
2060,1,3,9,3.2,80.5,3.4,7,235,,52,52,0
2060,1,3,10,3.5,80.2,3.2,6.3,231,,83,83,0
2060,1,3,11,3.7,79.1,3,5.9,226,,92,92,0
2060,1,3,12,3.9,78.9,3.2,6.3,231,,104,104,0
2060,1,3,13,3.9,78.2,3.5,7,235,,89,89,0
2060,1,3,14,3.8,78.2,3.7,7.5,238,,63,63,0
2060,1,3,15,3.6,79.4,3.3,7,235,,30,29,12
2060,1,3,16,2.7,85.2,2.8,6.4,230,,1,0,0
2060,1,3,17,2.4,85,2.4,5.8,225,,0,0,0
2060,1,3,18,2.2,86.3,2.2,5.2,232,,0,0,0
2060,1,3,19,1.8,88.4,2,4.7,242,,0,0,0
2060,1,3,20,1.6,87.7,2,4.3,251,,0,0,0
2060,1,3,21,1.8,87.9,2.2,3.9,252,,0,0,0
2060,1,3,22,1.7,88.3,2.4,3.6,249,,0,0,0
2060,1,3,23,1.6,89,2.7,3.5,247,,0,0,0
2060,1,4,0,1.5,90.5,2.6,3.7,248,,0,0,0
2060,1,4,1,1.4,91.9,2.6,4.1,248,,0,0,0
2060,1,4,2,1.3,91.5,2.5,4.4,249,,0,0,0
2060,1,4,3,1.2,92,2.2,4,264,,0,0,0
2060,1,4,4,1.2,92.8,1.9,3.6,285,,0,0,0
2060,1,4,5,1.2,92.5,1.8,3.4,303,,0,0,0
2060,1,4,6,1.3,93.1,2.5,4.2,273,,0,0,0
2060,1,4,7,1.4,91,3.4,5.4,253,,2,0,0
2060,1,4,8,1.5,89.3,4.1,6.5,243,,20,20,0
2060,1,4,9,1.7,87.9,3.7,7.4,238,,49,49,0
2060,1,4,10,1.9,88.3,4.4,7.8,242,,86,86,0
2060,1,4,11,2.2,89.2,4.9,9.3,232,,135,134,4
